label,n,wr,dpt,sum_pnl,sleeve,gate,base_wr,base_dpt,base_n,lift_wr,lift_dpt
g_vol_low,78,0.6794871794871795,-0.007845172435011386,-0.6119234499308881,BTC_s6_5m_60-150,g_vol_low,0.7778581765557163,5.102450613980161,2764,-0.0983709970685368,-5.110295786415173
g_vol_med,250,0.776,1.7903846124738543,447.5961531184636,BTC_s6_5m_60-150,g_vol_med,0.7778581765557163,5.102450613980161,2764,-0.0018581765557162955,-3.312066001506307
g_vol_high,2436,0.7811986863711001,5.605989026015038,13656.189267372632,BTC_s6_5m_60-150,g_vol_high,0.7778581765557163,5.102450613980161,2764,0.0033405098153838075,0.5035384120348771
g_hurst_trending,1108,0.7951263537906137,9.849908806413056,10913.698957505667,BTC_s6_5m_60-150,g_hurst_trending,0.7778581765557163,5.102450613980161,2764,0.017268177234897375,4.747458192432895
g_hurst_reverting,179,0.6759776536312849,-2.3579315007367714,-422.0697386318821,BTC_s6_5m_60-150,g_hurst_reverting,0.7778581765557163,5.102450613980161,2764,-0.1018805229244314,-7.460382114716932
g_vol_expanding,928,0.8006465517241379,7.64430991296781,7093.919599234127,BTC_s6_5m_60-150,g_vol_expanding,0.7778581765557163,5.102450613980161,2764,0.022788375168421582,2.5418592989876485
g_vol_contracting,195,0.7435897435897436,7.832115892609308,1527.262599058815,BTC_s6_5m_60-150,g_vol_contracting,0.7778581765557163,5.102450613980161,2764,-0.034268432965972706,2.729665278629147
g_rv_with,927,0.8004314994606256,7.638321358934194,7080.723899731997,BTC_s6_5m_60-150,g_rv_with,0.7778581765557163,5.102450613980161,2764,0.02257332290490932,2.5358707449540328
g_vol_low,51,0.6078431372549019,-2.7379987491651896,-139.63793620742467,ETH_s6_5m_60-150,g_vol_low,0.6648814078041316,4.720717335313923,1307,-0.05703827054922972,-7.4587160844791125
g_vol_med,191,0.675392670157068,-1.0763390309844452,-205.58075491802904,ETH_s6_5m_60-150,g_vol_med,0.6648814078041316,4.720717335313923,1307,0.010511262352936424,-5.797056366298368
