bucket,n,wr,dpt,sum_pnl,sleeve,dim
all,45868,0.6738248888113718,-0.012923214057051286,-592.7619823688284,BTC_s15_base,vol_regime
low,16761,0.6579559692142474,-0.0281989721442706,-472.64297211011956,BTC_s15_base,vol_regime
med,14784,0.6793154761904762,-0.005408991478455045,-79.96653001747939,BTC_s15_base,vol_regime
high,14009,0.6859875794132343,-0.004584467006788951,-64.22379829810642,BTC_s15_base,vol_regime
all,45868,0.6738248888113718,-0.012923214057051286,-592.7619823688284,BTC_s15_base,hurst_300s
h_lt_04,1166,0.6337907375643225,-0.08280592669542798,-96.55171052686903,BTC_s15_base,hurst_300s
h_04_05,7633,0.6710336695925586,-0.007509135148445858,-57.31722858808723,BTC_s15_base,hurst_300s
h_05_06,26820,0.6793064876957494,-0.0050705133956493505,-135.99116927131558,BTC_s15_base,hurst_300s
h_ge_06,10189,0.6661105113357543,-0.02985186574855552,-304.1606601120322,BTC_s15_base,hurst_300s
all,52645,0.46724285307246655,-0.12428884925912492,-6543.1864692466315,BTC_s6_base,vol_regime
low,19261,0.4846061990550854,-0.0927734422301326,-1786.909270794584,BTC_s6_base,vol_regime
med,15573,0.4587426956912605,-0.13565349507289534,-2112.531878770199,BTC_s6_base,vol_regime
high,15062,0.45896959235161333,-0.14978310576565998,-2256.0331390423707,BTC_s6_base,vol_regime
all,52645,0.46724285307246655,-0.12428884925912492,-6543.1864692466315,BTC_s6_base,hurst_300s
h_lt_04,1164,0.46563573883161513,-0.198648596740172,-231.2269666055602,BTC_s6_base,hurst_300s
h_04_05,10037,0.47185413968317225,-0.1066785813169513,-1070.7329206782401,BTC_s6_base,hurst_300s
h_05_06,28220,0.468532955350815,-0.11519711885702485,-3250.862694145241,BTC_s6_base,hurst_300s
h_ge_06,10743,0.4646746718793633,-0.1539153386309882,-1653.5124829127062,BTC_s6_base,hurst_300s
all,43151,0.6862645129892703,-0.01537925017775473,-663.6300244202944,ETH_s15_base,vol_regime
low,15719,0.6885298046949552,-0.005823744879718936,-91.54344576430196,ETH_s15_base,vol_regime
med,13497,0.6819293176261392,-0.03872730172794023,-522.7023914220092,ETH_s15_base,vol_regime
high,13645,0.6868449981678271,-0.003843043365828829,-52.438326726734374,ETH_s15_base,vol_regime
all,43151,0.6862645129892703,-0.01537925017775473,-663.6300244202944,ETH_s15_base,hurst_300s
h_lt_04,808,0.6596534653465347,-0.057849129392838386,-46.74209654941342,ETH_s15_base,hurst_300s
h_04_05,10495,0.6906145783706527,-0.012414310488620482,-130.28818857807195,ETH_s15_base,hurst_300s
h_05_06,25647,0.6852653331773697,-0.0158311323303497,-406.0210508764788,ETH_s15_base,hurst_300s
h_ge_06,6187,0.686277679004364,-0.012954062527670994,-80.14678485870044,ETH_s15_base,hurst_300s
all,49668,0.4499476524120158,-0.18183972889905406,-9031.615654958217,ETH_s6_base,vol_regime
low,18172,0.4663218137794409,-0.15274645763494585,-2775.7086281422357,ETH_s6_base,vol_regime
med,14232,0.446247892074199,-0.18062198854913855,-2570.61214103134,ETH_s6_base,vol_regime
high,14765,0.4365729766339316,-0.2143722322372764,-3165.206008983386,ETH_s6_base,vol_regime
all,49668,0.4499476524120158,-0.18183972889905406,-9031.615654958217,ETH_s6_base,hurst_300s
h_lt_04,824,0.4684466019417476,-0.14996343032375478,-123.56986658677394,ETH_s6_base,hurst_300s
h_04_05,11071,0.45262397254087255,-0.17434067713220314,-1930.1256365306208,ETH_s6_base,hurst_300s
h_05_06,29041,0.45077648841293344,-0.176644374888826,-5129.929291146396,ETH_s6_base,hurst_300s
h_ge_06,6511,0.4452465059130702,-0.21292019633962073,-1386.3233983672706,ETH_s6_base,hurst_300s
all,30142,0.7044987061243447,-0.014235534862368626,-429.08749182151513,SOL_s15_base,vol_regime
low,11123,0.6969342803200576,-0.017633789542388065,-196.14064107998246,SOL_s15_base,vol_regime
med,9595,0.7034914017717562,-0.011716947039764074,-112.42410684653629,SOL_s15_base,vol_regime
high,9225,0.7146883468834688,-0.015627630159975463,-144.16488822577367,SOL_s15_base,vol_regime
all,30142,0.7044987061243447,-0.014235534862368626,-429.08749182151513,SOL_s15_base,hurst_300s
h_lt_04,11748,0.7080354102826013,0.03819133960856746,448.6718577214505,SOL_s15_base,hurst_300s
h_04_05,13668,0.7047848990342406,-0.034187437869897315,-467.2739008057565,SOL_s15_base,hurst_300s
h_05_06,4538,0.6956809167033936,-0.08585202627740644,-389.59649524687046,SOL_s15_base,hurst_300s
h_ge_06,161,0.6583850931677019,-0.14207761431226196,-22.874495904274177,SOL_s15_base,hurst_300s
all,33159,0.44024246810820594,-0.24581942707793167,-8151.126382477136,SOL_s6_base,vol_regime
low,12026,0.4594212539497755,-0.21097077082471985,-2537.134489938081,SOL_s6_base,vol_regime
med,9618,0.4453108754418798,-0.2313432824494405,-2225.0596905987186,SOL_s6_base,vol_regime
high,9809,0.4101335508206749,-0.31660850576339344,-3105.612833033126,SOL_s6_base,vol_regime
all,33159,0.44024246810820594,-0.24581942707793167,-8151.126382477136,SOL_s6_base,hurst_300s
h_lt_04,12612,0.4523469711385982,-0.19074394013437376,-2405.662572974722,SOL_s6_base,hurst_300s
h_04_05,14093,0.4311360249769389,-0.2790236915275818,-3932.28088469821,SOL_s6_base,hurst_300s
h_05_06,4730,0.4255813953488372,-0.3283585024491557,-1553.1357165845066,SOL_s6_base,hurst_300s
h_ge_06,176,0.36363636363636365,-0.42930546374671297,-75.55776161942148,SOL_s6_base,hurst_300s
