rule,n,wr,dpt,sum_pnl
VR-A_trending_with_momo,19901,0.5499723631978293,-0.09847539975115396,-1959.758930447715
VR-B_reverting_contra_momo,14978,0.3527840833222059,-0.2543863778561025,-3810.1991675287036
VR-C_skip_vol_high,127526,0.24297006100716717,-0.22268883921410526,-28398.616909617987
VR-C_baseline_all_pick_lower_p,179926,0.23364049664862221,-0.23984036594635794,-43153.5176832644
VR-D_vol_expand_up_confirm,621,0.6489533011272142,0.19357112212841363,120.20766684174487
VR-D_vol_expand_dn_confirm,678,0.6415929203539823,0.022466319885109384,15.232164882104161
