label,n,wr,dpt,sum_pnl,sleeve,bucket
all,2764,0.7778581765557163,5.102450613980161,14103.173497041165,BTC_s6_5m_60-150,all
h_lt_04,0,,,,BTC_s6_5m_60-150,h_lt_04
h_04_05,375,0.648,-0.8276782129302895,-310.37932984885856,BTC_s6_5m_60-150,h_04_05
h_05_06,2035,0.7798525798525798,6.023682166958417,12258.193209760379,BTC_s6_5m_60-150,h_05_06
h_ge_06,354,0.903954802259887,6.0885864890667944,2155.3596171296454,BTC_s6_5m_60-150,h_ge_06
all,1307,0.6648814078041316,4.720717335313923,6169.977557255297,ETH_s6_5m_60-150,all
h_lt_04,0,,,,ETH_s6_5m_60-150,h_lt_04
h_04_05,231,0.6406926406926406,4.658602691281209,1076.1372216859593,ETH_s6_5m_60-150,h_04_05
h_05_06,968,0.6993801652892562,5.669678249949349,5488.24854595097,ETH_s6_5m_60-150,h_05_06
h_ge_06,108,0.4074074074074074,-3.651927873903994,-394.40821038163136,ETH_s6_5m_60-150,h_ge_06
all,3420,0.8514619883040936,1.343842694152961,4595.942014003127,ETH_s15_5m_150-240,all
h_lt_04,1,1.0,12.621210646147741,12.621210646147741,ETH_s15_5m_150-240,h_lt_04
h_04_05,395,0.8784810126582279,1.40211122792164,553.8339350290478,ETH_s15_5m_150-240,h_04_05
h_05_06,2726,0.8451944240645635,1.4622917331214909,3986.207264489184,ETH_s15_5m_150-240,h_05_06
h_ge_06,296,0.8716216216216216,0.13618211616994227,40.30990638630291,ETH_s15_5m_150-240,h_ge_06
all,1365,0.8564102564102564,3.059532108308999,4176.261327841784,BTC_s15_5m_150-240,all
h_lt_04,0,,,,BTC_s15_5m_150-240,h_lt_04
h_04_05,73,0.8356164383561644,0.06600212802888582,4.818155346108664,BTC_s15_5m_150-240,h_04_05
h_05_06,1020,0.861764705882353,3.9650203956013006,4044.3208035133266,BTC_s15_5m_150-240,h_05_06
h_ge_06,272,0.8419117647058824,0.46736165067039864,127.12236898234843,BTC_s15_5m_150-240,h_ge_06
all,1503,0.9288090485695276,2.200140342087601,3306.8109341576646,SOL_s6_5m_60-150,all
h_lt_04,77,0.922077922077922,-0.16278362370388177,-12.534339025198896,SOL_s6_5m_60-150,h_lt_04
h_04_05,721,0.926490984743412,2.903153548213777,2093.1737082621335,SOL_s6_5m_60-150,h_04_05
h_05_06,705,0.9319148936170213,1.7392504466960712,1226.1715649207301,SOL_s6_5m_60-150,h_05_06
h_ge_06,0,,,,SOL_s6_5m_60-150,h_ge_06
all,2146,0.7912395153774464,1.3327218255759758,2860.021037686044,BTC_s15_5m_60-150,all
h_lt_04,1,1.0,1.5638298533415025,1.5638298533415025,BTC_s15_5m_60-150,h_lt_04
h_04_05,162,0.7345679012345679,-0.10190139477798497,-16.508025954033567,BTC_s15_5m_60-150,h_04_05
h_05_06,1598,0.7928660826032541,1.6847650987536922,2692.2546278084,BTC_s15_5m_60-150,h_05_06
h_ge_06,384,0.8072916666666666,0.4332741517384733,166.37727426757374,BTC_s15_5m_60-150,h_ge_06
all,1432,0.8449720670391061,1.736246849058148,2486.305487851268,BTC_s15_5m_240-300,all
h_lt_04,0,,,,BTC_s15_5m_240-300,h_lt_04
h_04_05,79,0.810126582278481,2.8975181717187573,228.9039355657818,BTC_s15_5m_240-300,h_04_05
h_05_06,1084,0.8422509225092251,1.8672309482410658,2024.0783478933154,BTC_s15_5m_240-300,h_05_06
h_ge_06,267,0.8651685393258427,0.8691194605967121,232.0548959793221,BTC_s15_5m_240-300,h_ge_06
