sleeve,gate,n,dpt_med,dpt_ci_lo,dpt_ci_hi,base_n,base_dpt_med,base_ci_lo,base_ci_hi,oos_n,oos_dpt,oos_lift,pass_oos
ETH_s6_5m_60-150,g_vol_expanding,282,17.2419702764416,11.43724760427064,22.891443085693595,1307,4.721619785703901,3.065734164245448,6.387525494654629,107,10.376956323166624,7.377571139862241,1
ETH_s6_5m_60-150,g_rv_with,282,17.275201174261213,11.980552588921682,23.281779655388142,1307,4.733982050221832,3.0638750539164286,6.451083200023487,107,10.376956323166624,7.377571139862241,1
BTC_s6_5m_60-150,g_hurst_trending,1108,9.827739301763769,6.939103722976811,13.009944876439453,2764,5.125855072791129,3.836481192810494,6.365528168303207,415,2.0284175093839565,-0.8533589216988315,0
BTC_s6_5m_60-150,g_vol_expanding,928,7.597063369075215,4.349115175213237,11.106811920132506,2764,5.112812100147728,3.885131757117153,6.5576768548858695,363,0.9166211987467836,-1.9651552323360044,0
BTC_s6_5m_60-150,g_rv_with,927,7.597030313661573,4.799969226655435,11.12158491189272,2764,5.055712911377448,3.736851013309118,6.396930353990707,363,0.9166211987467836,-1.9651552323360044,0
ETH_s6_5m_60-150,g_hurst_trending,436,8.525772108074616,4.654139675006305,12.616792012055734,1307,4.680896269534138,3.060925095684999,6.427091998958608,121,2.2952856171832536,-0.7040995661211298,0
BTC_s15_5m_150-240,g_vol_high,576,5.144449424782764,1.0841122388013167,11.007825313309091,1365,2.9854824023140005,1.2087860386272007,5.59189823811437,142,1.990177713695361,0.3619982817595244,1
BTC_s15_5m_60-150,g_vol_expanding,310,4.017554385016089,1.3879181568667343,7.847966504525612,2146,1.3499922256270418,0.5456887665079287,2.1658315384584585,84,3.3627837412168446,2.67484858551841,1
BTC_s15_5m_60-150,g_rv_with,308,3.990188993703703,1.3260014246536498,7.641725895340214,2146,1.32061144960556,0.5435827562907548,2.152004082264709,83,3.3741055194585114,2.686170363760077,1
BTC_s6_5m_60-150,g_vol_contracting,195,7.83797301045306,4.29072443793941,11.420201509344889,2764,5.061291058864777,3.73964264319891,6.512962010004058,23,1.625202815286164,-1.256573615796624,0
