label,n,wr,dpt,sum_pnl,sleeve,regime
all,2764,0.7778581765557163,5.102450613980161,14103.173497041165,BTC_s6_5m_60-150,all
low,78,0.6794871794871795,-0.007845172435011386,-0.6119234499308881,BTC_s6_5m_60-150,low
med,250,0.776,1.7903846124738543,447.5961531184636,BTC_s6_5m_60-150,med
high,2436,0.7811986863711001,5.605989026015038,13656.189267372632,BTC_s6_5m_60-150,high
all,1307,0.6648814078041316,4.720717335313923,6169.977557255297,ETH_s6_5m_60-150,all
low,51,0.6078431372549019,-2.7379987491651896,-139.63793620742467,ETH_s6_5m_60-150,low
med,191,0.675392670157068,-1.0763390309844452,-205.58075491802904,ETH_s6_5m_60-150,med
high,1058,0.6635160680529301,5.42458248202821,5739.208265985846,ETH_s6_5m_60-150,high
all,3420,0.8514619883040936,1.343842694152961,4595.942014003127,ETH_s15_5m_150-240,all
low,869,0.8837744533947065,0.5790784613761534,503.21918293587726,ETH_s15_5m_150-240,low
med,1135,0.8607929515418502,0.8851209146164344,1004.612238089653,ETH_s15_5m_150-240,med
high,1399,0.8220157255182273,2.169119012374104,3034.5974983113715,ETH_s15_5m_150-240,high
all,1365,0.8564102564102564,3.059532108308999,4176.261327841784,BTC_s15_5m_150-240,all
low,276,0.894927536231884,0.4250757587627604,117.32090941852186,BTC_s15_5m_150-240,low
med,507,0.8757396449704142,1.6426222110427355,832.809460998667,BTC_s15_5m_150-240,med
high,576,0.8194444444444444,5.3996465380155545,3110.1964058969593,BTC_s15_5m_150-240,high
all,1503,0.9288090485695276,2.200140342087601,3306.8109341576646,SOL_s6_5m_60-150,all
low,46,0.7391304347826086,-2.3666903268443362,-108.86775503483948,SOL_s6_5m_60-150,low
med,181,0.9558011049723757,3.6973657924895056,669.2232084406005,SOL_s6_5m_60-150,med
high,1276,0.9318181818181818,2.152394577391774,2746.455480751904,SOL_s6_5m_60-150,high
all,2146,0.7912395153774464,1.3327218255759758,2860.021037686044,BTC_s15_5m_60-150,all
low,266,0.8233082706766918,0.7720990067914042,205.37833580651352,BTC_s15_5m_60-150,low
med,670,0.8044776119402985,0.15751944177006472,105.53802598594336,BTC_s15_5m_60-150,med
high,1201,0.7776852622814321,2.141827503772692,2572.3348320310033,BTC_s15_5m_60-150,high
all,1432,0.8449720670391061,1.736246849058148,2486.305487851268,BTC_s15_5m_240-300,all
low,325,0.9138461538461539,0.5114971501685911,166.2365738047921,BTC_s15_5m_240-300,low
med,499,0.8837675350701403,0.9511464781697416,474.6220926067011,BTC_s15_5m_240-300,med
high,598,0.7725752508361204,3.06203828012832,1831.0988915167352,BTC_s15_5m_240-300,high
