rule,n,wr,avg_pnl,sum_pnl,avg_price
L-A: bet UP | liq_short_60s > $100k,51,0.6666666666666666,17.71753130914684,903.5940967664887,0.566078431372549
L-A: bet UP | liq_short_60s > $500k,13,0.6923076923076923,15.293429433954058,198.81458264140275,0.6638461538461538
L-A: bet UP | liq_short_60s > $50k,85,0.6352941176470588,8.534439862510467,725.4273883133897,0.5682352941176471
B-B: bet DOWN | basis > +30bps (mean rev),18,0.9444444444444444,7.354633598561319,132.38340477410375,0.8744444444444446
L-A: bet UP | liq_short_60s > $250k,28,0.7142857142857143,6.281215476486308,175.8740333416166,0.7275
L-C: bet UP | liq_imbalance_60s > +0.5,221,0.5610859728506787,2.071953438313022,457.90170986717783,0.5610407239819005
OI-A: bet DOWN | OI rising & price down,2863,0.5829549423681453,1.6991617185397083,4864.700000179185,0.5438665735242753
OI-D: bet WITH price | oi_pct_1h > 0.5%,3273,0.5740910479682249,1.17492023919387,3845.5139428815364,0.5435747021081576
OI-A: bet UP | OI rising & price up,4507,0.5600177501664078,1.0549594275132912,4754.7021398024035,0.5363257155535833
F-A2: bet DOWN | funding_z > +2.0,80,0.55,0.833318586374809,66.66548690998472,0.51425
F-B2: bet UP | funding_z < -2.0,478,0.5523012552301255,0.12863012340232574,61.4851989863117,0.5255857740585774
B-C: bet UP | basis_change_60s > +1bps,2956,0.49627875507442487,-0.04478768205672222,-132.39238815967087,0.49705006765899873
F-D: bet UP | funding<0 (shorts paying),3243,0.5041628122109159,-0.4646929870680949,-1506.999357061832,0.5091643539932161
F-B: bet UP | funding_z < -1.5,1230,0.5178861788617887,-0.8459382251805413,-1040.5040169720658,0.5180000000000001
F-C: bet UP | funding_accel > 0,5058,0.4877421905891657,-1.2453199098002328,-6298.828103769577,0.5054863582443654
F-D: bet DOWN | funding>0 (longs paying),11816,0.5028774542992552,-1.3049715515085432,-15419.543852624947,0.5049170616113744
B-C: bet DOWN | basis_change_60s < -1bps,4538,0.42838254737769943,-1.3121155886752445,-5954.380541408259,0.4324856765094755
F-E: bet UP | funding>0 (with),11809,0.49377593360995853,-1.5007854209686617,-17722.775036218925,0.5106697434160385
F-E: bet DOWN | funding<0 (with),3243,0.4939870490286771,-1.5934798720886836,-5167.655225183601,0.5083040394696269
F-C: bet DOWN | funding_accel < 0,5004,0.49620303756994405,-1.7493394742169852,-8753.694728981794,0.5058473221422862
B-A: bet DOWN | basis < -5bps,5303,0.3999622854987743,-2.1063936995196983,-11170.20578855296,0.4077578729021309
OI-C: bet UP | OI z>1.5 & price -0.5% 1h,162,0.3271604938271605,-2.785985284093863,-451.32961602320574,0.43018518518518517
B-A2: bet DOWN | basis < -10bps,910,0.2153846153846154,-2.9822670563797025,-2713.8630213055294,0.2203076923076923
L-C: bet DOWN | liq_imbalance_60s < -0.5,3457,0.4067110211165751,-3.1412286968986423,-10859.227605178607,0.41940989297078396
F-A: bet DOWN | funding_z > +1.5,424,0.4834905660377358,-3.3606488030920856,-1424.9150925110443,0.513867924528302
"OI-B: bet DOWN | OI falling, price up (covering)",3353,0.42886966895317624,-3.8561983046435167,-12929.832915469711,0.4673695198329854
"OI-B: bet UP | OI falling, price down (covering)",4290,0.42703962703962706,-3.9760157646588064,-17057.10763038628,0.4792494172494173
OI-C: bet DOWN | OI z>1.5 & price +0.5% 1h,400,0.415,-4.237736024565724,-1695.0944098262894,0.44625
"L-D: bet DOWN | short_cascade 5-15m back, none now",395,0.46582278481012657,-4.629747736313642,-1828.7503558438887,0.5035189873417721
B-A: bet UP | basis > +5bps,268,0.3805970149253731,-6.651184877733623,-1782.5175472326112,0.4190671641791045
L-A: bet UP | liq_short_60s > $1000k,7,0.5714285714285714,-8.641738604594346,-60.492170232160426,0.6571428571428571
B-A2: bet UP | basis > +10bps,50,0.16,-11.834758955333376,-591.7379477666688,0.19939999999999997
