sleeve,at,symbol,tf,signal,outcome,won,pnl_usd,entry_qty,entry_price,cid
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 18:05:39.089781+02:00,SOL,5m,UP,Down,False,-25.63619,47.1698,0.543487358436966,0x1a1c7b980b0bd8b6877f6fce2953d58f6f4a61da0242a405875ef5e74721f845
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 18:10:43.197273+02:00,BTC,5m,DOWN,Down,True,24.125,50.0,0.5,0x8fa78f19d54e54da576014f14f3721b199de137aa5a36eccc712de6ed4933d00
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 18:10:45.568991+02:00,SOL,5m,DOWN,Down,True,24.125,50.0,0.5,0x3ec4474e8be2ca8719dc15ebdd98ae55d911926073dde111d14edddef1a363f1
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 18:15:30.118762+02:00,ETH,15m,DOWN,Down,True,24.125,50.0,0.5,0xd3d2b5854bdc826c8c3e3adf99c3bbad4095f65fe828655da52516650f53cbbd
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 18:25:29.059402+02:00,SOL,5m,UP,Down,False,-25.880388,49.0196,0.5279599996736,0x5fa104ff1ac8fa5bde6d92226e0f3d0311da9d38665173370d1b3ea5df73b478
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 18:30:31.360699+02:00,ETH,15m,DOWN,Up,False,-25.0,50.0,0.5,0x75e15b6157b672011b3309ecb6730d0e27f730d846fe92a4ef181a64e31f8073
shadow_poly_updown_sol_5m_fade_sniper,2026-05-26 18:30:33.742721+02:00,SOL,5m,DOWN,Down,True,23.925056,50.0,0.504,0xf3233c85b63c420bbff1a69b5a41241e55ce0070ddade147f68e8af8e9d5a466
shadow_poly_updown_btc_5m_fade_sniper,2026-05-26 18:30:36.795514+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0x0cd229d96325b63f15d26f585f2f75f09ba47dd103cd4220d498c4436357d95a
shadow_poly_updown_eth_15m_fade_sniper,2026-05-26 18:45:28.412201+02:00,ETH,15m,UP,Down,False,-25.460088,49.0196,0.5193858783017405,0xb9f5326371638eaf2cca6bfb2fde45d392bc4a03e80d5f36921d4e89251c42c6
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 18:50:38.218252+02:00,BTC,5m,UP,Down,False,-24.999996,49.0196,0.51,0x911f1478455911d4ebf53350e0085c85cc7de7d0509c6f62b9003219a6facfb3
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 18:50:39.322583+02:00,SOL,5m,UP,Down,False,-24.999994,47.1698,0.53,0x1eb9fe3e7bb94231f198523d04b9d0264fea17f507e14941f46fc2655293667a
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:00:43.884192+02:00,BTC,5m,UP,Up,True,23.16210414,49.0196,0.51,0x805a64b31a7597f0f01c22fe32cb370e704933828b296e36ff16cfabe57b148b
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:00:50.710152+02:00,SOL,5m,UP,Up,True,21.90734515,49.0196,0.5356791977086717,0x9610d8f9fa7904d2986b238a97276c24f221a62178a9959e8ab8fe2d94e5c5cc
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:06:19.786040+02:00,BTC,5m,DOWN,Up,False,-25.0,50.0,0.5,0x4b646c1acfed7c434af4896754f462aa965f4bab21391ca133cabad83ee61940
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:06:21.897169+02:00,SOL,5m,DOWN,Up,False,-25.651204,51.0204,0.5027636788421886,0x4ff13495bca38ec97e2f5ee6b0b4dcab9b5f434e17a8cfd45814055f1ba903d7
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:16:20.773010+02:00,BTC,5m,UP,Down,False,-24.999994,47.1698,0.53,0x5e2fab0cf2bad5b0c5492d72b23ce699d4c89421a022256b48fd48604c831df0
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-26 19:20:38.631254+02:00,SOL,5m,UP,Down,False,-24.999994,47.1698,0.53,0x284380d8125292e7a1a5bd1cbdfe6401f0ce3ae4992e552a5f3f6d5a65e2ea84
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-26 19:30:47.851257+02:00,BTC,5m,UP,Down,False,-24.999988,48.0769,0.52,0x78470c7223b457c6e11b0000df3d6084df8f57a97910c2984b07da36d1e2d3ca
