ts,symbol,signal,won,pnl_usd,entry_qty,entry_price,tf,sig_fe,sig_mult,sig_rule,qty25,mult_from_qty
2026-05-26 14:25:30.680960+02:00,BTC,DOWN,True,24.98783113,51.0204,0.49274211883873903,5m,2807.9152011717647,1.0,S8,50.73647866538848,1.0
2026-05-26 14:35:33.549295+02:00,SOL,DOWN,True,23.92555572,50.0,0.50399,5m,-544.742459347009,1.0,S8,49.60415881267485,1.0
2026-05-26 14:35:34.303499+02:00,ETH,DOWN,False,-25.0,50.0,0.5,5m,-2857.1341583466674,1.0,S8,50.0,1.0
2026-05-26 14:45:38.967312+02:00,BTC,UP,True,23.16210414,49.0196,0.51,5m,-1414.4288734425863,1.0,S8,49.01960784313725,1.0
2026-05-26 14:50:22.691579+02:00,ETH,UP,True,67.39676911,147.0588,0.524243037478886,5m,2523.4784104425366,3.0,S8,47.68780548851234,3.0
2026-05-26 15:05:21.972039+02:00,BTC,UP,False,-24.999996,49.0196,0.51,5m,1849.9644192862097,1.0,S4,49.01960784313725,1.0
2026-05-26 15:05:23.486068+02:00,ETH,UP,False,-25.0,50.0,0.5,5m,773.5880969453679,1.0,S4,50.0,1.0
2026-05-26 15:15:30.074488+02:00,ETH,DOWN,False,-75.513076,141.5094,0.5336258651368743,5m,-2028.9068837003376,2.0,S4,46.8493032915253,3.0
2026-05-26 15:20:24.211185+02:00,ETH,DOWN,True,45.5998085,98.0392,0.5174030795844927,5m,-2028.9068837003376,2.0,S4,48.3182280632666,2.0
2026-05-26 15:31:04.872980+02:00,SOL,DOWN,True,69.63052404,150.0,0.51832,5m,-3780.1756501333616,4.0,S4,48.23275196789628,3.0
2026-05-26 15:31:13.911332+02:00,ETH,DOWN,True,80.13566399,159.5744,0.48034333827982434,5m,-5231.299962421779,3.0,S4,52.046105374394166,3.0
2026-05-26 15:31:19.300496+02:00,BTC,DOWN,True,75.38371243,153.0612,0.49,5m,-3751.4378303796893,4.0,S4,51.02040816326531,3.0
2026-05-26 15:35:59.824772+02:00,BTC,DOWN,True,112.93858621,217.3913,0.4630779198615584,5m,-2847.552376872115,3.0,S8,53.986594755962436,4.0
2026-05-26 15:36:07.082041+02:00,SOL,DOWN,True,91.31145672,200.0,0.52599,5m,-3780.1756501333616,4.0,S4,47.52942071142037,4.0
2026-05-26 15:41:02.411855+02:00,BTC,DOWN,False,-75.0,156.25,0.48,5m,-2847.552376872115,3.0,S8,52.083333333333336,3.0
2026-05-26 15:51:23.522774+02:00,SOL,UP,True,43.91508505,96.1538,0.525829597998207,5m,1398.9577500352025,2.0,S4,47.54391935176925,2.0
2026-05-26 15:55:52.209894+02:00,BTC,UP,False,-100.0,200.0,0.5,5m,4870.85154578425,4.0,S4,50.0,4.0
2026-05-26 16:05:26.443025+02:00,SOL,UP,False,-100.560268,196.0784,0.5128574488571919,5m,3356.7896026439103,4.0,S4,48.74648902089242,4.0
2026-05-26 16:10:57.929735+02:00,BTC,UP,True,50.25580829,102.0408,0.49,5m,1597.884536571005,2.0,S8,51.02040816326531,2.0
2026-05-26 16:16:18.488864+02:00,BTC,UP,True,46.32420827,98.0392,0.51,5m,1597.884536571005,2.0,S8,49.01960784313725,2.0
2026-05-26 16:20:32.170983+02:00,SOL,UP,False,-25.159392,49.0196,0.5132516789202686,5m,521.9912845444929,1.0,S4,48.70904670510321,1.0
2026-05-26 16:26:00.397618+02:00,SOL,DOWN,False,-25.9799,50.0,0.519598,5m,-763.4452627631339,1.0,S8,48.11411899198996,1.0
2026-05-26 16:31:00.476158+02:00,BTC,UP,True,104.69331658,208.3333,0.48,5m,5059.843845566413,4.0,S4,52.083333333333336,4.0
2026-05-26 16:35:37.600963+02:00,ETH,UP,False,-99.999984,196.0784,0.51,5m,3523.017488872633,4.0,S4,49.01960784313725,4.0
2026-05-26 16:35:44.864573+02:00,SOL,UP,False,-105.091248,204.0816,0.5149471975915516,5m,4154.428123899674,4.0,S4,48.54866696416052,4.0
2026-05-26 16:35:58.217248+02:00,BTC,UP,False,-99.999973,212.7659,0.47,5m,5059.843845566413,4.0,S4,53.19148936170213,4.0
2026-05-26 16:40:44.527070+02:00,BTC,DOWN,True,64.04191859,141.5094,0.53,5m,-4236.434471813641,4.0,S4,47.16981132075472,3.0
2026-05-26 16:40:54.025045+02:00,SOL,DOWN,True,64.24820577,144.2307,0.5371421271615544,5m,-3584.071410166497,4.0,S4,46.54261644326556,3.0
2026-05-26 16:45:32.882409+02:00,SOL,DOWN,True,91.26163953,200.0,0.52624,5m,-3584.071410166497,4.0,S4,47.50684098510185,4.0
2026-05-26 16:45:36.320809+02:00,ETH,DOWN,True,92.64841655,196.0784,0.51,5m,-2640.4643096710656,3.0,S4,49.01960784313725,4.0
2026-05-26 16:45:38.564396+02:00,BTC,DOWN,True,96.5,200.0,0.5,5m,-4236.434471813641,4.0,S4,50.0,4.0
2026-05-26 16:50:36.081042+02:00,ETH,DOWN,False,-75.0,150.0,0.5,5m,-2640.4643096710656,3.0,S4,50.0,3.0
2026-05-26 17:00:53.563394+02:00,BTC,UP,False,-100.123068,196.0784,0.5106277285004366,5m,3474.570803970529,4.0,S4,48.95934671118947,4.0
2026-05-26 17:01:02.644772+02:00,ETH,UP,False,-103.26478,192.3076,0.5369771137490146,5m,3113.7245337103604,4.0,S4,46.556919019243544,4.0
2026-05-26 17:01:05.529456+02:00,SOL,UP,False,-105.57112,196.0784,0.5384127981460477,5m,4228.209725107253,4.0,S4,46.43277441785216,4.0
2026-05-26 17:20:47.996712+02:00,ETH,UP,False,-100.861968,188.6792,0.534568558696454,5m,3592.7634648433173,4.0,S4,46.76668613089129,4.0
2026-05-26 17:20:49.641715+02:00,SOL,UP,False,-101.94056,188.6792,0.5402850976684235,5m,3488.152177739323,4.0,S4,46.27186666426003,4.0
2026-05-26 17:26:37.752342+02:00,SOL,DOWN,True,69.29194857,150.0,0.5205833333333333,5m,-4572.739454407389,4.0,S4,48.023051064510966,3.0
2026-05-26 17:30:45.007676+02:00,ETH,DOWN,True,95.85064765,200.0,0.5032475,5m,-5006.988476069283,4.0,S4,49.67734564006776,4.0
2026-05-26 17:30:49.934275+02:00,BTC,DOWN,True,96.5,200.0,0.5,5m,-5240.714519538931,4.0,S4,50.0,4.0
2026-05-26 17:30:54.200628+02:00,SOL,DOWN,True,92.20846548,200.0,0.52149,5m,-4572.739454407389,4.0,S4,47.9395578055188,4.0
2026-05-26 17:41:16.160208+02:00,SOL,DOWN,True,97.61798877,204.0816,0.5041729974676796,5m,-5097.792543017718,4.0,S4,49.586154208115126,4.0
2026-05-26 17:46:11.591796+02:00,BTC,DOWN,False,-25.0,50.0,0.5,5m,-431.55338224890204,1.0,S8,50.0,1.0
2026-05-26 17:50:56.235741+02:00,SOL,UP,False,-50.390584,94.3396,0.5341403185936765,5m,1759.2810732305563,2.0,S4,46.80418071757215,2.0
2026-05-26 17:56:05.580007+02:00,BTC,DOWN,True,72.375,150.0,0.5,5m,-2145.185515229353,3.0,S8,50.0,3.0
2026-05-26 18:15:33.255490+02:00,SOL,DOWN,True,49.07529543,102.0408,0.5015621986499518,5m,-5117.170795648201,4.0,S4,49.84426670768284,2.0
2026-05-26 18:20:41.104211+02:00,SOL,DOWN,False,-105.869064,204.0816,0.5187584966013594,5m,-5117.170795648201,4.0,S4,48.19198174832263,4.0
2026-05-26 18:20:43.117964+02:00,ETH,DOWN,False,-100.0,200.0,0.5,5m,-5051.928637106366,4.0,S4,50.0,4.0
2026-05-26 18:25:27.984156+02:00,BTC,UP,True,88.12712482,192.3076,0.5242799972543987,5m,-1908.981315561079,1.0,S8,47.68444367689493,4.0
2026-05-26 18:25:34.816552+02:00,ETH,UP,False,-104.083836,196.0784,0.5308276485324238,5m,4519.288567740307,4.0,S4,47.096265744855906,4.0
2026-05-26 18:25:36.848620+02:00,SOL,UP,False,-101.94056,188.6792,0.5402850976684235,5m,4302.5800533849615,4.0,S4,46.27186666426003,4.0
