at,tf,symbol,signal,fair_edge_bp,kelly_mult,kelly_rule,kelly_notional_usd,cvd_30s,macd_hist,rvol_30_300,vwap_dev_bps,fair_up,entry_phase
2026-05-26 14:17:08.428294+02,5m,BTC,DOWN,2807.9152011717647,1.0,S8,25.0,-296972.8805886,-0.21274413987272234,3.588709653532942,-0.002650532562756143,0.8107915201171765,t_plus_120
2026-05-26 14:27:11.363528+02,5m,ETH,DOWN,-2857.1341583466674,1.0,S8,25.0,-1453.830723999999,-0.03276773962693986,0.6220472594554582,-9.486898368757345,0.22428658416533326,t_plus_120
2026-05-26 14:27:11.365422+02,5m,SOL,DOWN,-544.742459347009,1.0,S8,25.0,88603.62917,-0.002119460486337848,1.5176770794221262,-9.192591796851163,0.4555257540652991,t_plus_120
2026-05-26 14:37:06.021287+02,5m,BTC,UP,-1414.4288734425863,1.0,S8,25.0,-173802.5498714,0.20034800296468247,1.610281130120514,0.22718234715081848,0.36855711265574137,t_plus_120
2026-05-26 14:42:08.097317+02,5m,ETH,UP,2523.4784104425366,3.0,S8,75.0,-38817.483718,0.03755937112306891,1.9906649478726468,6.393900209284727,0.7623478410442537,t_plus_120
2026-05-26 14:57:10.70257+02,5m,ETH,UP,773.5880969453679,1.0,S4,25.0,6672.370448999995,0.009876831305552888,0.29727611273999566,10.50266400967499,0.5773588096945368,t_plus_120
2026-05-26 14:57:10.707474+02,5m,BTC,UP,1849.9644192862097,1.0,S4,25.0,-150665.95682660004,0.8669723313335447,1.6449229929532505,3.47245420509369,0.694996441928621,t_plus_120
2026-05-26 15:07:08.934644+02,5m,ETH,DOWN,-2935.045365409336,3.0,S4,75.0,-32477.726374,0.026898314935145384,1.2254936633651359,-8.488503767242138,0.21649546345906645,t_plus_120
2026-05-26 15:12:02.235006+02,5m,ETH,DOWN,-2028.9068837003376,2.0,S4,50.0,-51597.431098,0.02066239083396726,2.1231890467977172,-8.510907263098835,0.30710931162996624,t_plus_120
2026-05-26 15:22:06.222176+02,5m,BTC,DOWN,-5175.19388249828,3.0,S4,75.0,-2241256.2345545003,-13.150932770811764,6.072416620114742,-15.566477050393384,0.0024806117501720015,t_plus_120
