sleeve,tf,asset,slug,direction,fe,mult,rule,vwap,shares,won,pnl,pnl_legacy
kelly,5m,SOL,sol-updown-5m-1780037100,DOWN,1985.2772416082764,2.0,S8,0.5195976367804435,96.22830525137195,False,-50.0,-50.0
kelly,15m,ETH,eth-updown-15m-1780037100,UP,199.05382971849517,1.0,S8,0.49000000953674316,51.02040717026833,True,25.12790718695763,25.499999026862962
S3_prewindow,5m,ETH,eth-updown-5m-1780037100,DOWN,1583.8463926591007,1.0,S3,0.5,50.0,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1780037700,UP,293.2843685579678,1.0,S8,0.5142242200112404,48.61692434372991,True,22.766816728749586,23.14458585685532
kelly,5m,BTC,btc-updown-5m-1780038300,DOWN,490.7128378558467,1.0,S8,0.5,50.0,True,24.125,24.5
S3_prewindow,5m,SOL,sol-updown-5m-1780038900,UP,670.6738535462142,1.0,S3,0.5122163483757579,48.807501125794204,False,-25.0,-25.0
kelly,15m,BTC,btc-updown-15m-1780038900,DOWN,2405.5774255441142,3.0,S8,0.502682258198293,149.1996162124639,True,71.58869806800493,72.71562388821461
kelly,5m,BTC,btc-updown-5m-1780039200,UP,-2491.658030796581,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1780039200,DOWN,3770.2147387064188,1.0,S3,0.5,50.0,True,24.125,24.5
kelly,5m,SOL,sol-updown-5m-1780039800,DOWN,1821.0943010406822,2.0,S4,0.5252725231895151,95.18868357399366,True,43.527137405156964,44.28490990251378
kelly,15m,BTC,btc-updown-15m-1780039800,UP,2229.554248463851,3.0,S8,0.5099999904632568,147.05882627933775,False,-75.0,-75.0
kelly,5m,BTC,btc-updown-5m-1780040400,DOWN,685.0598602177405,1.0,S4,0.5,50.0,True,24.125,24.5
kelly,5m,BTC,btc-updown-5m-1780040700,DOWN,-901.414265477809,1.0,S8,0.4832347098880664,51.734694318193434,True,25.83035506049755,26.200000431829565
kelly,5m,SOL,sol-updown-5m-1780040700,DOWN,-150.38183249633795,1.0,S8,0.49406138793134796,50.60099941158296,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1780041000,UP,877.7555001465931,1.0,S3,0.5299999713897705,47.1698138670551,False,-25.000000000000004,-25.000000000000004
kelly,5m,BTC,btc-updown-5m-1780041300,UP,1903.2683513201532,2.0,S8,0.550000011920929,90.90908893868948,True,39.33408898041272,40.09090715991568
S3_prewindow,5m,BTC,btc-updown-5m-1780041300,UP,1645.8793539999826,1.0,S3,0.5299999713897705,47.1698138670551,True,21.347313816987192,21.726417589713993
kelly,5m,ETH,eth-updown-5m-1780041300,UP,2531.217547967346,3.0,S4,0.5453773905375396,137.51945222019168,True,60.132683520513766,61.26906317578785
S3_prewindow,5m,ETH,eth-updown-5m-1780041300,UP,208.68374402929325,1.0,S3,0.5458883845463423,45.79690777039728,True,20.002212443353383,20.380969614989336
kelly,5m,SOL,sol-updown-5m-1780041600,UP,-1941.2517901983017,1.0,S8,0.5226618069375997,47.832077393374064,True,21.996735555514864,22.375435845506583
kelly,5m,SOL,sol-updown-5m-1780041900,UP,3380.467507910622,4.0,S4,0.5166856489030613,193.5412764265911,True,90.15807596891254,91.67045089805929
kelly,5m,BTC,btc-updown-5m-1780041900,UP,2322.6159831404248,3.0,S4,0.5099999904632568,147.05882627933775,True,69.48632622926985,70.617649753751
kelly,5m,ETH,eth-updown-5m-1780042200,DOWN,1842.475394927241,2.0,S8,0.5,100.0,True,48.25,49.0
kelly,15m,BTC,btc-updown-15m-1780042500,UP,-438.28990520729747,1.0,S8,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
kelly,15m,SOL,sol-updown-15m-1780042500,UP,2010.0268930306108,3.0,S4,0.5276372745337151,142.14310402213184,True,64.66319971343384,65.8002419416892
kelly,5m,ETH,eth-updown-5m-1780042800,UP,-319.1174533612079,1.0,S8,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
S3_prewindow,5m,ETH,eth-updown-5m-1780042800,UP,936.9663988591137,1.0,S3,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
S3_prewindow,5m,ETH,eth-updown-5m-1780043100,UP,2051.470052690534,1.0,S3,0.49000000953674316,51.02040717026833,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1780043100,UP,2810.1240249995208,1.0,S3,0.6335458874994175,39.460440819328944,True,13.819146122452928,14.171232002942366
S3_prewindow,5m,BTC,btc-updown-5m-1780043400,UP,2106.8880996016837,1.0,S3,0.47999998927116394,52.083334497486575,True,26.173334478711112,26.541667807536843
kelly,15m,ETH,eth-updown-15m-1780043400,UP,-1204.54689038074,1.0,S8,0.5199999809265137,48.07692484037417,False,-25.0,-25.0
S4_prewindow,15m,ETH,eth-updown-15m-1780043400,UP,4514.648514387764,1.0,S4,0.47999998927116394,52.083334497486575,False,-25.0,-25.0
