sleeve_id,anchor,gate_stack,depth,offset_filter,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full
TS_RFA_OFF[60-240]_VWAP[none],offset_60-240,g_rf_aged&g_tr_stack_full_with,2,60-240,133,36,27,257,74.43609022556392,66.66666666666666,66.66666666666666,71.20622568093385,-1.5241939233906234,0.7239400616912219,0.060238276113650374,-0.026178291427427475,-6.727820896848861,-41.15323593154683,125.419001554567,212.72566302730561,3,5,-3.5585501245085913,-0.07527679768904794,33,4,0.6860250427260741,0.5098536376449633
TS_RFA_OFF[240-480]_VWAP[none],offset_240-480,g_rf_aged&g_tr_stack_full_with,2,240-480,92,19,20,168,79.34782608695652,73.68421052631578,95.0,79.16666666666666,7.254512971170174,-0.6050489594189661,-2.3114878745053438,-0.40454726467139224,-67.9639404647939,145.09025942340347,25.0,264.4074543333279,1,3,54.16287055480764,-1.0631881365644498,32,4,0.0024551001725517385,0.6387422638885368
TS_RFA_OFF[480-840]_VWAP[none],offset_480-840,g_rf_aged&g_tr_stack_full_with,2,480-840,123,37,19,221,87.8048780487805,86.48648648648648,94.73684210526315,87.33031674208145,1.8468011527105874,2.143795366326885,-0.41873843925623605,1.2729359437492864,281.3188435685923,35.08922190150116,25.0,149.26503641454156,1,2,7.2218493124299625,2.197795008630607,33,4,0.15385498197231656,0.2382856500380937
TS_RFA_OFF[late_480plus]_VWAP[none],offset_late_480plus,g_rf_aged&g_tr_stack_full_with,2,late_480plus,166,45,29,297,84.93975903614458,84.44444444444444,96.55172413793103,85.52188552188552,4.297597941970459,1.1813856878208717,-0.6833118114333665,0.9114215727951276,270.6922071201529,124.6303403171433,25.0,237.02463951977228,1,2,27.63522797777388,2.057106714562878,33,4,0.006372642066787559,0.23763222502949422
TS_RFA_OFF[late_360plus]_VWAP[none],offset_late_360plus,g_rf_aged&g_tr_stack_full_with,2,late_360plus,215,56,39,389,84.18604651162791,82.14285714285714,94.87179487179486,83.80462724935732,4.619986700638579,0.9675457013565675,-1.060921283358612,0.5484701879275021,213.35490310379834,180.1794813249046,47.1271421732404,295.84726741006983,1,3,51.65436619040184,1.5756481113270715,33,4,0.0023489101224083986,0.30766785834183163
TS_RFA_OFF[all]_VWAP[g_vwap_sweet],offset_all,g_rf_aged&g_tr_stack_full_with&g_vwap_sweet,3,all,140,44,32,282,67.14285714285714,63.63636363636363,81.25,67.02127659574468,4.240205828664858,-0.5237717733131296,0.3421898896663867,-0.2373616650569169,-66.93598954605056,135.68658651727546,50.0,370.30456900850163,2,4,11.973370997664126,-0.6004050911727199,32,4,0.04689443624004108,0.5884969744842989
TS_RFA_OFF[60-240]_VWAP[g_vwap_sweet],offset_60-240,g_rf_aged&g_tr_stack_full_with&g_vwap_sweet,3,60-240,97,31,20,189,72.16494845360825,64.51612903225806,70.0,68.25396825396825,0.9428082458956331,1.4248929835975916,0.49919073862665425,0.4595171088150349,86.84873356604159,18.85616491791266,70.65352331831785,175.5280360555441,2,6,2.628972651869693,1.0280357063720598,32,4,0.4068816526433905,0.36597904284969907
TS_RFA_OFF[240-480]_VWAP[g_vwap_sweet],offset_240-480,g_rf_aged&g_tr_stack_full_with&g_vwap_sweet,3,240-480,31,7,7,55,54.83870967741935,57.14285714285714,100.0,61.81818181818181,9.632398717474066,-4.958686156823449,-3.1672636636479554,-2.6132193549253273,-143.727064520893,67.42679102231847,0.0,271.8550508355377,0,4,19.114355139956526,-3.138430683837866,25,3,,0.8626963587812944
TS_RFA_OFF[late_480plus]_VWAP[g_vwap_sweet],offset_late_480plus,g_rf_aged&g_tr_stack_full_with&g_vwap_sweet,3,late_480plus,21,8,8,56,42.857142857142854,75.0,100.0,64.28571428571429,10.12220746667508,-10.387127895241871,6.516524831977513,-1.8204595305097213,-101.9457337085444,80.97765973340064,0.0,274.6120470416122,0,3,18.900709506459354,-2.19696740396329,27,4,,0.7853848240730072
TS_RFA_OFF[late_360plus]_VWAP[g_vwap_sweet],offset_late_360plus,g_rf_aged&g_tr_stack_full_with&g_vwap_sweet,3,late_360plus,43,13,12,93,55.81395348837209,61.53846153846154,100.0,64.51612903225806,9.735868466613567,-4.919596922623362,-0.03219675016194346,-1.6535991732483022,-153.7847231120921,116.83042159936281,0.0,338.20950606408894,0,4,16.33976094670945,-2.2973597739574334,29,4,0.0001,0.8085370534597933
