sleeve_id,anchor,gate_stack,depth,confidence,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_full,n_days_lock,bootstrap_p_lockbox,bootstrap_p_full,offset_filter
OFFSET_120-240_WD5,offset_120-240s,g_tr_stack_full_with&g_vol_high&g_ribbon_agrees&g_tr_above_ema200&g_tr_above_ema800,5,HIGH,26,12,9,47,73.07692307692307,75.0,88.88888888888889,76.59574468085107,12.116668448167118,3.654491452715903,171.76109827764745,109.05001603350406,25.0,90.85611852651992,1,2,20.84149175008889,4.585684506037481,20,4,,0.0909201975312134,all
EXH3_tr_s_vol__tren,offset_60s+,g_tr_stack_full_with&g_vol_high&g_trend_slope_with,3,HIGH,141,68,43,252,73.75886524822694,83.82352941176471,79.06976744186046,77.38095238095238,3.2480227928495795,1.0749187159083804,270.87951640891185,139.66498009253192,75.0,262.051404058496,3,8,5.54040498994612,3.0036738690704814,22,4,0.1039708880828284,0.1565201911379792,all
LATE_3T_rf_a_tr_s_tr_s,late_480s+,g_rf_aged&g_tr_stack_full_with&g_tr_stack_with,3,HIGH,166,45,29,297,84.93975903614458,84.44444444444444,96.55172413793105,85.52188552188552,4.297597941970459,0.9114215727951276,270.6922071201529,124.6303403171433,25.0,237.02463951977228,1,2,27.63522797777388,2.057106714562878,33,4,0.0063726420667875,0.2376322250294942,all
TS_RFA_OFF[late_480plus]_VWAP[none],offset_late_480plus,g_rf_aged&g_tr_stack_full_with,2,HIGH,166,45,29,297,84.93975903614458,84.44444444444444,96.55172413793105,85.52188552188552,4.297597941970459,0.9114215727951276,270.6922071201529,124.6303403171433,25.0,237.02463951977228,1,2,27.63522797777388,2.057106714562878,33,4,0.0063726420667875,0.2376322250294942,late_480plus
TS_RFA_OFF[late_360plus]_VWAP[none],offset_late_360plus,g_rf_aged&g_tr_stack_full_with,2,HIGH,215,56,39,389,84.18604651162791,82.14285714285714,94.87179487179486,83.80462724935732,4.619986700638579,0.5484701879275021,213.35490310379836,180.1794813249046,47.1271421732404,295.84726741006983,1,3,51.65436619040184,1.5756481113270715,33,4,0.0023489101224083,0.3076678583418316,late_360plus
