gate,n,wr,dpt,sum,max_dd,loss_streak,sharpe
g_tr_stack_full_with,5568,77.4066091954023,0.1912804965219871,1065.0498046344242,1300.583952899088,6,2.187387565082075
g_tr_stack_with,5568,77.4066091954023,0.1912804965219871,1065.0498046344242,1300.583952899088,6,2.187387565082075
g_tr_above_ema800,17064,69.31551804969527,-0.8303800093511587,-14169.604479568174,14958.147874478705,38,-9.76802008829799
g_stoch_with,16544,68.00652804642166,-0.9724714054081511,-16088.566931072452,17349.657564235,11,-10.768327702095675
g_mp_no_extreme,16646,56.26576955424727,-1.131716393585801,-18838.551087629243,18916.12712817427,8,-46.058334154243944
g_tr_above_ema200,17224,62.20390153274501,-1.815523784251817,-31270.581659953295,31772.366205357044,38,-18.90391946911965
g_markov_with,1783,47.95288839035334,-1.8239206657500875,-3252.050547032406,4521.937231247762,35,-3.936085299854277
g_tr_above_cloud,17293,58.630659804545196,-2.2844165325288723,-39504.41509702179,39789.84612109656,38,-23.558466610584574
g_ribbon_agrees,16776,58.82212684787792,-2.385759423655269,-40023.50009124079,40256.724427114794,9,-19.201025759485013
g_vol_high,2805,48.59180035650624,-2.6099981724606747,-7321.044873752193,7381.466277169817,4,-4.168665672952921
g_mfi_with,16830,55.58526440879382,-2.63927304098348,-44418.96527975197,44767.580812485845,12,-25.566837823445624
g_tr_above_ema50,17352,55.469110189027205,-2.689771840658439,-46672.920979105234,46704.29804952332,38,-23.815863780830682
g_cci_with,16836,55.36350677120456,-2.6939179424602617,-45354.802479260965,45386.179549679095,10,-22.16390189100625
g_bb_pos_with,16803,55.19847646253645,-2.744669271166468,-46118.67776341016,46150.054833828304,10,-22.819276438988908
g_vol_expanding,7022,48.59014525776132,-2.860601848039493,-20087.14617693332,21513.151313227012,4,-8.801129674452406
g_rf_with,16893,53.03972059432901,-2.868866368429048,-48463.759561871906,48539.25277643172,13,-24.21688853139331
g_rf_strong,13623,51.43507303824415,-3.142877313797496,-42815.41764586329,42846.38741203681,12,-24.426864857378913
g_ribbon_slope_with,16888,51.28493604926575,-3.17525632095351,-53623.728748262874,53655.105818680764,12,-23.539556163481226
g_rf_in_band,10054,48.65725084543465,-3.676793708104855,-36966.48394128621,36992.00323289495,4,-15.197562092926892
g_tr_above_pp,17361,49.94527964978976,-3.767093872969892,-65400.5167286303,66544.11562599077,68,-26.21387309683061
g_tr_within_adr,19038,48.907448261372,-3.7694948335219225,-71763.64264059036,71842.6544660056,4,-19.73480868243241
g_rf_fresh,31067,48.84282357485435,-3.7981553647519033,-117997.29271674738,118327.73923728272,4,-40.165342642184605
g_tight_ribbon,31686,48.898567190557344,-3.8719310509422753,-122686.00728015693,123105.31332193999,4,-52.24391693203756
g_tr_in_active_session,30849,48.81843819896917,-3.8732374289664415,-119485.50144618575,119895.61912857858,4,-36.338937610379375
g_hurst_trending,5228,48.68018362662586,-3.9142824774634417,-20463.868792178873,20832.309083648677,4,-18.10522198988687
g_trend_slope_with,13743,48.148148148148145,-3.9406440610689972,-54156.27133127123,54886.51850158282,65,-19.258324076467968
g_rf_aged,2901,48.845225784212346,-4.007174926714333,-11624.81446239828,11744.844081643676,3,-17.154197590896185
g_trend_slope_strong_with,3508,45.86659064994299,-4.238786180922607,-14869.661922676503,15139.185237742842,48,-10.963021373610315
