sleeve,venue,kind,is_n,is_wr,is_mean,is_sum,oos_n,oos_wr,oos_mean,oos_sum,PASS,q_lo,q_hi
S1,coinbase,against,32,0.59375,4.484966312653132,143.51892200490022,5,0.8,14.415686439206059,72.07843219603029,True,-0.0006674531738367243,0.0005110883438050194
S1,coinbase,with,4,0.75,11.973323470245168,47.89329388098067,0,,,0.0,False,-0.0006674531738367243,0.0005110883438050194
S1,kraken,against,18,0.7777777777777778,13.681638713918412,246.26949685053143,7,0.7142857142857143,10.225490313718613,71.57843219603029,True,-0.00089739945786844,0.00043856926733603415
S1,kraken,with,2,1.0,25.583438145633338,51.166876291266675,0,,,0.0,False,-0.00089739945786844,0.00043856926733603415
S1,okx,against,34,0.5882352941176471,4.124862929253358,140.24533959461417,5,0.6,4.315686633833467,21.578433169167333,True,-0.0005168272023906754,0.0006120585808521942
S1,okx,with,2,1.0,25.583438145633338,51.166876291266675,0,,,0.0,False,-0.0005168272023906754,0.0006120585808521942
S1,hyperliquid,against,19,0.5789473684210527,3.776975298766622,71.76253067656582,1,1.0,24.5,24.5,False,-0.0005939447970369291,-0.0004413773167175131
S1,hyperliquid,with,15,0.4666666666666667,-1.8471070611777411,-27.706605917666117,3,1.0,26.19444488064555,78.58333464193664,False,-0.0005939447970369291,-0.0004413773167175131
S2,coinbase,against,22,0.5909090909090909,5.23561247963898,115.18347455205756,5,1.0,26.38917565901046,131.9458782950523,True,-0.0004351786409301588,9.291735579778718e-05
S2,coinbase,with,20,0.6,6.489590793121607,129.79181586243214,3,0.6666666666666666,9.420289533012085,28.260868599036254,False,-0.0004351786409301588,9.291735579778718e-05
S2,okx,against,22,0.5,0.18438954422734388,4.056569973001565,6,0.8333333333333334,17.824313049175384,106.94587829505231,True,-0.0001776146605431007,0.00017340973718069292
S2,okx,with,20,0.65,8.800696033306263,176.01392066612524,3,0.6666666666666666,9.420289533012085,28.260868599036254,False,-0.0001776146605431007,0.00017340973718069292
S2,hyperliquid,against,21,0.7142857142857143,11.929897305955157,250.5278434250583,2,0.0,-25.0,-50.0,False,-0.0005866813045259632,-0.00042974816069311206
S2,hyperliquid,with,19,0.5263157894736842,1.3020950807514893,24.739806534278294,4,0.5,0.8191376952081146,3.2765507808324585,False,-0.0005866813045259632,-0.00042974816069311206
S3,coinbase,against,12,0.6666666666666666,10.95752570509245,131.4903084611094,4,0.75,13.996528423566641,55.986113694266564,False,-0.0005667348008927917,-6.241965303886631e-05
S3,coinbase,with,14,0.5714285714285714,4.813910134443133,67.39474188220386,2,0.5,-0.25,-0.5,False,-0.0005667348008927917,-6.241965303886631e-05
S3,okx,against,11,0.5454545454545454,4.172922668464315,45.90214935310746,4,0.75,13.996528423566641,55.986113694266564,False,-0.00026228434148876093,4.701509482386411e-05
S3,okx,with,15,0.6,6.716131056541764,100.74196584812645,3,0.6666666666666666,9.420289533012085,28.260868599036254,False,-0.00026228434148876093,4.701509482386411e-05
S3,hyperliquid,against,12,0.5833333333333334,6.090159344612565,73.08191213535078,1,0.0,-25.0,-25.0,False,-0.0005972673219408821,-0.0004300652963495765
S3,hyperliquid,with,12,0.4166666666666667,-4.307297077917778,-51.687564935013334,3,0.3333333333333333,-6.685184704423428,-20.055554113270283,False,-0.0005972673219408821,-0.0004300652963495765
S5,coinbase,against,20,0.65,8.013255171942882,160.26510343885764,9,0.6666666666666666,8.571666399836538,77.14499759852885,True,-0.0014806755197017403,0.00016130180148757458
S5,coinbase,with,6,0.5,0.5789170035833777,3.4735020215002663,1,0.0,-25.0,-25.0,False,-0.0014806755197017403,0.00016130180148757458
S5,okx,against,20,0.65,8.013255171942882,160.26510343885764,9,0.6666666666666666,8.571666399836538,77.14499759852885,True,-0.0013235711072767124,0.0003945798755540462
S5,okx,with,6,0.5,0.5789170035833777,3.4735020215002663,1,0.0,-25.0,-25.0,False,-0.0013235711072767124,0.0003945798755540462
S5,hyperliquid,against,15,0.8,15.56179358321453,233.42690374821797,6,0.5,0.27416659080048805,1.6449995448029284,False,-0.00048468498466295397,-0.0003009159921193402
S5,hyperliquid,with,11,0.7272727272727273,12.103876738924278,133.14264412816706,1,0.0,-25.0,-25.0,False,-0.00048468498466295397,-0.0003009159921193402
