asset,venue,n_bars,xc_lag_min10,xc_lag_min5,xc_lag_min2,xc_lag_min1,xc_lag_0,xc_lag_pos1,xc_lag_pos2,xc_lag_pos5,best_lag_min_at_max_xc,best_xc,best_lag_min_at_max_abs,best_abs_xc,best_lag_hi_vol,best_xc_hi_vol
BTC,coinbase,11975,0.001001251052718787,-0.004837330541618876,0.0008497468296900854,0.02436951538102505,0.9804314776368975,0.05276442083126216,-0.00026061801267966754,-0.005567704946637269,0,0.9804314776368975,0,0.9804314776368975,0,0.9923525001697769
BTC,kraken,12373,0.0011643395054766693,0.001804016873012713,0.016108446041153957,0.1810823889827473,0.8899243280139638,0.03066391926516548,-0.002541733433140057,0.00010077076910869283,0,0.8899243280139638,0,0.8899243280139638,0,0.9427242739074051
BTC,okx,12509,-0.0009916401312319062,-0.005993309999344762,-0.001737650689567372,0.03291775732825704,0.9842986560322265,0.04830043916326508,-0.0017540642232938281,-0.004794672697194623,0,0.9842986560322265,0,0.9842986560322265,0,0.9942054171798248
BTC,hyperliquid,12511,-0.0024594195411433086,-0.0026129541596313236,-0.002690172205783983,0.050164043487158215,0.9766224648349521,0.045415749401820575,-1.9519077135619934e-05,-0.0024409780980939348,0,0.9766224648349521,0,0.9766224648349521,0,0.9886130565401227
ETH,coinbase,11972,-0.0011512038938009906,-0.01719282573187204,-0.017070027819504115,0.027494525057169893,0.9847524070574677,0.03829719882310208,-0.023075237053249566,-0.020254309831543083,0,0.9847524070574677,0,0.9847524070574677,0,0.9936125703760355
ETH,kraken,12323,-0.0020349148797296165,-0.012975574217306043,-0.019627685712835696,0.13479632473430897,0.9005208978073291,0.025630768964726807,-0.025278695518728217,-0.01172884397578362,0,0.9005208978073291,0,0.9005208978073291,0,0.9473953843865548
ETH,okx,12508,-0.005377700832442569,-0.01576139569933821,-0.026679735504854394,0.02962324137608883,0.9875359022305694,0.04090334839453183,-0.02633129312820387,-0.015426748305593083,0,0.9875359022305694,0,0.9875359022305694,0,0.995269971579198
ETH,hyperliquid,12511,-0.0035836457252665507,-0.01633513672499401,-0.02301125198783149,0.059029657826811945,0.9795878763777595,0.030630817901459582,-0.02585111011549321,-0.014226392895715716,0,0.9795878763777595,0,0.9795878763777595,0,0.9906154435668548
SOL,coinbase,11971,-0.0032498807684254788,-0.006557338864526,-0.026751931937624873,0.045623435774400256,0.978806243026105,0.04852110596899916,-0.027802056523644585,-0.00511572476350034,0,0.978806243026105,0,0.978806243026105,0,0.9918242738556812
SOL,kraken,12343,-0.015440851019611578,-0.0017578987166181807,-0.022432446977708624,0.12288666402568454,0.9097941884407637,0.04110862181719973,-0.03530549835501303,0.0008707119633736121,0,0.9097941884407637,0,0.9097941884407637,0,0.9571536395222187
SOL,okx,12507,-0.004973193523883075,-0.00593415155590891,-0.03045071861522206,0.050642177015686136,0.9809081059761456,0.04690392448720705,-0.031977294207660614,-0.00250130296410512,0,0.9809081059761456,0,0.9809081059761456,0,0.9929128102046447
SOL,hyperliquid,12510,-0.004917364808244467,-0.010413865300045164,-0.023129605794221672,0.06398688266885647,0.9747395439026537,0.04648899785856517,-0.03226043541214924,-0.0015815620641242676,0,0.9747395439026537,0,0.9747395439026537,0,0.9889244697726612
