asset,fwd_s,n,mean_ret_bps,std_ret_bps,P_up,abs_mean_bps,baseline_P_up,baseline_abs_mean_bps,vol_lift_x,kind
BTC,5,48471,-0.45493921544446064,7.090409703493075,0.3812382661797776,2.4413328182705953,0.3191392791566091,0.44989519447102844,5.426447866688223,
BTC,30,48471,-1.4052455861459499,10.012532912167195,0.38478677972395864,5.1896868071267654,0.42247942068453304,1.6969710882632827,3.058205789727393,
BTC,60,48471,-2.130267299823298,11.838478280805433,0.37960842565657815,6.631551663575135,0.4513007777846547,2.572281841357707,2.5780812805780475,
BTC,120,48471,-1.920761653630633,12.236423059131454,0.39173939056342966,7.6021734591533,0.4666089001671102,3.7829369894766915,2.0095955815021225,
BTC,300,48471,-1.7519631509286875,16.278920624672352,0.41241154504755423,10.894703669505514,0.4715190526294073,6.118817022421374,1.780524508182498,
BTC,60,950,-1.2896375609941242,,0.3547368421052632,,,,,net_short_extreme_pos
BTC,60,768,2.1492610688888005,,0.5859375,,,,,net_short_extreme_neg
BTC,120,950,-1.522058889342387,,0.38,,,,,net_short_extreme_pos
BTC,120,768,2.0921709088432614,,0.5481770833333334,,,,,net_short_extreme_neg
BTC,300,950,-1.253789885850125,,0.4052631578947368,,,,,net_short_extreme_pos
BTC,300,768,1.868287670655185,,0.5338541666666666,,,,,net_short_extreme_neg
ETH,5,25270,0.014021906937148313,3.117988267633337,0.3972299168975069,1.6882102279037094,0.3417886822318955,0.6316832479338106,2.6725581744105464,
ETH,30,25270,-0.03786165211573397,6.597537177969158,0.44273842500989313,3.868180270153101,0.44780371982588046,2.2359882419824895,1.7299644951278745,
ETH,60,25270,0.05656154283701696,7.967347954384992,0.46090225563909776,4.975761405809396,0.4635536208943411,3.269377874331755,1.5219291244596245,
ETH,120,25270,-0.00360152646668775,10.709583687873735,0.4523545706371191,6.712102177153103,0.46842105263157896,4.694741245640682,1.4297065218206964,
ETH,300,25270,-0.01629150633409015,15.212797636420346,0.45239414325286903,9.72411663687547,0.4667194301543332,7.500440249613791,1.2964727820311854,
ETH,60,707,-2.1487131135997384,,0.3606789250353607,,,,,net_short_extreme_pos
ETH,60,511,3.621413663020031,,0.5949119373776908,,,,,net_short_extreme_neg
ETH,120,707,-2.2773272199233747,,0.38189533239038187,,,,,net_short_extreme_pos
ETH,120,511,3.7679502409704795,,0.5851272015655578,,,,,net_short_extreme_neg
ETH,300,707,-1.1690174143929553,,0.42574257425742573,,,,,net_short_extreme_pos
ETH,300,511,4.56657997427081,,0.5557729941291585,,,,,net_short_extreme_neg
SOL,5,22225,0.29723255708595253,5.066456400930453,0.37025871766029245,2.566543181649462,0.28391451068616425,1.0088348164822665,2.544066818192111,
SOL,30,22225,0.11833687952466761,9.379931532257848,0.40832395950506184,5.402818048544994,0.39797525309336335,2.7544385894220147,1.9614951915405414,
SOL,60,22225,0.9780846309731889,14.286330736712877,0.4382902137232846,7.827860159518763,0.42164229471316084,4.028468338133454,1.9431355796991854,
SOL,120,22225,1.3241681889922365,17.008015854900133,0.4567379077615298,10.258398809354285,0.43613048368953883,5.8152710016118165,1.76404484099038,
SOL,300,22225,1.8522933667531067,22.195618167130256,0.4505286839145107,14.408888287908288,0.45205849268841397,9.187490123562837,1.5683160573913775,
SOL,60,592,-3.0492873741222986,,0.34290540540540543,,,,,net_short_extreme_pos
SOL,60,700,4.476795450556716,,0.6157142857142858,,,,,net_short_extreme_neg
SOL,120,592,-3.1432498668377233,,0.35135135135135137,,,,,net_short_extreme_pos
SOL,120,700,4.557688562519452,,0.6028571428571429,,,,,net_short_extreme_neg
SOL,300,592,-1.821996249014173,,0.3935810810810811,,,,,net_short_extreme_pos
SOL,300,700,4.700350172349036,,0.5485714285714286,,,,,net_short_extreme_neg
