asset,venue,lag_min,xc
ETH,hyperliquid,-6,-0.0003026524614454278
ETH,hyperliquid,-5,-0.01633513672499401
ETH,hyperliquid,-4,-0.008317662470967198
ETH,hyperliquid,-3,-0.005836359538312317
ETH,hyperliquid,-2,-0.02301125198783149
ETH,hyperliquid,-1,0.059029657826811945
ETH,hyperliquid,0,0.9795878763777595
ETH,hyperliquid,1,0.030630817901459582
ETH,hyperliquid,2,-0.02585111011549321
ETH,hyperliquid,3,-0.011242250689953997
ETH,hyperliquid,4,-0.010127040331357588
ETH,hyperliquid,5,-0.014226392895715716
ETH,hyperliquid,6,-0.0009146905747711771
ETH,hyperliquid,7,-0.003926710395453634
ETH,hyperliquid,8,0.005352428699835185
ETH,hyperliquid,9,-0.0019364654087726512
ETH,hyperliquid,10,-0.004059762703980864
SOL,coinbase,-10,-0.0032498807684254788
SOL,coinbase,-9,-0.01803097211110472
SOL,coinbase,-8,-0.004275710673900047
SOL,coinbase,-7,0.0028888174791309755
SOL,coinbase,-6,0.0034188588257102947
SOL,coinbase,-5,-0.006557338864526
SOL,coinbase,-4,-0.0014753370608619697
SOL,coinbase,-3,-0.015597926526492386
SOL,coinbase,-2,-0.026751931937624873
SOL,coinbase,-1,0.045623435774400256
SOL,coinbase,0,0.978806243026105
SOL,coinbase,1,0.04852110596899916
SOL,coinbase,2,-0.027802056523644585
SOL,coinbase,3,-0.016430661626035407
SOL,coinbase,4,-0.0013109460830007206
SOL,coinbase,5,-0.00511572476350034
SOL,coinbase,6,-0.0012815548053412109
SOL,coinbase,7,0.004972182625028275
SOL,coinbase,8,-0.010579115205057672
SOL,coinbase,9,-0.014387207879636238
SOL,coinbase,10,-0.004516096582930585
SOL,kraken,-10,-0.015440851019611578
SOL,kraken,-9,-0.010550593587880533
SOL,kraken,-8,0.006587246384843197
SOL,kraken,-7,-0.0072950005313359816
SOL,kraken,-6,0.003674493319726705
SOL,kraken,-5,-0.0017578987166181807
SOL,kraken,-4,-0.006970782789552681
SOL,kraken,-3,-0.01075565148254604
SOL,kraken,-2,-0.022432446977708624
SOL,kraken,-1,0.12288666402568454
SOL,kraken,0,0.9097941884407637
SOL,kraken,1,0.04110862181719973
SOL,kraken,2,-0.03530549835501303
SOL,kraken,3,-0.012447125439700828
SOL,kraken,4,-0.010592910116952672
SOL,kraken,5,0.0008707119633736121
SOL,kraken,6,-0.003423371139836488
SOL,kraken,7,0.0020837319373566863
SOL,kraken,8,-0.0029774034970849014
SOL,kraken,9,-0.010734976535845667
SOL,kraken,10,-0.009107789449338072
SOL,okx,-10,-0.004973193523883075
SOL,okx,-9,-0.01734286110962756
SOL,okx,-8,-0.006057627897110156
SOL,okx,-7,0.0016808835422436248
SOL,okx,-6,0.003124149909968133
SOL,okx,-5,-0.00593415155590891
SOL,okx,-4,-0.00402653755166707
SOL,okx,-3,-0.012066408420834625
SOL,okx,-2,-0.03045071861522206
SOL,okx,-1,0.050642177015686136
SOL,okx,0,0.9809081059761456
SOL,okx,1,0.04690392448720705
SOL,okx,2,-0.031977294207660614
SOL,okx,3,-0.014227607159707082
SOL,okx,4,-0.003533346751542076
SOL,okx,5,-0.00250130296410512
SOL,okx,6,-7.019844441743618e-05
SOL,okx,7,0.003192584343412855
SOL,okx,8,-0.01021652850156415
SOL,okx,9,-0.013271466310397627
SOL,okx,10,-0.005960215639133535
SOL,hyperliquid,-10,-0.004917364808244467
SOL,hyperliquid,-9,-0.017665327918066805
SOL,hyperliquid,-8,-0.006529016780437159
SOL,hyperliquid,-7,-0.001390527906917508
SOL,hyperliquid,-6,0.006730619365161821
SOL,hyperliquid,-5,-0.010413865300045164
SOL,hyperliquid,-4,-0.004001762613184795
SOL,hyperliquid,-3,-0.01054439375186685
SOL,hyperliquid,-2,-0.023129605794221672
SOL,hyperliquid,-1,0.06398688266885647
SOL,hyperliquid,0,0.9747395439026537
SOL,hyperliquid,1,0.04648899785856517
SOL,hyperliquid,2,-0.03226043541214924
SOL,hyperliquid,3,-0.011913139238578495
SOL,hyperliquid,4,-0.006950359816943267
SOL,hyperliquid,5,-0.0015815620641242676
SOL,hyperliquid,6,0.004199503916825058
SOL,hyperliquid,7,-0.0006235807863378937
SOL,hyperliquid,8,-0.006528567457267957
SOL,hyperliquid,9,-0.016366300347956147
SOL,hyperliquid,10,-0.0044871507256043575
