sleeve,venue,gate,n,wr,mean,sum,lift
S1,,BASE,70,0.6142857142857143,5.5974387804449455,391.8207146311462,0.0
S1,coinbase,basis_extreme_against_sleeve,37,0.6216216216216216,5.826955518944068,215.5973542009305,0.22951673849912257
S1,kraken,basis_extreme_against_sleeve,23,0.7391304347826086,11.452325354775303,263.403483159832,5.854886574330357
S1,okx,basis_extreme_against_sleeve,39,0.6153846153846154,5.444199276683192,212.32377179064449,-0.15323950376175333
S1,hyperliquid,basis_extreme_with_sleeve,18,0.5555555555555556,2.8264849291261407,50.876728724270535,-2.770953851318805
S1,hyperliquid,basis_extreme_against_sleeve,22,0.6363636363636364,6.515498356624234,143.34096384573314,0.9180595761792887
S2,,BASE,83,0.5903614457831325,5.3370529019581765,442.9753908625287,0.0
S2,coinbase,basis_extreme_with_sleeve,24,0.5833333333333334,5.287800091916619,126.90720220599886,-0.04925281004155746
S2,coinbase,basis_extreme_against_sleeve,26,0.6923076923076923,10.466513571042688,272.1293528471099,5.129460669084511
S2,kraken,basis_extreme_with_sleeve,11,0.45454545454545453,-1.456361083113517,-16.019971914248686,-6.793413985071694
S2,kraken,basis_extreme_against_sleeve,11,0.8181818181818182,16.053630370707076,176.58993407777783,10.716577468748898
S2,okx,basis_extreme_with_sleeve,23,0.6086956521739131,6.492623625149208,149.3303433784318,1.1555707231910315
S2,okx,basis_extreme_against_sleeve,27,0.5925925925925926,5.037127713631624,136.00244826805385,-0.29992518832655257
S2,hyperliquid,basis_extreme_with_sleeve,24,0.5,0.12568155479628165,3.01635731511076,-5.2113713471618945
S2,hyperliquid,basis_extreme_against_sleeve,24,0.6666666666666666,9.553696334337273,229.28871202409454,4.2166434323790964
S3,,BASE,53,0.5660377358490566,4.637050774521174,245.76369104962222,0.0
S3,coinbase,basis_extreme_with_sleeve,16,0.625,7.61494923555835,121.8391877689336,2.977898461037176
S3,coinbase,basis_extreme_against_sleeve,16,0.6875,11.717276384710999,187.47642215537599,7.080225610189825
S3,okx,basis_extreme_with_sleeve,17,0.5882352941176471,5.635148175779983,95.79751898825971,0.9980974012588089
S3,okx,basis_extreme_against_sleeve,15,0.6,6.792550869824934,101.88826304737401,2.1555000953037604
S3,hyperliquid,basis_extreme_with_sleeve,17,0.4117647058823529,-3.942298762887545,-67.01907896908827,-8.579349537408719
S3,hyperliquid,basis_extreme_against_sleeve,13,0.5384615384615384,3.6986086257962136,48.08191213535078,-0.9384421487249601
S5,,BASE,56,0.6071428571428571,5.882528317652495,329.42158578853974,0.0
S5,coinbase,basis_extreme_against_sleeve,27,0.6666666666666666,8.733599380996042,235.80718328689315,2.8510710633435465
S5,okx,basis_extreme_against_sleeve,27,0.6296296296296297,6.887576862493101,185.96457528731372,1.005048544840606
S5,hyperliquid,basis_extreme_with_sleeve,14,0.5714285714285714,4.1860334796566665,58.604468715193335,-1.6964948379958287
S5,hyperliquid,basis_extreme_against_sleeve,20,0.7,10.579442040407404,211.5888408081481,4.696913722754909
