sleeve,gate,n,wr,mean_pnl,sum_pnl,lift_pnl_vs_base,lift_wr_vs_base,retention_pct
S1,BASE,92,0.5978260869565217,4.712356808189528,433.53682635343665,0.0,0.0,100.0
S1,g_bn_with_5s,40,0.75,12.374832107384893,494.99328429539577,7.662475299195365,0.15217391304347827,43.47826086956522
S1,g_bn_against_5s,30,0.3,-10.315961591992847,-309.4788477597854,-15.028318400182375,-0.29782608695652174,32.608695652173914
S1,g_hl_with_5s,42,0.6666666666666666,8.456874337961077,355.1887221943652,3.7445175297715485,0.0688405797101449,45.65217391304348
S1,g_hl_against_5s,20,0.4,-5.312904841925157,-106.25809683850314,-10.025261650114686,-0.1978260869565217,21.73913043478261
S1,g_bn_with_15s,48,0.625,5.96838666118743,286.4825597369966,1.2560298529979015,0.02717391304347827,52.17391304347826
S1,g_bn_against_15s,35,0.5142857142857142,0.7198163645346698,25.193572758713444,-3.9925404436548586,-0.0835403726708075,38.04347826086956
S1,g_hl_with_15s,37,0.7027027027027027,9.892260076348368,366.01362282488964,5.1799032681588395,0.10487661574618101,40.21739130434783
S1,g_hl_against_15s,26,0.4230769230769231,-3.597837726324769,-93.54378088444399,-8.310194534514297,-0.17474916387959866,28.26086956521739
S1,g_bn_with_60s,80,0.5875,4.154710837635288,332.37686701082305,-0.5576459705542405,-0.010326086956521707,86.95652173913044
S1,g_bn_against_60s,7,0.5714285714285714,4.11978287474237,28.83848012319659,-0.5925739334471585,-0.026397515527950333,7.608695652173913
S1,g_hl_with_60s,59,0.5932203389830508,4.554444851006266,268.71224620936965,-0.15791195718326279,-0.004605747973470908,64.1304347826087
S1,g_hl_against_60s,5,0.6,6.059852707722586,30.299263538612927,1.3474958995330573,0.0021739130434782483,5.434782608695652
S1,g_cb_with_60s,0,,,0.0,,,
S1,g_cb_against_60s,0,,,0.0,,,
S1,g_kr_with_60s,0,,,0.0,,,
S1,g_kr_against_60s,0,,,0.0,,,
S1,g_ok_with_60s,0,,,0.0,,,
S1,g_ok_against_60s,0,,,0.0,,,
S1,g_xchg_majority_with_60s,0,,,0.0,,,
S1,g_xchg_all_with_60s,0,,,0.0,,,
S1,g_xchg_majority_against_60s,0,,,0.0,,,
S1,g_cb_with_120s,65,0.6153846153846154,5.677732757444545,369.05262923389546,0.9653759492550167,0.01755852842809369,70.65217391304348
S1,g_cb_against_120s,1,0.0,-25.0,-25.0,-29.71235680818953,-0.5978260869565217,1.0869565217391304
