asset,leader,target,lookback_s,forward_s,min_move_bp,n,n_up,n_dn,base_up,base_dn,P_binance_up_given_lead_up,P_binance_dn_given_lead_dn,lift_up,lift_dn
BTC,hyperliquid,binance,5,5,0,263518,108169,107120,0.3169005532828877,0.3207181293118497,0.3892335142231138,0.3922703510082151,0.07233296094022612,0.07155222169636544
BTC,hyperliquid,binance,5,5,1,43168,21686,21482,0.3964047442550037,0.4029141957005189,0.4928525315871991,0.49678800856531047,0.09644778733219539,0.09387381286479157
BTC,hyperliquid,binance,5,5,5,1562,765,797,0.4500640204865557,0.47823303457106275,0.4588235294117647,0.479297365119197,0.008759508925208992,0.0010643305481342624
BTC,hyperliquid,binance,5,10,0,263517,108168,107120,0.35869033117407984,0.3648189680362178,0.43615487020190813,0.44273711725168036,0.0774645390278283,0.07791814921546258
BTC,hyperliquid,binance,5,10,1,43168,21686,21482,0.44044199406968126,0.4440789473684211,0.5339850594853823,0.5382645936132576,0.09354306541570107,0.09418564624483655
BTC,hyperliquid,binance,5,10,5,1562,765,797,0.47695262483994877,0.49615877080665816,0.4666666666666667,0.4868255959849435,-0.010285958173282095,-0.00933317482171464
BTC,hyperliquid,binance,10,5,0,263517,112207,111380,0.3168979610423616,0.32071934637992994,0.38805956847612005,0.3934727958340815,0.07116160743375843,0.07275344945415158
BTC,hyperliquid,binance,10,5,1,72948,36630,36318,0.3847398146624993,0.3885781652684104,0.46134316134316133,0.4652238559392037,0.07660334668066204,0.0766456906707933
BTC,hyperliquid,binance,10,5,5,4475,2223,2252,0.4484916201117318,0.4616759776536313,0.46918578497525865,0.4786856127886323,0.02069416486352682,0.017009635135001033
BTC,hyperliquid,binance,15,5,0,263516,113530,112865,0.31689536878216124,0.32072056345724737,0.3855368625033031,0.39061710893545387,0.06864149372114187,0.0698965454782065
BTC,hyperliquid,binance,15,5,1,94170,47322,46848,0.37485398746947013,0.38017415312732294,0.4405139258695744,0.4455046106557377,0.06565993840010426,0.06533045752841476
BTC,hyperliquid,binance,15,5,5,8056,3982,4074,0.4414101290963257,0.4543197616683218,0.47162230035158215,0.4842906234658812,0.030212171255256437,0.029970861797559423
BTC,hyperliquid,binance,15,15,0,263514,113528,112865,0.3823174480293267,0.3886472824973246,0.4608378549785075,0.46727506312851635,0.07852040694918078,0.07862778063119175
BTC,hyperliquid,binance,15,15,1,94169,47321,46848,0.4443712899149402,0.4486933067145239,0.510492170495129,0.5153048155737705,0.06612088058018878,0.0666115088592466
BTC,hyperliquid,binance,15,15,5,8056,3982,4074,0.4906901688182721,0.4847318768619662,0.49874434957307884,0.49288168875797744,0.008054180754806739,0.008149811896011216
BTC,hyperliquid,binance,30,30,0,263508,116148,115090,0.41997965906158446,0.4253077705420708,0.48449392154836934,0.4886002259101573,0.06451426248678488,0.06329245536808648
BTC,hyperliquid,binance,30,30,1,132255,66587,65668,0.4686703716305622,0.4714377528259801,0.5048282697823899,0.5071876713163185,0.03615789815182774,0.03574991849033837
BTC,hyperliquid,binance,30,30,5,18929,9402,9527,0.49680384595065774,0.4902002218817687,0.49553286534779833,0.48798152618872676,-0.0012709806028594062,-0.00221869569304195
BTC,binance,hyperliquid,5,5,0,263518,83509,84515,0.4104842932930578,0.4064959509407327,0.5616161132333042,0.5565639235638644,0.15113181994024638,0.1500679726231317
BTC,binance,hyperliquid,5,5,1,43671,22040,21631,0.4880355384580156,0.47837237526047033,0.7221869328493647,0.7168877999167861,0.23415139439134913,0.23851542465631576
BTC,binance,hyperliquid,5,5,5,1559,773,786,0.4926234765875561,0.5016035920461834,0.6946959896507116,0.7022900763358778,0.20207251306315543,0.20068648428969438
BTC,binance,hyperliquid,5,10,0,263517,83508,84515,0.4258055457522665,0.4226672283002615,0.5683168079704939,0.5634266106608294,0.1425112622182274,0.14075938236056795
