asset,n_bars,peak_lag_s,peak_corr,xc_-30s,xc_-10s,xc_-5s,xc_-2s,xc_-1s,xc_0s,xc_1s,xc_2s,xc_5s,xc_10s,xc_30s
BTC,963070,-1,0.430943683103149,-0.0014434935919221212,0.008199137497548149,0.029023953724735527,0.27262991033725903,0.430943683103149,0.4285678135346637,0.06627404701144113,0.03529384761847548,0.018347215257363103,-0.0035639085857848423,-0.00014473075786056
ETH,587659,0,0.46112393769627147,-0.0017253309503527398,0.0037831142923906626,0.02148980126038205,0.24571323359324573,0.4525836555583919,0.46112393769627147,0.05291584494472167,0.02578015364406854,0.01273006411150461,-0.0024199288352799745,0.0018072841924464068
SOL,437108,-1,0.45065841645128346,0.002533284676212775,0.0004319550911084288,0.016047245795567343,0.18606956939559066,0.45065841645128346,0.3782477715556687,0.06046758989350629,0.03143798211178896,0.012917436761344318,0.004369321795137148,0.002984075726291
