symbol,lev_1h,lev_4h_cap,risk_4h,buy_hold_x,leg_1h_eq_x,leg_1h_mdd,leg_4h_eq_x,leg_4h_mdd,leg_4h_blew_up,combined_eq_x,combined_mdd,combined_sharpe,combined_roi_pct,combined_blew_up,combined_outperform,final_dollar
BTCUSDT,2,10,0.03,2.608,1.342,-0.5967,1.604,-0.2236,False,1.473,-0.4176,0.576,47.31,False,0.565,14730.0
BTCUSDT,2,10,0.05,2.608,1.342,-0.5967,1.928,-0.362,False,1.635,-0.4273,0.634,63.49,False,0.627,16350.0
BTCUSDT,2,10,0.07,2.608,1.342,-0.5967,2.097,-0.4869,False,1.719,-0.4544,0.63,71.94,False,0.659,17190.0
BTCUSDT,3,1,0.02,2.608,0.603,-0.7952,1.423,-0.1505,False,1.013,-0.5148,0.192,1.33,False,0.388,10130.0
BTCUSDT,3,1,0.03,2.608,0.603,-0.7952,1.59,-0.2099,False,1.097,-0.5063,0.267,9.69,False,0.421,10970.0
BTCUSDT,3,1,0.05,2.608,0.603,-0.7952,1.7,-0.2917,False,1.152,-0.4911,0.314,15.17,False,0.442,11520.0
BTCUSDT,3,1,0.07,2.608,0.603,-0.7952,1.712,-0.3247,False,1.158,-0.4906,0.32,15.78,False,0.444,11580.0
BTCUSDT,3,2,0.02,2.608,0.603,-0.7952,1.408,-0.1505,False,1.006,-0.5173,0.186,0.56,False,0.386,10060.0
BTCUSDT,3,2,0.03,2.608,0.603,-0.7952,1.627,-0.2236,False,1.115,-0.5073,0.283,11.5,False,0.428,11150.0
BTCUSDT,3,2,0.05,2.608,0.603,-0.7952,1.903,-0.3626,False,1.253,-0.517,0.389,25.31,False,0.48,12530.0
BTCUSDT,3,2,0.07,2.608,0.603,-0.7952,2.152,-0.4438,False,1.377,-0.5211,0.462,37.75,False,0.528,13770.0
BTCUSDT,3,3,0.02,2.608,0.603,-0.7952,1.408,-0.1505,False,1.006,-0.5173,0.186,0.56,False,0.386,10060.0
