stack,depth,n_l,wr_l,dpt_l,dd_l,ls_l,score_l,sum_l,p_boot
g_bb_pos_extreme_with|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,37,0.918918918918919,9.29797127695352,50.0,2,56.55735129124196,344.02493724728026,0.0
g_R1_full|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,4,107,0.9065420560747663,5.448375781197367,75.0,3,56.358437308762994,582.9762085881182,0.004
g_btc_trend_15m_with|g_cci_extreme_with|g_ribbon_agrees|g_stoch_strong_with,4,157,0.8471337579617835,4.486176902288372,97.99038262671792,3,56.21163546975159,704.3297736592745,0.0
g_R1_full|g_btc_trend_15m_with|g_cci_extreme_with|g_tr_above_ema800,4,192,0.8020833333333334,4.0553000679994655,148.12069171606882,4,56.19188606170078,778.6176130558974,0.001
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,5,55,0.8363636363636363,7.533215128315369,56.64777658643811,2,55.8678186375786,414.3268320573453,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_hurst_reverting|g_tr_above_ema800,4,48,0.8125,8.055998159963691,111.54070797774682,3,55.813592474954,386.6879116782572,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_parent_ranging|g_stoch_strong_with,4,153,0.8431372549019608,4.495396712141141,97.99038262671792,3,55.604986419636816,687.7956969575946,0.0
g_bb_pos_extreme_with|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,154,0.8441558441558441,4.423893405790062,97.99038262671792,3,54.89907341050567,681.2795844916695,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_ribbon_slope_with|g_stoch_strong_with,4,120,0.8833333333333333,4.9982360947582265,88.94312682497787,3,54.752933136712194,599.7883313709872,0.009
g_R1_full|g_btc_f7_against|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,5,41,0.951219512195122,8.512898550355558,25.0,1,54.50914703858864,349.0288405645779,0.0
g_R1_full|g_bb_pos_strong_with|g_btc_trend_15m_with|g_f7_v7_oversold|g_stoch_strong_with,5,65,0.9076923076923076,6.73446036434735,50.0,2,54.29495525306889,437.73992368257774,0.001
g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with|g_tr_full_stack_with,4,156,0.8461538461538461,4.3394817817147775,97.99038262671792,3,54.2001100817902,676.9591579475053,0.0
g_btc_f7_with|g_f7_v7_overbought|g_tr_stack_full_with,3,102,0.9509803921568628,5.35569592504589,50.0,2,54.08987744336663,546.2809843546809,0.0
g_R1_full|g_btc_trend_30m_with|g_f7_v7_oversold|g_stoch_strong_with,4,53,0.9056603773584906,7.382722056866321,57.42810034435524,2,53.74702785600191,391.284269013915,0.0
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_mfi_strong_with|g_stoch_strong_with,5,63,0.8412698412698413,6.765326641379127,75.0,3,53.698115493627085,426.21557840688496,0.0
g_btc_trend_15m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_stoch_strong_with,4,100,0.86,5.339419374988788,75.0,3,53.39419374988788,533.9419374988788,0.0
g_R1_full|g_btc_trend_30m_with|g_btc_trend_5m_with|g_f7_v7_oversold|g_stoch_strong_with,5,37,0.945945945945946,8.7751024119428,25.0,1,53.3768641508952,324.67878924188363,0.0
g_btc_trend_5m_with|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,5,41,0.902439024390244,8.291888579301602,50.0,2,53.09399273621872,339.9674317513657,0.027
g_btc_f7_against|g_btc_trend_15m_with|g_cci_extreme_with|g_stoch_strong_with,4,97,0.8556701030927835,5.353687421886116,52.594480044726765,2,52.727706133420746,519.3076799229533,0.0
g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_mfi_with|g_stoch_strong_with,5,68,0.8382352941176471,6.309416867849063,75.0,3,52.02878436439086,429.04034701373627,0.0
g_btc_trend_5m_with|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,5,44,0.9090909090909092,7.831047084553393,50.0,2,51.94528979014032,344.56607172034927,0.035
g_R1_full|g_btc_trend_15m_with|g_cci_strong_with|g_f7_v7_oversold|g_stoch_strong_with,5,61,0.8852459016393442,6.650184613750237,75.0,3,51.9396022242622,405.6612614387644,0.0
g_btc_f7_against|g_btc_trend_15m_with|g_cci_extreme_with|g_f7_v7_oversold|g_stoch_strong_with,5,35,0.9428571428571428,8.733479227474767,50.0,2,51.66795989378392,305.67177296161685,0.0
g_btc_trend_5m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,4,130,0.823076923076923,4.529627454399349,198.95797551906003,3,51.64569908360504,588.8515690719154,0.004
g_btc_trend_15m_with|g_cci_extreme_with|g_mfi_with|g_stoch_strong_with,4,138,0.8405797101449275,4.370156753859822,97.99038262671792,3,51.33771778484424,603.0816320326555,0.0
g_btc_trend_15m_with|g_cci_extreme_with|g_ribbon_slope_with|g_stoch_strong_with,4,143,0.8391608391608392,4.281287595295227,97.99038262671792,3,51.1967533807459,612.2241261272175,0.0
g_cci_extreme_with|g_f7_v7_oversold|g_parent_slope_with|g_stoch_strong_with,4,63,0.8888888888888888,6.444258210861675,50.0,2,51.149713830678095,405.9882672842856,0.006
g_btc_trend_30m_with|g_cci_extreme_with|g_f7_v7_against|g_stoch_strong_with,4,68,0.8235294117647058,6.201136775055812,50.0,2,51.13588384491435,421.67730070379525,0.0
g_btc_f7_against|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_strong_with|g_stoch_strong_with,5,60,0.9,6.5305974554656805,71.02547988158679,2,50.58579037160623,391.8358473279408,0.037
g_btc_f7_against|g_cci_extreme_with|g_f7_v7_oversold|g_mfi_with|g_stoch_strong_with,5,63,0.9047619047619048,6.292610909474989,71.02547988158679,2,49.9460506912884,396.4344872969243,0.017
g_cci_extreme_with|g_f7_v7_oversold|g_rf_with|g_stoch_strong_with,4,121,0.8925619834710744,4.520147686976863,83.13753437870241,3,49.72162455674549,546.9378701242003,0.005
g_R1_six|g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_stoch_strong_with,5,75,0.8266666666666667,5.730214285888129,75.0,3,49.62511140707626,429.7660714416097,0.0
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_parent_ranging|g_tr_full_stack_with,5,123,0.8130081300813008,4.467465224977052,104.04078007177066,5,49.54658616872256,549.4982226721773,0.0
g_R1_five|g_btc_trend_30m_with|g_btc_trend_5m_with|g_cci_extreme_with|g_stoch_strong_with,5,76,0.8289473684210527,5.658072973035398,75.0,3,49.32593660928007,430.01354595069023,0.001
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold|g_tr_full_stack_with,4,127,0.8110236220472441,4.373307128536889,104.04078007177066,5,49.28466836192538,555.4100053241849,0.0
g_R1_full|g_btc_trend_15m_with|g_cci_strong_with|g_f7_v7_oversold|g_tr_above_ema200,5,98,0.7959183673469388,4.877355097503773,100.0,4,48.28335209179569,477.9807995553697,0.0
