g,n,wr,dpt
g_strong_favorite,19390,0.8151624548736462,-0.3781674540236644
g_tr_stack_full_with,7654,0.7780245623203553,-0.8479566148457608
g_tr_stack_with,7654,0.7780245623203553,-0.8479566148457608
g_R1_full,5850,0.7526495726495727,-0.9046454865202237
g_favorite,25008,0.7474808061420346,-0.6888101909482027
g_tr_full_stack_with,15037,0.7276717430338498,-1.2320606336108852
g_cci_extreme_with,5052,0.7149643705463183,-0.6362114574747786
g_tr_partial_stack_with,18780,0.7009584664536741,-1.2929643149286842
g_tr_above_ema200,23281,0.6984236072333663,-1.376983255039694
g_R1_six,14592,0.6966831140350878,-1.4513827202869232
g_mp_no_extreme_50,19497,0.6893881109914346,-1.3514913303158331
g_ribbon_agrees,22175,0.681533258173619,-1.6253313431778798
g_bb_pos_extreme_with,9416,0.6803313508920985,-1.5789666036451682
g_mp_wt_no_extreme_100,11173,0.6687550344580686,-0.901289664447312
g_cci_strong_with,12823,0.6654449036886844,-1.7499626995069568
g_R1_five,19705,0.6560263892413093,-2.0206037482007777
g_bb_pos_strong_with,14539,0.6559598321755279,-2.0533772241221344
g_tr_above_ema800,23246,0.6555106254839542,-2.2631740862070973
g_tr_above_cloud,23519,0.6552574514222543,-2.0119430000867227
g_vwap_in_55_80,11080,0.651173285198556,-0.7661436839421243
g_mp_no_extreme_100,30649,0.6457633201735783,-1.526896952835576
g_ev_ge_30,34041,0.6435768631943832,-1.4120999810694037
g_stoch_extreme_with,8409,0.6331311689856106,-2.9253915696005475
g_mfi_extreme_with,13885,0.6290961469211379,-3.033198208201011
g_ribbon_slope_strong,1594,0.6217063989962359,-3.4611546828664914
g_bb_pos_with,22423,0.6157962806047362,-2.605528504630411
g_cci_with,22454,0.6157922864523024,-2.63525599173304
g_mp_no_extreme_150,35267,0.6138032721807922,-1.8836131341814901
g_tr_above_ema50,23780,0.6125735912531539,-2.6045702283970473
g_vwap_in_45_85,18466,0.6115022202967616,-1.1658536562654322
g_mfi_strong_with,18135,0.6088227185001378,-3.0086305716655106
