stack,depth,n,wr,dpt,dd,ls,score
g_ribbon_slope_strong|g_vol_pct_low,2,133,0.706766917293233,3.9003103116830706,356.5280845840206,4,44.980572808124975
g_parent_against_dir|g_tr_stack_with,2,629,0.8267090620031796,1.7244972643900407,413.2071880376364,6,43.250171358793644
g_parent_against_dir|g_tr_stack_full_with,2,629,0.8267090620031796,1.7244972643900407,413.2071880376364,6,43.250171358793644
g_btc_f7_strong_with|g_parent_against_dir,2,406,0.6403940886699507,1.7626429367655705,960.2546266508103,17,35.51627105633416
g_hurst_reverting_strong|g_ribbon_slope_strong,2,87,0.7471264367816092,1.6903011072793563,160.9588986288597,4,15.7660791414503
g_parent_against_dir|g_rf_strict_align,2,41,0.7073170731707317,1.7315327810210666,100.0,4,11.087219518065496
g_hurst_trending_with_dir|g_vol_pct_low,2,39,0.6153846153846154,1.6950999603775172,150.0,6,10.585895859642799
g_btc_f7_strong_with|g_f7_v7_neutral|g_parent_against_dir,3,43,0.9302325581395349,20.054611080989766,75.0,3,131.50687929237608
g_btc_trend_5m_with|g_ribbon_slope_strong|g_vol_pct_low,3,34,0.7352941176470589,19.28625270129062,75.0,3,112.45721173305584
g_btc_f7_against|g_ribbon_slope_strong|g_vol_pct_low,3,30,0.6666666666666666,17.704567644110135,124.13885558241914,3,96.97191069555217
g_btc_f7_strong_with|g_hurst_reverting_strong|g_parent_against_dir,3,80,0.8125,10.792143352894401,81.76183838185466,3,96.52786463997754
g_hurst_reverting|g_ribbon_slope_strong|g_vol_pct_low,3,91,0.7362637362637363,8.051478678725468,275.2157418430819,3,76.80621141008938
g_R1_full|g_f7_v7_oversold|g_vol_v7_high,3,259,0.8223938223938224,4.655349821271878,313.8311989644888,4,74.92076499362358
g_btc_f7_strong_with|g_parent_against_dir|g_vol_v7_low,3,71,0.7183098591549296,8.882941682038886,134.89452538463752,4,74.84899703925079
g_R1_full|g_btc_trend_15m_with|g_f7_v7_oversold,3,336,0.7678571428571429,4.083320391164876,530.9481318541788,6,74.84849911707893
g_cci_extreme_with|g_ribbon_slope_strong|g_vol_pct_low,3,99,0.7878787878787878,7.16814870546115,180.24985708649217,3,71.32217909245925
g_btc_f7_strong_with|g_parent_against_dir|g_vol_pct_low,3,89,0.6741573033707865,7.508190464983681,300.0,12,70.83212718254335
g_btc_f7_with|g_vol_v7_low|g_vwap_in_45_85,3,890,0.6966292134831461,2.336823688496816,881.1710854933576,26,69.71415212492137
g_btc_f7_with|g_mfi_with|g_vwap_in_55_80,3,1471,0.7253569000679809,1.816866414777852,673.740663471855,9,69.68340010516353
g_btc_f7_with|g_ribbon_agrees|g_vwap_in_55_80,3,1788,0.7214765100671141,1.6470714924946446,716.7646114603499,12,69.64600468427965
g_btc_f7_with|g_parent_against_dir|g_vol_pct_low,3,122,0.7049180327868853,6.2326093874905855,276.6955517825619,10,68.84142076394389
g_btc_f7_with|g_mfi_strong_with|g_vwap_in_55_80,3,1238,0.7302100161550888,1.9115577702467426,600.5368092399422,8,67.25858866293943
g_btc_f7_strong_with|g_f7_v7_oversold|g_parent_trending_up,3,128,0.703125,5.711568307635492,300.0,12,64.61901890462768
g_bb_pos_with|g_btc_f7_with|g_vwap_in_55_80,3,1640,0.7176829268292683,1.5526475539665887,643.1474032055455,10,62.877433630954016
g_R1_five|g_btc_f7_with|g_vwap_in_55_80,3,1503,0.7225548902195609,1.6199526590593951,636.664031831496,10,62.80320585959914
g_bb_pos_extreme_with|g_ribbon_slope_strong|g_vol_pct_low,3,117,0.7606837606837606,5.801586203201179,256.5280845840206,3,62.753749603998884
g_f7_v7_against|g_hurst_trending_with_dir|g_stoch_strong_with,3,81,0.7037037037037037,6.971832764518402,246.3130799153701,4,62.74649488066562
