rank,off,dir,gates,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lock,wr_lock,dpt_lock,n_full,wr_full,dpt_full,sum_full,dd_full,loss_streak_full,sharpe_full,bootstrap_p_full,bootstrap_p_lock,ci_lo_full,ci_hi_full,ci_lo_lock,ci_hi_lock,proj_32d_lock,proj_full,proj_honest,max_pnl_full,min_pnl_full
1,600,DOWN,g_btc_sol_confluence_5m_with+g_liq_shock_against,36,0.5555555555555556,3.1249330333872303,13,0.6153846153846154,21.10189842848139,8,0.875,19.814634131874598,57,0.6140350877192983,9.567356874161318,545.3393418271951,-238.53972931376398,3,2.5509351762748462,0.1205,0.0515,-3.835635628722263,27.10041945949548,-1.092322083947506,45.19846520296141,793.2836783721424,545.8198170182321,545.8198170182321,314.40850150978184,-25.0
2,600,DOWN,g_xa_unanimity_5m_with+g_liq_shock_against,31,0.6129032258064516,5.963546112750236,11,0.6363636363636364,21.61203222308694,6,0.8333333333333334,18.22511682636003,48,0.6458333333333334,11.082353852236956,531.9529849073739,-187.78199809997994,3,2.7843032942838457,0.123,0.1325,-4.346245511505883,32.80065735765361,-7.030535368345476,54.44829632024878,547.2352259403962,532.4216659513451,532.4216659513451,314.40850150978184,-25.0
3,600,DOWN,g_btc_eth_confluence_5m_with+g_di_agrees+g_liq_shock_against,19,0.5789473684210527,0.19884610348632428,11,0.8181818181818182,28.722224972780076,6,0.8333333333333334,33.6186344744944,36,0.6944444444444444,14.484287708716316,521.4343575137874,-72.30343957548703,2,3.8048988123575276,0.0815,0.077,-2.045187747881085,38.11151752931319,-3.878896908739416,77.22336829349273,1009.4476325028801,521.8937710446364,521.8937710446364,314.40850150978184,-25.0
4,720,UP,g_btc_eth_divergence+g_stoch_with+g_vol_contracting,75,0.84,0.5132377854125038,17,0.7058823529411765,1.4792904329967804,21,1.0,6.206129802264575,113,0.8495575221238938,1.7165442222516736,193.96949711443912,-71.97190966989608,2,1.7345078358199215,0.1295,0.0005,-1.2196872754166295,4.9111808428670685,3.434561838731354,9.431203054593981,652.2177645939369,194.1403953497822,194.1403953497822,83.24405816193205,-25.0
5,720,UP,g_grandparent_1h_slope_strong_with+g_stoch_with+g_vol_high,25,0.88,1.6009908489433733,5,0.6,5.258894661758001,7,1.0,18.010973634145625,37,0.8648648648648649,5.199893512740371,192.39605997139373,-50.0,2,3.500466454834663,0.1055,0.0665,-1.800859492634704,13.521637514589408,1.1955926783962947,49.69656051643019,630.9394816683964,192.56557191850507,192.56557191850507,112.07388371018368,-25.0
