combo,is_sharpe
"('MAx', 20, 220)",0.5610491180072885
"('MAx', 60, 160)",0.5606853262147697
"('MAx', 75, 300)",0.5605266125880191
"('MAx', 40, 320)",0.560457990841238
"('MAx', 65, 80)",0.5586043708165499
"('MAx', 50, 160)",0.5484274797093506
"('MAx', 70, 180)",0.5218889631765735
"('MAx', 65, 300)",0.520794855147345
"('MAx', 25, 40)",0.515144346011933
"('MAx', 45, 60)",0.5081749893406261
"('MAx', 25, 140)",0.5058036742590702
"('MAx', 25, 100)",0.5000387648727671
"('MAx', 10, 280)",0.4900658562220197
"('MAx', 80, 300)",0.4819643700310994
"('MAx', 20, 140)",0.4814139011461489
"('MAx', 95, 180)",0.4565017644772922
"('MAx', 10, 220)",0.45594287781525994
"('MAx', 60, 100)",0.44255230881903607
"('MAx', 25, 380)",0.43826030625350404
"('MAx', 75, 160)",0.4346212608571228
"('MAx', 100, 260)",0.42763825322000615
"('MAx', 5, 220)",0.4274879629257844
"('MAx', 55, 160)",0.41691198356011044
"('MAx', 55, 120)",0.41361056286014364
"('MAx', 20, 80)",0.3913039772809374
"('MAx', 85, 140)",0.3676718046151156
"('MAx', 5, 340)",0.3581592602985635
"('MAx', 35, 120)",0.35545401431395995
"('MAx', 55, 180)",0.35241118878376093
"('MAx', 45, 140)",0.33487087893983414
"('MAx', 10, 200)",0.3303307300660335
"('MAx', 5, 240)",0.3255852320808512
"('MAx', 20, 160)",0.3227788177255099
"('MAx', 5, 100)",0.31932777295784637
"('MAx', 25, 60)",0.3005578188349506
"('MAx', 30, 100)",0.30040697195875754
"('MAx', 85, 380)",0.30040205315717683
"('MAx', 65, 180)",0.29431875730532564
"('MAx', 45, 320)",0.29406047300272126
"('MAx', 85, 160)",0.2896159880731004
"('MAx', 20, 40)",0.28329469896200815
"('MAx', 15, 180)",0.28254392595351674
"('MAx', 25, 340)",0.2797664854833171
"('MAx', 30, 300)",0.27132160322797644
"('MAx', 100, 300)",0.26675723193857676
"('MAx', 95, 280)",0.25576130890392157
"('MAx', 40, 380)",0.25214316887514665
"('MAx', 90, 120)",0.24937377075823072
"('MAx', 100, 120)",0.2479981562065674
"('MAx', 85, 300)",0.24680828659353204
"('MAx', 60, 300)",0.2389485505029984
"('MAx', 5, 60)",0.23653834764476064
"('MAx', 10, 60)",0.23463793276413208
"('MAx', 55, 340)",0.23350934569090764
"('MAx', 35, 380)",0.233020944095916
"('MAx', 25, 360)",0.22949121552664617
"('MAx', 70, 80)",0.2263553832179493
"('MAx', 30, 380)",0.22490586423735456
"('MAx', 10, 320)",0.2223855041892046
"('MAx', 100, 280)",0.21089701549381673
"('MAx', 10, 240)",0.20936719653868957
"('MAx', 35, 320)",0.18902365134600152
"('MAx', 80, 160)",0.1880929362580336
"('MAx', 35, 340)",0.18491291771415297
"('MAx', 5, 360)",0.1830435905036849
"('MAx', 90, 300)",0.1815509861489875
