sleeve,filter,n,wr,avg,sum
btc_15m_v1,BASELINE_ALL,302,42.05,-4.641,-1401.66
btc_15m_v1,BASELINE_no_f7,275,38.55,-6.501,-1787.79
btc_15m_v1,F7_production,27,77.78,14.301,386.13
btc_15m_v1,MARKOV:w20_1m_voladaptive,141,43.26,-6.413,-904.25
btc_15m_v1,NoF7+MARKOV:w20_1m_voladaptive,114,35.09,-11.319,-1290.38
btc_15m_v1,F7+MARKOV:w20_1m_voladaptive,27,77.78,14.301,386.13
btc_15m_v1,MARKOV:w20_5m_voladaptive,118,30.51,-10.484,-1237.1
btc_15m_v1,NoF7+MARKOV:w20_5m_voladaptive,103,26.21,-12.905,-1329.23
btc_15m_v1,F7+MARKOV:w20_5m_voladaptive,15,60.0,6.142,92.13
btc_15m_v1,MARKOV:w20_1m_fixed,46,39.13,-9.84,-452.64
btc_15m_v1,NoF7+MARKOV:w20_1m_fixed,34,35.29,-13.585,-461.89
btc_15m_v1,F7+MARKOV:w20_1m_fixed,12,50.0,0.771,9.25
btc_15m_v1,MARKOV:w20_5m_fixed,48,45.83,-10.821,-519.42
btc_15m_v1,NoF7+MARKOV:w20_5m_fixed,42,38.1,-16.159,-678.67
btc_15m_v1,F7+MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
btc_15m_v2,BASELINE_ALL,65,13.85,-9.797,-636.82
btc_15m_v2,BASELINE_no_f7,3,100.0,7.845,23.53
btc_15m_v2,F7_production,62,9.68,-10.651,-660.36
btc_15m_v2,MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75
btc_15m_v2,NoF7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
btc_15m_v2,F7+MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75
btc_15m_v2,MARKOV:w20_5m_voladaptive,30,20.0,-14.692,-440.75
btc_15m_v2,NoF7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
btc_15m_v2,F7+MARKOV:w20_5m_voladaptive,30,20.0,-14.692,-440.75
btc_15m_v2,MARKOV:w20_1m_fixed,30,20.0,-14.692,-440.75
btc_15m_v2,NoF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
btc_15m_v2,F7+MARKOV:w20_1m_fixed,30,20.0,-14.692,-440.75
btc_15m_v2,MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
btc_15m_v2,NoF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
btc_15m_v2,F7+MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
btc_5m_v1,BASELINE_ALL,1160,55.78,2.478,2873.98
btc_5m_v1,BASELINE_no_f7,935,51.66,0.572,534.76
btc_5m_v1,F7_production,225,72.89,10.397,2339.22
btc_5m_v1,MARKOV:w20_1m_voladaptive,633,62.24,2.845,1800.65
btc_5m_v1,NoF7+MARKOV:w20_1m_voladaptive,408,56.37,-1.32,-538.57
btc_5m_v1,F7+MARKOV:w20_1m_voladaptive,225,72.89,10.397,2339.22
btc_5m_v1,MARKOV:w20_5m_voladaptive,428,63.08,1.901,813.65
btc_5m_v1,NoF7+MARKOV:w20_5m_voladaptive,317,58.68,-0.688,-218.18
btc_5m_v1,F7+MARKOV:w20_5m_voladaptive,111,75.68,9.296,1031.83
btc_5m_v1,MARKOV:w20_1m_fixed,266,71.43,8.633,2296.47
btc_5m_v1,NoF7+MARKOV:w20_1m_fixed,128,59.38,2.401,307.38
btc_5m_v1,F7+MARKOV:w20_1m_fixed,138,82.61,14.414,1989.09
btc_5m_v1,MARKOV:w20_5m_fixed,196,66.33,-1.733,-339.63
btc_5m_v1,NoF7+MARKOV:w20_5m_fixed,142,53.52,-8.698,-1235.15
btc_5m_v1,F7+MARKOV:w20_5m_fixed,54,100.0,16.584,895.52
btc_5m_v2,BASELINE_ALL,438,42.01,-2.536,-1110.67
btc_5m_v2,BASELINE_no_f7,15,20.0,-15.493,-232.39
btc_5m_v2,F7_production,423,42.79,-2.076,-878.28
btc_5m_v2,MARKOV:w20_1m_voladaptive,347,36.89,-6.264,-2173.45
btc_5m_v2,NoF7+MARKOV:w20_1m_voladaptive,9,0.0,-25.0,-225.0
btc_5m_v2,F7+MARKOV:w20_1m_voladaptive,338,37.87,-5.765,-1948.45
btc_5m_v2,MARKOV:w20_5m_voladaptive,220,45.45,-2.889,-635.66
btc_5m_v2,NoF7+MARKOV:w20_5m_voladaptive,3,0.0,-25.0,-75.0
btc_5m_v2,F7+MARKOV:w20_5m_voladaptive,217,46.08,-2.584,-560.66
btc_5m_v2,MARKOV:w20_1m_fixed,200,52.0,2.101,420.16
btc_5m_v2,NoF7+MARKOV:w20_1m_fixed,3,0.0,-25.0,-75.0
btc_5m_v2,F7+MARKOV:w20_1m_fixed,197,52.79,2.513,495.16
btc_5m_v2,MARKOV:w20_5m_fixed,150,50.67,-2.074,-311.13
btc_5m_v2,NoF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
btc_5m_v2,F7+MARKOV:w20_5m_fixed,150,50.67,-2.074,-311.13
eth_15m_v1,BASELINE_ALL,230,52.61,-3.695,-849.95
eth_15m_v1,BASELINE_no_f7,230,52.61,-3.695,-849.95
eth_15m_v1,F7_production,0,0.0,0.0,0.0
eth_15m_v1,MARKOV:w20_1m_voladaptive,82,30.49,-11.758,-964.18
eth_15m_v1,NoF7+MARKOV:w20_1m_voladaptive,82,30.49,-11.758,-964.18
eth_15m_v1,F7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
eth_15m_v1,MARKOV:w20_5m_voladaptive,82,26.83,-13.576,-1113.24
eth_15m_v1,NoF7+MARKOV:w20_5m_voladaptive,82,26.83,-13.576,-1113.24
eth_15m_v1,F7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
eth_15m_v1,MARKOV:w20_1m_fixed,42,33.33,-12.061,-506.57
eth_15m_v1,NoF7+MARKOV:w20_1m_fixed,42,33.33,-12.061,-506.57
eth_15m_v1,F7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
eth_15m_v1,MARKOV:w20_5m_fixed,24,33.33,-8.268,-198.43
eth_15m_v1,NoF7+MARKOV:w20_5m_fixed,24,33.33,-8.268,-198.43
eth_15m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
eth_15m_v2,BASELINE_ALL,90,64.44,7.265,653.88
eth_15m_v2,BASELINE_no_f7,6,50.0,-1.679,-10.07
eth_15m_v2,F7_production,84,65.48,7.904,663.95
eth_15m_v2,MARKOV:w20_1m_voladaptive,90,64.44,7.265,653.88
eth_15m_v2,NoF7+MARKOV:w20_1m_voladaptive,6,50.0,-1.679,-10.07
eth_15m_v2,F7+MARKOV:w20_1m_voladaptive,84,65.48,7.904,663.95
eth_15m_v2,MARKOV:w20_5m_voladaptive,36,77.78,15.534,559.23
eth_15m_v2,NoF7+MARKOV:w20_5m_voladaptive,3,0.0,-25.0,-75.0
eth_15m_v2,F7+MARKOV:w20_5m_voladaptive,33,84.85,19.219,634.23
eth_15m_v2,MARKOV:w20_1m_fixed,54,46.3,-0.674,-36.38
eth_15m_v2,NoF7+MARKOV:w20_1m_fixed,3,0.0,-25.0,-75.0
eth_15m_v2,F7+MARKOV:w20_1m_fixed,51,49.02,0.757,38.62
eth_15m_v2,MARKOV:w20_5m_fixed,33,75.76,14.807,488.62
eth_15m_v2,NoF7+MARKOV:w20_5m_fixed,3,0.0,-25.0,-75.0
eth_15m_v2,F7+MARKOV:w20_5m_fixed,30,83.33,18.787,563.62
eth_5m_v1,BASELINE_ALL,575,63.13,7.054,4056.06
eth_5m_v1,BASELINE_no_f7,429,65.73,7.058,3027.93
eth_5m_v1,F7_production,146,55.48,7.042,1028.13
eth_5m_v1,MARKOV:w20_1m_voladaptive,355,59.72,6.826,2423.22
eth_5m_v1,NoF7+MARKOV:w20_1m_voladaptive,209,62.68,6.675,1395.09
eth_5m_v1,F7+MARKOV:w20_1m_voladaptive,146,55.48,7.042,1028.13
eth_5m_v1,MARKOV:w20_5m_voladaptive,261,62.07,7.17,1871.48
eth_5m_v1,NoF7+MARKOV:w20_5m_voladaptive,169,76.33,11.197,1892.21
eth_5m_v1,F7+MARKOV:w20_5m_voladaptive,92,35.87,-0.225,-20.74
eth_5m_v1,MARKOV:w20_1m_fixed,226,56.64,6.687,1511.23
eth_5m_v1,NoF7+MARKOV:w20_1m_fixed,119,67.23,9.77,1162.67
eth_5m_v1,F7+MARKOV:w20_1m_fixed,107,44.86,3.257,348.55
eth_5m_v1,MARKOV:w20_5m_fixed,44,40.91,-7.399,-325.56
eth_5m_v1,NoF7+MARKOV:w20_5m_fixed,41,43.9,-7.198,-295.11
eth_5m_v1,F7+MARKOV:w20_5m_fixed,3,0.0,-10.15,-30.45
eth_5m_v2,BASELINE_ALL,115,2.61,-20.247,-2328.41
eth_5m_v2,BASELINE_no_f7,6,0.0,-25.2,-151.2
eth_5m_v2,F7_production,109,2.75,-19.974,-2177.21
eth_5m_v2,MARKOV:w20_1m_voladaptive,85,3.53,-18.569,-1578.41
eth_5m_v2,NoF7+MARKOV:w20_1m_voladaptive,6,0.0,-25.2,-151.2
eth_5m_v2,F7+MARKOV:w20_1m_voladaptive,79,3.8,-18.066,-1427.21
eth_5m_v2,MARKOV:w20_5m_voladaptive,54,0.0,-25.361,-1369.5
eth_5m_v2,NoF7+MARKOV:w20_5m_voladaptive,3,0.0,-25.0,-75.0
eth_5m_v2,F7+MARKOV:w20_5m_voladaptive,51,0.0,-25.382,-1294.5
eth_5m_v2,MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78
eth_5m_v2,NoF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
eth_5m_v2,F7+MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78
eth_5m_v2,MARKOV:w20_5m_fixed,27,0.0,-25.0,-675.0
eth_5m_v2,NoF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
eth_5m_v2,F7+MARKOV:w20_5m_fixed,27,0.0,-25.0,-675.0
sol_15m_v1,BASELINE_ALL,240,42.08,-6.52,-1564.86
sol_15m_v1,BASELINE_no_f7,237,42.62,-6.275,-1487.12
sol_15m_v1,F7_production,3,0.0,-25.911,-77.73
sol_15m_v1,MARKOV:w20_1m_voladaptive,113,45.13,-8.036,-908.11
sol_15m_v1,NoF7+MARKOV:w20_1m_voladaptive,110,46.36,-7.549,-830.38
sol_15m_v1,F7+MARKOV:w20_1m_voladaptive,3,0.0,-25.911,-77.73
sol_15m_v1,MARKOV:w20_5m_voladaptive,101,49.5,-3.535,-357.02
