stack,depth,n,wr,dpt,dd,ls,score
g_prewindow_mp_skew_strong_with|g_tr_above_ema800|g_vol_high,3,389,0.7197943444730077,4.135469467039025,780.4100529088829,15,81.56420722525219
g_prewindow_mp_skew_with|g_tr_above_ema800|g_vol_high,3,389,0.7197943444730077,4.135469467039025,780.4100529088829,15,81.56420722525219
g_hod_european_morning|g_mp_change_500ms_with|g_rf_strong,3,29,0.9310344827586207,14.662294932986415,50.0,2,78.958874664945
g_hod_european_morning|g_mp_change_500ms_with|g_ribbon_agrees,3,35,0.9428571428571428,12.93645771823438,25.0,1,76.5331159717694
g_hod_european_morning|g_mp_change_500ms_with|g_stoch_with,3,42,0.9761904761904762,11.692574206818628,25.0,1,75.7765415312835
g_mp_change_500ms_with|g_mp_no_extreme|g_vol_high,3,27,0.8888888888888888,14.435655394457408,50.0,3,75.00986575126792
g_mfi_with|g_tr_above_ema800|g_vol_high,3,440,0.7090909090909091,3.4187572197285414,325.5434304568714,5,71.71245643593763
g_mp_change_500ms_with|g_mp_no_extreme|g_rf_with,3,233,0.7124463519313304,4.6343858254475006,354.5362225043017,7,70.74082944899875
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_vol_high,3,37,0.8918918918918919,11.560909671413897,50.0,3,70.32226816543876
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_prewindow_rsi_extreme_with,3,40,0.85,11.052443080018676,150.0,6,69.90178768445132
g_hod_european_morning|g_mp_change_500ms_with|g_tr_above_ema50,3,43,0.813953488372093,10.65931471494135,150.0,6,69.89780095441562
g_entry_vwap_gt_35|g_hod_european_morning|g_mp_change_500ms_with,3,60,0.8833333333333333,8.984787287465313,125.0,5,69.59586306713854
g_bb_pos_with|g_mp_change_500ms_with|g_prewindow_rsi_extreme_with,3,29,0.8275862068965517,12.714300512118923,125.0,5,68.46860366519502
g_hod_european_morning|g_mp_change_500ms_with|g_tr_within_adr,3,53,0.8113207547169812,9.404103719541084,197.82129458927858,6,68.46290848845075
g_rf_strong|g_tr_above_ema800|g_vol_high,3,292,0.6952054794520548,3.9421737688677077,327.3104246427527,5,67.36389489179643
g_dir_up|g_mp_change_500ms_with|g_mp_no_extreme,3,251,0.6892430278884463,4.246684173440409,814.4415109343075,12,67.28013037819012
g_mp_change_500ms_with|g_mp_no_extreme|g_tr_in_active_session,3,373,0.6863270777479893,3.3829351477706573,722.708621897118,12,65.3353298746569
g_dir_up|g_mp_change_500ms_with|g_stoch_with,3,219,0.8127853881278538,4.364236323925728,269.8200174351658,6,64.58479970817385
g_rf_with|g_tr_above_ema800|g_vol_high,3,419,0.7183770883054893,3.13363004306197,401.1669032846489,6,64.1438072334427
g_cci_with|g_mp_change_500ms_with|g_prewindow_rsi_extreme_with,3,30,0.8,11.457157161714957,150.0,6,62.753434223531464
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_rf_with,3,329,0.7477203647416414,3.428086727857228,507.69405891196556,9,62.17986140150907
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with|g_rf_fresh,3,43,0.7441860465116279,9.228867701365022,275.0,11,60.51773260061744
g_tr_above_ema50|g_tr_above_ema800|g_vol_high,3,443,0.7110609480812641,2.7907217866474894,337.3974074721014,5,58.73789870328821
g_mp_change_500ms_with|g_mp_no_extreme|g_tr_above_ema50,3,235,0.7148936170212766,3.8060046227068067,332.625566695881,7,58.34494604672638
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_tr_in_active_session,3,483,0.7639751552795031,2.6165513078010156,708.2784546386715,12,57.50463094820768
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_rf_with,3,305,0.7770491803278688,3.2812302711087984,395.42807183577077,7,57.30422312598277
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with|g_tight_ribbon,3,39,0.7435897435897436,9.172789219991142,250.0,10,57.28405031857508
g_mp_change_500ms_with|g_off_240_480|g_prewindow_mp_skew_strong_with,3,216,0.6944444444444444,3.8920556114463096,376.5666098631428,9,57.20130179147668
g_mp_change_500ms_with|g_off_240_480|g_prewindow_mp_skew_with,3,216,0.6944444444444444,3.8920556114463096,376.5666098631428,9,57.20130179147668
g_bb_pos_with|g_mp_change_500ms_with|g_mp_no_extreme,3,214,0.719626168224299,3.904842062590087,341.232985356252,8,57.122914738547614
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_tr_in_active_session,3,526,0.7281368821292775,2.45708758911381,850.7056906273779,14,56.352541870119424
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_tr_above_ema50,3,334,0.7724550898203593,3.075220240898399,368.2398559694691,7,56.20170071297152
g_hod_european_morning|g_rf_aged|g_tr_stack_full_with,3,105,0.8571428571428571,5.453991949032794,80.7686082785909,2,55.886786979679066
g_hod_european_morning|g_rf_aged|g_tr_stack_with,3,105,0.8571428571428571,5.453991949032794,80.7686082785909,2,55.886786979679066
g_dir_up|g_entry_vwap_gt_25|g_mp_change_500ms_with,3,334,0.7305389221556886,3.0479435214864847,946.1312388996841,13,55.703200475352034
g_mp_change_500ms_with|g_prewindow_mp_skew_strong_with|g_tr_above_ema800,3,275,0.850909090909091,3.3292287416475754,200.0,8,55.209012886560316
g_mp_change_500ms_with|g_prewindow_mp_skew_with|g_tr_above_ema800,3,275,0.850909090909091,3.3292287416475754,200.0,8,55.209012886560316
g_mp_change_500ms_with|g_mp_no_extreme|g_tight_ribbon,3,378,0.6666666666666666,2.8299535702862384,798.638654562613,14,55.02058583267596
g_cci_with|g_mp_change_500ms_with|g_mp_no_extreme,3,212,0.7169811320754716,3.7708749854472985,341.23298535625213,8,54.90476854559081
g_mp_change_500ms_with|g_mp_no_extreme|g_stoch_with,3,232,0.7241379310344828,3.6044885216055853,370.917833410075,7,54.90193348647795
g_dir_up|g_entry_vwap_gt_35|g_mp_change_500ms_with,3,312,0.7564102564102564,3.0890538139043193,885.8539814553925,11,54.56356917524191
g_hod_european_morning|g_rf_with|g_tr_stack_full_with,3,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,54.21307521516782
g_hod_european_morning|g_rf_with|g_tr_stack_with,3,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,54.21307521516782
g_bb_pos_with|g_entry_vwap_gt_25|g_mp_change_500ms_with,3,312,0.7756410256410257,3.040507880253542,375.1392652069714,9,53.706077021169335
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_stoch_with,3,351,0.8005698005698005,2.8266857241460976,403.3872666613379,7,52.95794006818112
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_vol_high,3,33,0.9090909090909091,9.207257453990563,50.0,3,52.89166724725302
g_mp_change_500ms_with|g_prewindow_mp_skew_strong_with|g_stoch_with,3,267,0.8239700374531835,3.225151157178336,200.0,8,52.699404137382984
g_mp_change_500ms_with|g_prewindow_mp_skew_with|g_stoch_with,3,267,0.8239700374531835,3.225151157178336,200.0,8,52.699404137382984
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_tight_ribbon,3,481,0.7463617463617463,2.37345644869601,767.5445598631818,13,52.0539637507564
g_cci_with|g_entry_vwap_gt_25|g_mp_change_500ms_with,3,310,0.7741935483870968,2.944110239403042,367.560645595073,9,51.83640980570442
g_mp_change_500ms_with|g_off_60_240|g_prewindow_mp_skew_with,3,207,0.6763285024154589,3.599526704964435,404.38127489898005,10,51.7881709220232
g_mp_change_500ms_with|g_off_60_240|g_prewindow_mp_skew_strong_with,3,207,0.6763285024154589,3.599526704964435,404.38127489898005,10,51.7881709220232
g_mp_change_500ms_with|g_mp_no_extreme|g_rf_fresh,3,383,0.660574412532637,2.6334782790493914,799.06291863804,14,51.53818589263841
g_hod_european_morning|g_tight_ribbon|g_tr_stack_full_with,3,565,0.7858407079646018,2.1418780193116387,209.2458626376715,4,50.91185931617355
g_hod_european_morning|g_tight_ribbon|g_tr_stack_with,3,565,0.7858407079646018,2.1418780193116387,209.2458626376715,4,50.91185931617355
g_mp_change_500ms_with|g_stoch_with|g_tr_in_active_session,3,323,0.804953560371517,2.8122179898611006,393.90968219795184,8,50.541746282325725
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with|g_tr_above_ema50,3,29,0.8275862068965517,9.283735695803886,125.0,5,49.99444674778144
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_mp_no_extreme,3,433,0.6605080831408776,2.3920599178132878,909.4031737624434,13,49.77554250459818
g_mp_change_500ms_with|g_mp_no_extreme|g_ribbon_slope_with,3,214,0.6915887850467289,3.3834213786702687,408.061516175888,8,49.49518772858233
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_stoch_with,3,340,0.8117647058823529,2.6313659720597204,393.9852342463811,7,48.519991125624614
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_rf_fresh,3,492,0.7439024390243902,2.187006323741563,840.6538762130017,13,48.51014694640812
g_bb_pos_with|g_mp_change_500ms_with|g_tr_above_ema800,3,243,0.823045267489712,3.107896803350839,253.58414417916998,6,48.44731651276098
g_hod_european_morning|g_mp_change_500ms_with|g_tr_above_cloud,3,39,0.7948717948717948,7.690570443995987,150.0,6,48.02759702929682
g_cci_with|g_tr_above_ema800|g_vol_high,3,431,0.703016241299304,2.306537324300995,464.20723172146376,6,47.88495921098439
g_bb_pos_with|g_tr_above_ema800|g_vol_high,3,435,0.7034482758620689,2.292027307443068,458.5639736538433,6,47.80401962657694
g_hod_european_morning|g_rf_aged|g_tr_above_ema800,3,204,0.7892156862745098,3.331714334186562,209.67195070141295,4,47.58639892388725
g_tr_above_ema800|g_tr_within_adr|g_vol_high,3,222,0.6801801801801802,3.1821097559478733,370.2781973115041,8,47.4123675295328
g_dir_up|g_mp_change_500ms_with|g_off_240_480,3,160,0.65,3.7449548596942877,490.7668649657787,7,47.370348364601014
g_mp_change_500ms_with|g_ribbon_slope_with|g_tr_above_ema800,3,211,0.8199052132701422,3.247003952746594,224.40325480101743,4,47.16545680040715
g_mp_change_500ms_with|g_mp_no_extreme|g_prewindow_rsi_extreme_with,3,27,0.7777777777777778,9.060852165922363,150.0,6,47.081568933744116
g_mp_change_500ms_with|g_tr_above_ema800|g_tr_in_active_session,3,323,0.8204334365325078,2.619064766845402,437.7678952900787,6,47.070357781694206
g_mp_change_500ms_with|g_off_120_360|g_prewindow_mp_skew_strong_with,3,212,0.6745283018867925,3.204508072819631,509.25061312032494,11,46.6583418224269
g_mp_change_500ms_with|g_off_120_360|g_prewindow_mp_skew_with,3,212,0.6745283018867925,3.204508072819631,509.25061312032494,11,46.6583418224269
g_entry_vwap_gt_25|g_entry_vwap_gt_35|g_mp_change_500ms_with,3,558,0.7437275985663082,1.9410272634485162,940.9439757702876,12,45.85099186819564
g_bb_pos_with|g_mp_change_500ms_with|g_stoch_with,3,196,0.8469387755102041,3.2716413194776486,125.62488891615226,4,45.80297847268708
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_tr_above_ema200,3,355,0.7830985915492957,2.4256896393686542,393.2398559694691,6,45.70349472876066
g_hod_european_morning|g_mp_change_500ms_with|g_tr_above_ema200,3,43,0.8372093023255814,6.953047457407635,150.0,6,45.5941812585049
g_bb_pos_with|g_hod_european_morning|g_tr_stack_full_with,3,585,0.788034188034188,1.8788256789731492,245.5998779379014,4,45.44273066401067
g_bb_pos_with|g_hod_european_morning|g_tr_stack_with,3,585,0.788034188034188,1.8788256789731492,245.5998779379014,4,45.44273066401067
g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_with,3,499,0.7835671342685371,2.0291220567873256,300.24364804623156,4,45.32715327868134
g_hod_european_morning|g_ribbon_slope_with|g_tr_stack_full_with,3,499,0.7835671342685371,2.0291220567873256,300.24364804623156,4,45.32715327868134
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_mp_no_extreme,3,420,0.6666666666666666,2.2101573607084273,945.1282364687179,12,45.29474732040492
g_entry_vwap_gt_35|g_mp_change_500ms_with|g_tr_above_ema50,3,320,0.784375,2.526194640993881,354.8892183301225,7,45.18994353326396
g_hod_european_morning|g_tr_in_active_session|g_tr_stack_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_tr_above_ema800|g_tr_stack_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_tr_in_active_session|g_tr_stack_full_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_tr_above_ema800|g_tr_stack_full_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_ribbon_agrees|g_tr_stack_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_tr_stack_full_with|g_tr_stack_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_hod_european_morning|g_ribbon_agrees|g_tr_stack_full_with,3,606,0.7871287128712872,1.8295120019852613,241.376992280683,4,45.03721998788691
g_mp_change_500ms_with|g_prewindow_mp_skew_with|g_tr_above_ema200,3,280,0.7964285714285714,2.6819140623884365,311.7012545383217,7,44.87700581200039
g_mp_change_500ms_with|g_prewindow_mp_skew_strong_with|g_tr_above_ema200,3,280,0.7964285714285714,2.6819140623884365,311.7012545383217,7,44.87700581200039
g_tr_above_ema200|g_tr_above_ema800|g_vol_high,3,562,0.701067615658363,1.8844360915048386,447.0253072108246,6,44.67345803972321
g_mp_change_500ms_with|g_stoch_with|g_tr_above_ema50,3,196,0.8418367346938775,3.189613455672518,114.51711531496403,3,44.65458837941525
g_mp_change_500ms_with|g_prewindow_rsi_extreme_with|g_tr_above_cloud,3,31,0.8064516129032258,7.997438591972252,150.0,6,44.52785358630461
g_ribbon_slope_with|g_tr_above_ema800|g_vol_high,3,403,0.6947890818858561,2.199710860523939,424.81678137136896,5,44.15888734527296
g_hod_european_morning|g_tr_above_ema200|g_tr_stack_with,3,605,0.7867768595041322,1.7951551848917382,241.37699228068288,4,44.154979259370435
g_hod_european_morning|g_tr_above_ema200|g_tr_stack_full_with,3,605,0.7867768595041322,1.7951551848917382,241.37699228068288,4,44.154979259370435
g_entry_vwap_gt_25|g_mp_change_500ms_with|g_tr_above_cloud,3,342,0.7631578947368421,2.381802455907944,368.2398559694691,6,44.04724923451448
g_cci_with|g_hod_european_morning|g_tr_stack_with,3,584,0.7876712328767124,1.8223578407872196,245.59987793790128,4,44.039267141145025
g_cci_with|g_hod_european_morning|g_tr_stack_full_with,3,584,0.7876712328767124,1.8223578407872196,245.59987793790128,4,44.039267141145025
g_hod_european_morning|g_tr_above_cloud|g_tr_stack_with,3,599,0.7863105175292153,1.796650474582197,241.87699179411436,4,43.97207982074584
g_hod_european_morning|g_tr_above_cloud|g_tr_stack_full_with,3,599,0.7863105175292153,1.796650474582197,241.87699179411436,4,43.97207982074584
g_cci_with|g_mp_change_500ms_with|g_tr_above_ema800,3,241,0.8174273858921162,2.7961989154551294,275.96075961448526,6,43.40868044901824
g_mp_change_500ms_with|g_mp_no_extreme|g_tr_above_cloud,3,239,0.698744769874477,2.794038065509895,334.4762308414679,6,43.1947802639725
g_hod_european_morning|g_tr_above_ema50|g_tr_stack_with,3,590,0.7847457627118644,1.7771401852888706,245.59987793790106,4,43.16658511533488
g_hod_european_morning|g_tr_above_ema50|g_tr_stack_full_with,3,590,0.7847457627118644,1.7771401852888706,245.59987793790106,4,43.16658511533488
