stack_canon,depth,n_f,wr_f,dpt_f,dd_f,ls_f,sum_f,n_l,wr_l,dpt_l,dd_l,ls_l,bp_lock,bp_full,score_l,sharpe_f
g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,4,336,0.7291666666666666,2.7307253957677164,186.04498094891926,5,917.5237329779527,55,0.6909090909090909,2.587829327173119,125.0,5,0.004,0.009,19.191855941043077,0.8759509213613182
g_hod_european_morning|g_rf_strong|g_rf_with|g_tr_stack_with,4,586,0.7849829351535836,1.6300691991073673,296.6650791533257,4,955.2205506769172,91,0.7692307692307693,1.9147565271164309,100.0,4,0.004,0.025,18.26561312385332,0.5685095162622092
g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,4,733,0.7926330150068213,2.2491705929245973,241.34370466770497,5,1648.6420446137297,104,0.7596153846153846,1.7553107724888242,125.0,5,0.041,0.005,17.90072776268028,0.6599659776005301
g_tr_above_ema800|g_tr_within_adr|g_vol_high,3,542,0.6715867158671587,0.35892903528787723,906.5911264045094,9,194.53953712602947,119,0.6554621848739496,1.5878269561733336,372.0556287349649,7,0.365,0.429,17.321147152753195,0.047597526041164406
g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,4,780,0.7935897435897435,1.9201746739280703,307.26442963028944,5,1497.7362456638948,112,0.7678571428571429,1.6353191358564785,125.0,5,0.019,0.008,17.306590990805162,0.5752085077537492
g_cci_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,4,781,0.793854033290653,1.8863531153367061,307.26442963028967,5,1473.2417830779675,112,0.7678571428571429,1.6353191358564785,125.0,5,0.019,0.008,17.306590990805162,0.5660366297683075
g_hod_european_morning|g_off_60_240|g_rf_strong|g_tr_stack_with,4,274,0.708029197080292,2.3653888149910536,301.7301966389243,5,648.1165353075487,49,0.6938775510204082,2.45707098589036,125.0,5,0.005,0.035,17.199496901232518,0.7323517324220835
g_hod_european_morning|g_rf_with|g_tr_stack_with|g_tr_within_adr,4,472,0.7860169491525424,1.9398601298332758,174.03144656470488,5,915.6139812813062,72,0.7638888888888888,1.9183575525129613,125.0,5,0.0,0.02,16.27780360946812,0.5393782788865118
g_hod_european_morning|g_rf_with|g_tr_stack_with,4,797,0.794228356336261,1.9523206220093547,273.47483431071646,5,1555.9995357414557,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.008,16.09656514668712,0.587136533484333
g_hod_european_morning|g_rf_with|g_ribbon_agrees|g_tr_stack_with,4,797,0.794228356336261,1.9523206220093547,273.47483431071646,5,1555.9995357414557,114,0.7631578947368421,1.5075814531587566,125.0,5,0.019,0.008,16.09656514668712,0.587136533484333
