vwap_band,n,wr,mean_vwap,stake_kelly,const_sum,const_mean,kelly_sum,kelly_mean
.30-.45,1,0.0,0.39674237868205164,5.0,-25.0,-25.0,-5.0,-5.0
.45-.55,26,0.7307692307692307,0.5236909340761506,5.0,245.37359845731447,9.437446094512095,49.074719691462896,1.887489218902419
.55-.65,30,0.6,0.5994119059126395,5.0,-5.743679144886698,-0.1914559714962233,-1.1487358289773448,-0.03829119429924483
.65-.75,16,0.9375,0.6749065406240033,5.0,153.56883905830492,9.598052441144057,30.713767811660983,1.9196104882288114
