vwap_band,n,wr,mean_vwap,stake_kelly,const_sum,const_mean,kelly_sum,kelly_mean
<.30,51,0.1568627450980392,0.1696074137553392,5.0,22.468830641141707,0.4405653066890531,4.4937661282283585,0.08811306133781095
.30-.45,107,0.411214953271028,0.4017104490329712,5.0,53.71186945574113,0.5019800883714124,10.742373891148219,0.10039601767428243
.45-.55,309,0.6116504854368932,0.5115854531670865,1.116504854368932,1447.8007343834754,4.685439269849435,113.9872535710595,0.368890788255856
