stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l,stack_canon
g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,4,214,0.7289719626168224,2.865780539505784,146.1931452818326,4,67,0.7611940298507462,2.416657978047662,171.0793741803227,4,55,0.6909090909090909,2.587829327173119,125.0,5,142.33061299452154,19.191855941043077,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with
g_hod_european_morning|g_rf_strong|g_rf_with|g_tr_stack_full_with,4,381,0.7952755905511811,2.01308825160322,266.9287395914529,4,114,0.7631578947368421,0.1227287969166261,138.43834859305048,2,91,0.7692307692307693,1.9147565271164309,100.0,4,174.2428439675952,18.26561312385332,g_hod_european_morning|g_rf_strong|g_rf_with|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,4,482,0.7987551867219918,2.788418210412153,241.34370466770497,4,147,0.7959183673469388,0.8304227677294831,153.54251501601183,3,104,0.7596153846153846,1.7553107724888242,125.0,5,182.5523203388377,17.90072776268028,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with
g_tr_above_ema800|g_tr_within_adr|g_vol_high,3,222,0.6801801801801802,3.1821097559478733,370.2781973115041,8,201,0.6716417910447762,-3.4867673456667907,783.3065128583534,9,119,0.6554621848739496,1.5878269561733336,372.0556287349649,7,188.9514077846267,17.321147152753195,g_tr_above_ema800|g_tr_within_adr|g_vol_high
g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,4,511,0.7984344422700587,2.3843823899257752,277.69771996793475,4,157,0.7961783439490446,0.6124910904197337,172.55004195433636,3,112,0.7678571428571429,1.6353191358564785,125.0,5,183.15574321592555,17.306590990805162,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with
g_cci_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,4,512,0.798828125,2.3318846458323126,277.69771996793475,4,157,0.7961783439490446,0.6124910904197337,172.55004195433636,3,112,0.7678571428571429,1.6353191358564785,125.0,5,183.15574321592555,17.306590990805162,g_cci_with|g_hod_european_morning|g_rf_with|g_tr_stack_with
g_hod_european_morning|g_off_60_240|g_rf_strong|g_tr_stack_full_with,4,168,0.7261904761904762,3.0827820504794365,148.76681422880097,3,57,0.6666666666666666,0.1721521494451874,218.5271412272538,4,49,0.6938775510204082,2.45707098589036,125.0,5,120.39647830862764,17.199496901232518,g_hod_european_morning|g_off_60_240|g_rf_strong|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_tr_stack_full_with|g_tr_within_adr,4,301,0.7906976744186046,2.6375322494543703,141.2451950182881,4,99,0.7878787878787878,-0.165706763488814,143.91397520800697,3,72,0.7638888888888888,1.9183575525129613,125.0,5,138.12174378093323,16.27780360946812,g_hod_european_morning|g_rf_with|g_tr_stack_with|g_tr_within_adr
g_hod_european_morning|g_rf_with|g_tr_stack_full_with|g_tr_stack_with,4,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,162,0.8024691358024691,0.9055481427537692,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_tr_stack_with
g_hod_european_morning|g_rf_with|g_ribbon_agrees|g_tr_stack_full_with,4,521,0.7984644913627639,2.375117948090684,273.47483431071646,4,162,0.8024691358024691,0.9055481427537692,161.85292154398937,3,114,0.7631578947368421,1.5075814531587566,125.0,5,171.86428566009826,16.09656514668712,g_hod_european_morning|g_rf_with|g_ribbon_agrees|g_tr_stack_with
