sleeve_id,anchor,gate_stack,vwap_filter,conviction_method,p_kelly,avg_stake_kelly,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,dpt_25_full,sum_25_lockbox_const,sum_25_full_const,sum_kelly_lockbox,sum_kelly_full,dd_25_lockbox,dd_25_full,loss_streak_lockbox,loss_streak_full,sharpe_lockbox,sharpe_full,bootstrap_p_lockbox_const25,bootstrap_p_full_const25,V6_pass_lock
C1a_HOD_EU_OFF60-240_VWAP_lt80,offset_60_240s (early to mid 15m window),g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,entry_vwap < 0.80,Option A — fixed Kelly p from train WR,0.6885245901639344,3.719298245614035,183,53,49,285,0.6885245901639344,0.7169811320754716,0.7142857142857143,0.6982456140350877,2.8864945662850774,2.574433076738729,4.115931162171365,3.039838896995504,201.68062694639687,866.3540856437187,26.814349425838074,162.30087489383834,100.0,219.67690252283506,4,6,0.7479285003165007,0.46825437830660094,0.0035,0.01,True
C1b_HOD_EU_OFF60-240_VWAP_30_70,offset_60_240s (early to mid 15m window),g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,"entry_vwap in [0.30, 0.70)",Option A — fixed Kelly p from train WR,0.6912751677852349,4.712389380530974,149,39,38,226,0.6912751677852349,0.6666666666666666,0.6578947368421053,0.6814159292035398,4.159656298226029,2.2968443053201075,3.823852153201864,3.781734947632006,145.30638182167084,854.6720981648333,29.061276364334155,171.7927535303093,100.0,219.5091658891297,4,6,0.5547331804433264,0.4921145459664168,0.0035,0.0055,False
C2_HOD_EU_OFF60_TR_ADR_VWAP_30_70,offset_60 EARLY FIRE (matches production),g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,"entry_vwap in [0.30, 0.70)",Option A — fixed Kelly p from train WR,0.7209302325581395,5.0,43,17,13,73,0.7209302325581395,0.7647058823529411,0.6153846153846154,0.7123287671232876,5.507842973042823,5.483090659029201,2.9345361020303775,5.043818607818256,38.148969326394905,368.1987583707327,7.629793865278977,73.63975167414654,50.0,68.98877453356451,2,2,0.23717558692962684,0.38534664939170243,0.147,0.001,False
C3_HOD_EU_TIGHTRIB_VWAP_lt80,all offsets (g_off filter not applied; primarily 60-840s window),g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,entry_vwap < 0.80,Option A — fixed Kelly p from train WR,0.6920289855072463,3.5460992907801416,276,75,72,423,0.6920289855072463,0.6533333333333333,0.6805555555555556,0.6832151300236406,4.417873376018189,0.8710652709488378,2.108465427139724,3.3959159760194875,151.8095107540601,1436.4724578562432,16.518586608744,246.6534372032844,125.0,249.87818931408583,5,5,0.4638275406465328,0.48476276466988627,0.0685,0.005,False
C6_TR_RF_RIBSLP_VWAP_lt55,"all offsets (broad-window, ribbon-aligned underdog fires)",g_tr_stack_with|g_rf_with|g_ribbon_slope_with,entry_vwap < 0.55,Option A — fixed Kelly p from train WR,0.4930555555555556,2.430406852248394,288,86,93,467,0.4930555555555556,0.5348837209302325,0.5698924731182796,0.5160599571734475,3.1082953787767584,1.3581152171531299,5.505316738897663,3.263343542784493,511.99445671748265,1523.981434480358,61.10406915671717,129.22339359043605,175.65579770691664,604.1958216927072,7,11,0.9602361789739569,0.3731465635313687,0.0,0.02,False
