sleeve,stack,vwap_filter,n_tr,wr_tr,dpt_tr,n_v,wr_v,dpt_v,n_l,wr_l,dpt_l,dd_l,ls_l,n_f,wr_f,dpt_f,dd_f,ls_f,sum_l,sum_f,bp_l,bp_f,score_l,score_f
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,lt_65,118,0.6440677966101694,3.4001819819028087,27,0.5925925925925926,0.7766303330266351,30,0.6,2.8533266343881385,75.0,3,175,0.6285714285714286,2.901658810787971,322.6915341700932,6,85.59979903164415,507.7902918878949,0.062,0.06,15.628313615846793,38.38533801452197
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,20_65,118,0.6440677966101694,3.4001819819028087,27,0.5925925925925926,0.7766303330266351,30,0.6,2.8533266343881385,75.0,3,175,0.6285714285714286,2.901658810787971,322.6915341700932,6,85.59979903164415,507.7902918878949,0.062,0.06,15.628313615846793,38.38533801452197
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,lt_65,690,0.5434782608695652,0.5847967792357058,224,0.59375,1.0927201500385568,176,0.5965909090909091,3.3869072889964698,202.27911080653905,6,1090,0.5623853211009174,1.1416282331602314,1207.7868172544415,9,596.0956828633787,1244.3747741446523,0.03,0.116,44.93240270928437,37.69102512264586
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,15_55,75,0.56,5.17370000265355,17,0.4117647058823529,-2.8601787169217645,23,0.5652173913043478,2.314226365651958,81.73517382160401,3,115,0.5391304347826087,3.414188421055142,304.80192647121413,5,53.227206409995034,392.6316684213413,0.26,0.132,11.098639756475087,36.613091867031734
C2_OFF60_RFA_HOD,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,none,50,0.7,3.8040267242879793,20,0.75,4.016583199605295,15,0.6666666666666666,3.6243502293560796,50.0,2,85,0.7058823529411765,3.8223323958452475,93.98877453356451,2,54.36525344034119,324.89825364684606,0.0,0.008,14.03704807911913,35.24016345404609
C2_OFF60_RFA_HOD,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,lt_80,49,0.6938775510204082,3.771903819863183,19,0.7368421052631579,3.9823682323585627,15,0.6666666666666666,3.6243502293560796,50.0,2,83,0.6987951807228916,3.7934161087765044,93.98877453356451,2,54.36525344034119,314.85353702844986,0.0,0.008,14.03704807911913,34.559665497064366
C5_VOL_ADR_TS,g_tr_stack_with|g_tr_within_adr|g_vol_high,lt_75,32,0.59375,3.546249507780864,24,0.7083333333333334,2.1592304131106057,22,0.6363636363636364,6.025654894651445,100.0,4,78,0.6410256410256411,3.8187938698201784,140.47222357436456,4,132.5644076823318,297.8659218459739,0.278,0.094,28.262826681130324,33.726674256050536
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,20_65,667,0.5562218890554723,0.14607751465907062,219,0.6073059360730594,1.688444354377337,175,0.6,3.5491181877907354,185.70057463920205,6,1061,0.5739868049010367,1.0257292165406366,1107.7868172544408,8,621.0956828633787,1088.2986987496156,0.012,0.124,46.950420492352606,33.41107259024525
C2_OFF60_RFA_HOD,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,lt_75,46,0.6739130434782609,3.518201040018291,18,0.7222222222222222,3.7895856224164675,14,0.6428571428571429,3.3896425627116713,50.0,2,78,0.6794871794871795,3.5577536528500153,93.98877453356451,2,47.4549958779634,277.5047849223012,0.036,0.014,12.682881133293478,31.421229483275717
C5_VOL_ADR_TS,g_tr_stack_with|g_tr_within_adr|g_vol_high,lt_80,36,0.6111111111111112,3.0764785981876086,28,0.7142857142857143,1.6959349485404245,25,0.64,4.831875522053978,100.0,4,89,0.651685393258427,3.135239282530733,165.47222357436456,5,120.79688805134944,279.0362961452352,0.278,0.104,24.15937761026989,29.577788235877616
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,none,2475,0.7749494949494949,0.33301734063605,830,0.7771084337349398,0.3577758532756943,528,0.7632575757575758,1.340736187578488,350.7195398345504,5,3833,0.7738064179493869,0.4771929515613074,1018.5875126724566,5,707.9087070414416,1829.0805833344914,0.03,0.06,30.807772088100744,29.543601036516584
C2_OFF60_RFA_HOD,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,lt_65,36,0.6666666666666666,4.2381142747493605,9,0.6666666666666666,3.9375830534208465,12,0.5833333333333334,2.218296495055266,53.273582410286004,2,57,0.6491228070175439,3.7654371809197853,100.04025814279865,2,26.619557940663192,214.62991931242777,0.268,0.06,7.684404471375367,28.42842729235701
C2_OFF60_RFA_HOD,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,20_65,36,0.6666666666666666,4.2381142747493605,9,0.6666666666666666,3.9375830534208465,12,0.5833333333333334,2.218296495055266,53.273582410286004,2,57,0.6491228070175439,3.7654371809197853,100.04025814279865,2,26.619557940663192,214.62991931242777,0.268,0.06,7.684404471375367,28.42842729235701
C5_VOL_ADR_TS,g_tr_stack_with|g_tr_within_adr|g_vol_high,none,70,0.7857142857142857,2.1911832724297406,60,0.85,1.3791104927129032,40,0.725,2.422068206997398,113.30546838241764,2,170,0.7941176470588235,1.9588952171338352,171.74807956637062,5,96.88272827989593,333.012186912752,0.36,0.068,15.318504364783909,25.540868822157726
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,10_45,94,0.32978723404255317,-1.36483098441918,18,0.2777777777777778,-8.623230829236313,31,0.45161290322580644,5.208351705575678,128.11967000244766,5,143,0.34965034965034963,-0.853520032089584,554.9490723074058,11,161.45890287284604,-122.05336458881052,0.206,0.662,28.99887501538922,0.0
