sleeve,stack,vwap_filter,n_tr,wr_tr,dpt_tr,n_v,wr_v,dpt_v,n_l,wr_l,dpt_l,dd_l,ls_l,n_f,wr_f,dpt_f,dd_f,ls_f,sum_l,sum_f,bp_l,bp_f,score_l,score_f
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,lt_55,288,0.4930555555555556,3.1082953787767584,86,0.5348837209302325,1.3581152171531299,93,0.5698924731182796,5.505316738897663,175.65579770691664,7,467,0.5160599571734475,3.263343542784493,604.1958216927072,11,511.99445671748265,1523.981434480358,0.0,0.024,53.0913519585777,70.52145044973852
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,lt_80,276,0.6920289855072463,4.417873376018189,75,0.6533333333333333,0.8710652709488378,72,0.6805555555555556,2.108465427139724,125.0,5,423,0.6832151300236406,3.3959159760194875,249.87818931408583,5,151.8095107540601,1436.4724578562432,0.08,0.012,17.890922417134668,69.84368095072021
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,lt_65,164,0.6402439024390244,6.419290256035531,40,0.55,0.22181125100638024,43,0.5581395348837209,0.24721925704943518,125.0,5,247,0.611336032388664,4.341159838393554,318.91198973907535,6,10.630428053125712,1072.2664800832079,0.422,0.034,1.621125080125285,68.22668231266154
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,lt_80,279,0.6881720430107527,4.155043317929517,78,0.6666666666666666,0.9845652969747621,75,0.6933333333333334,2.270820774027237,125.0,5,432,0.6851851851851852,3.255473928051874,273.4977872671011,5,170.31155805204278,1406.3647369184096,0.062,0.012,19.665884777490298,67.66375495322008
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,lt_75,245,0.6612244897959184,4.343458863807652,65,0.6307692307692307,0.9429158234290295,64,0.640625,1.4817527306365383,125.0,5,374,0.6524064171122995,3.262751670899733,209.1547078876083,5,94.83217476073845,1220.2691249165,0.234,0.018,11.854021845092307,63.09861429753165
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,15_55,270,0.5148148148148148,2.178064455281755,82,0.5609756097560976,2.6438769350630382,93,0.5698924731182796,5.505316738897663,175.65579770691664,7,445,0.5348314606741573,2.959257906334215,479.19582169270745,9,511.99445671748265,1316.8697683187256,0.0,0.008,53.0913519585777,62.42561392176848
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,lt_55,79,0.569620253164557,9.012138034134065,20,0.4,-3.8424827301590256,23,0.5652173913043478,2.314226365651958,81.73517382160401,3,122,0.5409836065573771,5.6421021024869304,358.0285428867247,6,53.227206409995034,688.3364565034055,0.26,0.094,11.098639756475087,62.319054617799424
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,lt_65,164,0.6341463414634146,6.071674074295145,38,0.5263157894736842,-0.7021627473654447,42,0.5476190476190477,-0.07328843788207266,125.0,5,244,0.6024590163934426,3.958992825383073,383.97389928538473,6,-3.078114391047052,965.9942493934698,0.562,0.046,0.0,61.84144486272982
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,none,482,0.7987551867219918,2.7884182104121535,147,0.7959183673469388,0.8304227677294831,104,0.7596153846153846,1.7553107724888242,125.0,5,733,0.7926330150068213,2.2491705929245973,241.34370466770497,5,182.55232033883772,1648.6420446137297,0.042,0.01,17.90072776268028,60.893983323513034
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,lt_75,246,0.6585365853658537,4.152918109298579,66,0.6363636363636364,0.8857371608999958,65,0.6461538461538462,1.5378066968272248,125.0,5,377,0.6525198938992043,3.13006350875496,232.7743058406229,5,99.9574352937696,1180.03394280062,0.234,0.026,12.398193956880691,60.77484005287434
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,30_70,201,0.681592039800995,4.212745971361921,51,0.6274509803921569,1.9878797891023015,56,0.6071428571428571,1.0284452329235716,125.13777223372566,5,308,0.6590909090909091,3.2653790341937774,175.0,7,57.59293304372001,1005.7367425316834,0.292,0.008,7.696179405321857,57.30716947277456
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,30_70,149,0.6912751677852349,4.159656298226029,39,0.6666666666666666,2.2968443053201075,38,0.6578947368421053,3.823852153201864,100.0,4,226,0.6814159292035398,3.781734947632006,219.5091658891297,6,145.30638182167084,854.6720981648333,0.006,0.01,23.57180775848064,56.851942292202494
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,lt_55,77,0.5584415584415584,8.633370120948967,19,0.3684210526315789,-5.190686220403684,23,0.5652173913043478,2.314226365651958,81.73517382160401,3,119,0.5294117647058824,5.204820735591559,379.8019264712142,6,53.227206409995034,619.3736675353955,0.26,0.12,11.098639756475087,56.77789101285481
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,30_70,200,0.685,4.2711618674916085,50,0.62,1.5807105190701105,55,0.6,0.7978980109008603,125.13777223372566,5,305,0.659016393442623,3.203778000168441,175.0,7,43.88439059954732,977.1522900513745,0.34,0.012,5.917370021299599,55.95157736543988
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,none,511,0.7984344422700587,2.3843823899257752,157,0.7961783439490446,0.6124910904197337,112,0.7678571428571429,1.6353191358564783,125.0,5,780,0.7935897435897435,1.9201746739280703,307.26442963028944,5,183.15574321592555,1497.7362456638948,0.026,0.012,17.306590990805162,53.62756014539465
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,lt_80,183,0.6885245901639344,2.8864945662850774,53,0.7169811320754716,2.574433076738729,49,0.7142857142857143,4.115931162171365,100.0,4,285,0.6982456140350877,3.039838896995504,219.67690252283506,6,201.68062694639687,866.3540856437187,0.006,0.01,28.811518135199556,51.31838703730614
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,lt_55,47,0.6382978723404256,5.942718977890681,9,0.4444444444444444,-3.4609890104330483,16,0.75,11.307257352042178,50.0,2,72,0.6388888888888888,5.9593751180505485,160.72106930612642,5,180.91611763267485,429.07500849963947,0.006,0.056,45.229029408168714,50.566974691295094
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,15_55,47,0.6382978723404256,5.942718977890681,9,0.4444444444444444,-3.4609890104330483,16,0.75,11.307257352042178,50.0,2,72,0.6388888888888888,5.9593751180505485,160.72106930612642,5,180.91611763267485,429.07500849963947,0.006,0.056,45.229029408168714,50.566974691295094
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,none,214,0.7289719626168224,2.865780539505784,67,0.7611940298507462,2.416657978047662,55,0.6909090909090909,2.587829327173119,125.0,5,336,0.7291666666666666,2.7307253957677164,186.04498094891926,5,142.33061299452154,917.5237329779527,0.006,0.01,19.191855941043073,50.055023312975216
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,20_65,160,0.64375,4.387857460264802,38,0.5789473684210527,1.549275001059348,43,0.5581395348837209,0.24721925704943518,125.0,5,241,0.6182572614107884,3.2014940735923205,286.026708268039,6,10.630428053125712,771.5600717357493,0.422,0.024,1.621125080125285,49.70055328748833
C1_HOD_EU_OFF60_240,g_hod_european_morning|g_off_60_240|g_rf_with|g_tr_stack_with,lt_75,165,0.6666666666666666,2.804427827496626,46,0.6956521739130435,2.6366791408675394,45,0.6888888888888889,3.862176544813995,100.0,4,256,0.67578125,2.960217877083906,215.21275024491575,6,173.79794451662977,757.81577653348,0.006,0.02,25.90826788592807,47.3634860333425
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,lt_80,1278,0.6377151799687011,0.623210828683271,448,0.6741071428571429,1.0860553333199243,317,0.6656151419558359,2.300666906859979,348.52136347672985,5,2043,0.6500244738130201,0.9849866068816252,1027.516621587353,8,729.3114094746134,2012.3276378591604,0.03,0.042,40.962209713022695,44.520958794134366
C4_HOD_BBPOS,g_bb_pos_with|g_hod_european_morning|g_rf_with|g_tr_stack_with,20_65,160,0.6375,4.0315508739809065,36,0.5555555555555556,0.6477171000031416,42,0.5476190476190477,-0.07328843788207266,125.0,5,238,0.6092436974789915,2.7953270632185343,329.14457746602,6,-3.078114391047052,665.2878410460112,0.562,0.054,0.0,43.12420558000049
C2_OFF60_RFA_HOD,g_hod_european_morning|g_off_60|g_tr_stack_with|g_tr_within_adr,30_70,43,0.7209302325581395,5.507842973042823,17,0.7647058823529411,5.483090659029201,13,0.6153846153846154,2.9345361020303775,50.0,2,73,0.7123287671232876,5.043818607818256,68.98877453356451,2,38.148969326394905,368.1987583707327,0.134,0.0,10.58062038557075,43.094405075901435
C3_HOD_TIGHTRIB,g_hod_european_morning|g_rf_with|g_tight_ribbon|g_tr_stack_with,15_55,77,0.5714285714285714,5.65216760496801,18,0.4444444444444444,-1.4916474779544733,23,0.5652173913043478,2.314226365651958,81.73517382160401,3,118,0.5508474576271186,3.9118174355029782,283.0285428867248,5,53.227206409995034,461.5944573893514,0.26,0.094,11.098639756475087,42.49321412351861
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,lt_75,1068,0.6020599250936329,0.47344484841629814,382,0.6596858638743456,1.4038831195923964,278,0.6438848920863309,2.4421394446388525,293.605177052242,7,1728,0.6215277777777778,0.9958548700245967,942.1432164817224,9,678.914765609601,1720.837215402503,0.112,0.06,40.718601752061026,41.39690956434005
C6_TR_S_VWAP,g_tr_stack_with|g_rf_with|g_ribbon_slope_with,30_70,855,0.5929824561403508,0.29304816637848774,302,0.652317880794702,2.1525002827821123,227,0.6299559471365639,2.6570901326506062,233.94560481890983,7,1384,0.6119942196531792,1.0865395431831595,835.4347200228857,10,603.1594601116876,1503.7707277654927,0.05,0.04,40.03309942881805,40.42160758305545
