sleeve,asset,tf,gate,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,boot_p_neg,boot_ci5,boot_ci95,pass_lockbox
sniper_midwindow,BTC,15m,g_mlofi_skew_with,1304,0.6111963190184049,1.004254323043515,1309.5476372487437,402,0.6169154228855721,1.5644226017964655,628.8978859221792,277,0.5956678700361011,-1.7085194885687456,-473.25989833354254,0.88,-3.539888905398765,0.6188847098144498,False
sniper_midwindow,BTC,15m,g_mlofi_l5_with,1306,0.6110260336906586,0.9920022080767572,1295.554883748245,402,0.6169154228855721,1.5644226017964655,628.8978859221792,277,0.5956678700361011,-1.7085194885687456,-473.25989833354254,0.92,-3.884231692770794,0.2754784078109487,False
momo_extreme,ETH,15m,g_mlofi_no_extreme,69,0.5362318840579711,3.9665672283732896,273.69313875775697,19,1.0,21.657151634572628,411.4858810568799,23,0.7391304347826086,20.802115176184856,478.44864905225165,0.015,6.707963549843767,34.10829542536307,True
sniper_midwindow,BTC,ALL,g_mlofi_skew_with,2989,0.6547340247574439,0.937773276291091,2803.004322834071,953,0.6222455403987408,-1.116672128710126,-1064.18853866075,642,0.6464174454828661,-1.0425017608423992,-669.2861304608203,0.885,-2.6570116589871473,0.34737385375748653,False
sniper_midwindow,BTC,ALL,g_mlofi_l5_with,2992,0.6547459893048129,0.934885774064251,2797.178236000239,952,0.6218487394957983,-1.2146588329516,-1156.355208969923,642,0.6464174454828661,-1.0425017608423992,-669.2861304608203,0.9,-2.419385779650278,0.3427939817998336,False
sniper_midwindow,BTC,15m,g_mlofi_l25_with,1303,0.6062931696085956,0.7156816731287718,932.5332200867897,408,0.6102941176470589,1.2805011134083681,522.4444542706142,274,0.5912408759124088,-1.8599097225800332,-509.6152639869291,0.9,-4.218963200636752,0.42547933415367106,False
fade_small,ETH,ALL,g_mlofi_strong_with,141,0.7021276595744681,5.12658415682565,722.8483661124166,67,0.9552238805970149,-0.3117594360782021,-20.887882217239543,63,0.9523809523809523,1.44168504520506,90.82615784791878,0.2,-1.0671430720302104,4.583508885007667,False
fade_small,ETH,5m,g_mlofi_strong_with,136,0.6911764705882353,5.276396391524113,717.5899092472794,65,0.9538461538461539,-0.33673663452465397,-21.88788124410251,62,0.9516129032258065,1.452716558615077,90.06842663413477,0.2,-0.923337819018903,4.535491154867555,False
momo_v2_strong,ETH,15m,g_mlofi_no_extreme,101,0.504950495049505,-0.21904201991063216,-22.12324401097385,49,0.8571428571428571,10.436800801330827,511.4032392652105,44,0.5227272727272727,5.9237880173433695,260.64667276310826,0.2,-4.717126603192586,15.04011516624383,False
momo_v2_anywhere,ETH,15m,g_mlofi_no_extreme,367,0.4032697547683924,-2.360181843931136,-866.1867367227269,150,0.6533333333333333,5.01040620863264,751.5609312948959,125,0.56,5.862288469999265,732.7860587499081,0.05,0.0048001543682328765,12.744968004930842,False
momo_extreme,ALL,15m,g_mlofi_l25_with,94,0.6702127659574468,3.4250560442782856,321.95526816215886,19,0.9473684210526315,18.04816074103336,342.9150540796339,33,0.5454545454545454,-2.3537744745487474,-77.67455766010866,0.71,-10.169231131279716,6.011215185815587,False
momo_extreme,ALL,15m,g_mlofi_skew_with,92,0.6630434782608695,2.3894189582942182,219.8265441630681,20,0.95,17.605799710877047,352.11599421754096,39,0.5128205128205128,-3.9011367916459077,-152.1443348741904,0.82,-10.43324689462303,2.2932805223120365,False
momo_extreme,ALL,15m,g_mlofi_l5_with,92,0.6630434782608695,2.3894189582942182,219.8265441630681,20,0.95,17.605799710877047,352.11599421754096,38,0.5,-4.570689106340969,-173.6861860409568,0.815,-10.318672835674418,4.183630745164543,False
momo_v2_strong,ALL,15m,g_mlofi_l25_with,145,0.6137931034482759,2.581249127319282,374.28112346129586,59,0.7288135593220338,3.8086782666471555,224.71201773218218,53,0.4716981132075472,-5.986060376206065,-317.26119993892144,0.94,-11.379304228525204,0.22305851554468847,False
momo_extreme,ALL,15m,g_mlofi_no_extreme,184,0.5380434782608695,-1.5992835047055736,-294.26816486582555,35,0.8857142857142857,16.339825791369112,571.893902697919,86,0.4418604651162791,-1.7650165546214256,-151.7914236974426,0.64,-7.663102872183339,5.173420289738459,False
momo_extreme,ETH,15m,NONE,73,0.547945205479452,3.4111539046343657,249.0142350383087,19,1.0,21.657151634572628,411.4858810568799,27,0.7407407407407407,18.812135669016786,507.9276630634532,0.005,6.309639403660978,32.63615028510212,True
momo_v2_strong,ETH,15m,NONE,105,0.5142857142857142,-0.4457347402897345,-46.80214773042212,51,0.8627450980392157,10.469883668884036,533.9640671130858,51,0.5098039215686274,4.218150721064899,215.12568677430983,0.23,-3.281428254606571,12.98959411743194,False
momo_v2_anywhere,ETH,15m,NONE,386,0.41450777202072536,-2.6070612527641535,-1006.3256435669632,158,0.6455696202531646,4.970833518166046,785.3916958702353,137,0.5547445255474452,5.031642106871781,689.3349686414341,0.075,-0.7948109892639484,10.852296874198817,False
