asset,feature,n,corr,r2,sign_acc,rmse_naive,rmse_pred,rmse_reduction_pct
BTC,ofi_l1_30s_up,50985,0.02107678611751657,0.0004442309130435392,0.5228138819261886,0.0004130940942387696,0.0004130023294631217,0.02221401296404146
BTC,ofi_l1_30s_dn,50985,-0.021082451477928452,0.00044446976031920757,0.47698233172342114,0.0004130940942387696,0.0004130022801189579,0.022225957982011955
BTC,ofi_skew_l1_30s,50985,0.02107975131662418,0.0004443559155707188,0.5229361537364228,0.0004130940942387696,0.0004130023036384813,0.022220264479312767
BTC,mlofi_l5_30s_up,50985,0.028256149966208486,0.0007984100109128639,0.524219020642716,0.0004130940942387696,0.000412929152079183,0.039928471960014186
BTC,mlofi_l5_30s_dn,50985,-0.028096029848423756,0.0007893868932435186,0.47574022374829333,0.0004130940942387696,0.0004129310165177278,0.0394771368838662
BTC,mlofi_skew_l5_30s,50985,0.02817691408010083,0.0007939384870773844,0.5243616652741834,0.0004130940942387696,0.00041293007602711233,0.03970480671225888
BTC,mlofi_l25_30s_up,50985,0.03475608778910899,0.001207985638404251,0.524871110386567,0.0004130940942387696,0.00041284451297677347,0.06041753331188219
BTC,mlofi_skew_l25_30s,50985,0.03460718576090452,0.0011976573062897524,0.5250341328225298,0.0004130940942387696,0.0004128466475474134,0.05990080584719618
BTC,mlofi_l5_60s_up,51923,0.02397363614629651,0.0005747352300750145,0.5098470899047314,0.00041314200601882766,0.0004130232653223187,0.028740891698037473
BTC,mlofi_skew_l5_60s,51923,0.023891855632221598,0.0005708207655509189,0.5098270754943559,0.00041314200601882766,0.0004130240741688596,0.028545112394765843
ETH,ofi_l1_30s_up,50036,0.011950045165435961,0.0001428035794559594,0.5143148658300174,0.0005394352741674066,0.0005393967561482117,0.0071404339017912466
ETH,ofi_l1_30s_dn,50036,-0.012033600754906526,0.0001448075471284869,0.4854606672788491,0.0005394352741674066,0.0005393962156039182,0.007240639490737286
ETH,ofi_skew_l1_30s,50036,0.011991977951379053,0.00014380753518636135,0.5145801448831752,0.0005394352741674066,0.0005393964853442398,0.007190635285512347
ETH,mlofi_l5_30s_up,50036,0.017091417792563023,0.0002921165621599399,0.5150587659157688,0.0005394352741674066,0.000539356479423775,0.014606894914895014
ETH,mlofi_l5_30s_dn,50036,-0.017092318939941196,0.00029214736674467253,0.48481880509304603,0.0005394352741674066,0.0005393564711140214,0.014608435369143987
ETH,mlofi_skew_l5_30s,50036,0.017094953324003407,0.0002922374291498551,0.5150995755794973,0.0005394352741674066,0.0005393564468190526,0.014612939147442877
ETH,mlofi_l25_30s_up,50036,0.01983763059889491,0.00039353158777821165,0.5139160953313745,0.0005394352741674066,0.0005393291213127802,0.019678515608789852
ETH,mlofi_skew_l25_30s,50036,0.01975365545389249,0.0003902069037910966,0.5134875938622265,0.0005394352741674066,0.0005393300182144405,0.01951224882884321
ETH,mlofi_l5_60s_up,51683,0.011900324329403989,0.0001416177191450045,0.5067053781280243,0.0005445909003010126,0.0005445523370750713,0.007081136669745276
ETH,mlofi_skew_l5_60s,51683,0.011757686887179274,0.00013824320093694744,0.5068633840927494,0.0005445909003010126,0.0005445532560053212,0.006912398953154814
SOL,ofi_l1_30s_up,49100,0.0005166732394599855,2.6695123637407556e-07,0.5042889799244054,0.0006931786336122258,0.0006931785410897728,1.3347562724652263e-05
SOL,ofi_l1_30s_dn,49100,-0.0005262070136217162,2.76893821184685e-07,0.49579014078131367,0.0006931786336122258,0.0006931785376437788,1.384469201652066e-05
SOL,ofi_skew_l1_30s,49100,0.0005214459703493989,2.7190589999362614e-07,0.5042889799244054,0.0006931786336122258,0.0006931785393725392,1.3595295933000403e-05
SOL,mlofi_l5_30s_up,49100,0.01612905786550685,0.00026014650762886836,0.507509613209681,0.0006931786336122258,0.0006930884637471518,0.013008171444070816
SOL,mlofi_l5_30s_dn,49100,-0.016473484930823016,0.000271375705766053,0.49297654323780227,0.0006931786336122258,0.0006930845713097775,0.013569705972909457
SOL,mlofi_skew_l5_30s,49100,0.016303772739898123,0.00026581300555424516,0.5070119882379552,0.0006931786336122258,0.0006930864995412171,0.013291533602031877
SOL,mlofi_l25_30s_up,49100,0.021667862027791078,0.0004694962448553905,0.5047272233782684,0.0006931786336122258,0.0006930158921256065,0.023477568223816886
SOL,mlofi_skew_l25_30s,49100,0.022084934745695717,0.000487744342721638,0.5045915136162128,0.0006931786336122258,0.0006930095660157505,0.02439019154329871
SOL,mlofi_l5_60s_up,51460,0.018124634394830298,0.00032850237194626545,0.49990288957465634,0.0006949186809740949,0.0006948045303811348,0.016426467741540114
SOL,mlofi_skew_l5_60s,51460,0.01828274666891679,0.00033425882575978795,0.4997302488184898,0.0006949186809740949,0.0006948025299160041,0.016714338133493607
ALL,ofi_l1_30s_up,150121,0.01016209870251429,0.00010326825003964261,0.5141326735039611,0.0005586602766280755,0.0005586314299487527,0.005163545813013155
ALL,ofi_l1_30s_dn,150121,-0.010173700545642319,0.00010350418279240281,0.4857442112218645,0.0005586602766280755,0.0005586313640422172,0.005175343060498743
ALL,ofi_skew_l1_30s,150121,0.010167966108561115,0.00010338753478484747,0.5142662327163835,0.0005586602766280755,0.0005586313966272067,0.005169510358431696
ALL,mlofi_l5_30s_up,150121,0.015090300796160337,0.0002277171781185973,0.5158724023304355,0.0005586602766280755,0.0005585966647356288,0.01138650716865198
ALL,mlofi_l5_30s_dn,150121,-0.015056754400216928,0.00022670585306845182,0.48422236278023756,0.0005586602766280755,0.0005585969472612932,0.011335935170561202
ALL,mlofi_skew_l5_30s,150121,0.015074091458979439,0.00022722823331367686,0.5157810402625606,0.0005586602766280755,0.0005585968013281852,0.011362057147395946
ALL,mlofi_l25_30s_up,150121,0.019282526208999617,0.00037181581700075714,0.5148390996043375,0.0005586602766280755,0.0005585564076085515,0.01859251925891451
ALL,mlofi_skew_l25_30s,150121,0.019255016942346215,0.00037075567745003976,0.5147055723050326,0.0005586602766280755,0.0005585567037924684,0.01853950243826308
ALL,mlofi_l5_60s_up,155066,0.012842168399431744,0.00016492128919936327,0.5056283773667088,0.0005623725393946333,0.0005623261638803735,0.008246404475895006
ALL,mlofi_skew_l5_60s,155066,0.012807467629490579,0.00016403122708044904,0.5056215715899656,0.0005623725393946333,0.0005623264141742051,0.00820189770964561
