slug,fav_side,fire_us,maker_bid,taker_ask,won,cl_basis_bps,outcome_cl,total_sell_usd,first_fill_us,fill_usd_opt,filled_opt,fill_shares_opt,fill_usd_cons,filled_cons,fill_shares_cons,maker_pnl_opt,maker_pnl_cons,taker_pnl,price_improvement,spread_pnl_opt,basis_q
btc-updown-5m-1778188500,Up,1778188620000000,0.5199999809265137,0.5299999713897705,True,1.3762627250320678,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,21.726417589713993,0.009999990463256836,0.0,0
btc-updown-5m-1778188800,Up,1778188920000000,0.5099999904632568,0.5199999809265137,False,2.136065902757337,Down,826.1168,1778188922406000.0,25.0,True,49.01960875977925,25.0,True,49.01960875977925,-25.01,-25.01,-25.0,0.009999990463256836,0.48019562011037376,0
btc-updown-5m-1778189100,Up,1778189220000000,0.7599999904632568,0.7900000214576721,True,1.3539527544125796,Up,0.0,,0.0,False,0.0,0.0,False,0.0,0.0,0.0,6.512657385494387,0.030000030994415283,0.0,0
btc-updown-5m-1778189400,Up,1778189520000000,0.30000001192092896,0.3400000035762787,False,1.626684359261225,Down,529.329435,1778189522603000.0,25.0,True,83.33333002196431,25.0,True,83.33333002196431,-25.01,-25.01,-25.000000000000004,0.03999999165534973,3.323332505491078,0
btc-updown-5m-1778189700,Up,1778189820000000,0.3400000035762787,0.3499999940395355,False,1.2744729443481193,Down,501.681235,1778189821242000.0,25.0,True,73.52941099128923,25.0,True,73.52941099128923,-25.010000000000005,-25.010000000000005,-25.0,0.009999990463256836,0.7252934086817846,0
btc-updown-5m-1778190000,Up,1778190120000000,0.33000001311302185,0.3400000035762787,False,0.3763432157874699,Down,318.141482,1778190120253000.0,25.0,True,75.75757274724029,25.0,True,75.75757274724029,-25.010000000000005,-25.010000000000005,-25.000000000000004,0.009999990463256836,0.7475750049918889,0
btc-updown-5m-1778190300,Up,1778190420000000,0.8799999952316284,0.8899999856948853,True,1.5355473236639596,Up,872.483802,1778190539108000.0,25.0,True,28.409091063028526,25.0,True,28.409091063028526,3.399091063028526,3.399091063028526,3.0280903301039226,0.009999990463256836,0.27409063970008024,0
btc-updown-5m-1778190600,Up,1778190720000000,0.25999999046325684,0.27000001072883606,False,0.7203717139147453,Down,310.21039,1778190743524000.0,25.0,True,96.15384968074834,25.0,True,96.15384968074834,-25.01,-25.01,-25.0,0.010000020265579224,0.9515404454209417,0
btc-updown-5m-1778190900,Up,1778191020000000,0.4399999976158142,0.44999998807907104,False,1.1711690220010442,Down,341.372,1778191024052000.0,25.0,True,56.81818212605705,25.0,True,56.81818212605705,-25.01,-25.01,-25.0,0.009999990463256836,0.5581812794001605,0
btc-updown-5m-1778191200,Up,1778191320000000,0.5199999809265137,0.5299999713897705,False,1.6784475245644024,Down,984.1741000000001,1778191321775000.0,25.0,True,48.07692484037417,25.0,True,48.07692484037417,-25.01,-25.01,-25.000000000000004,0.009999990463256836,0.4707687899064574,0
