label,path,rows,size_mb,tmin,tmax,nan_pct_classic_ta,nan_pct_ema_basic,nan_pct_madrid,nan_pct_qr,nan_pct_sms,nan_pct_tr,nan_pct_rf,nan_pct_regime,nan_pct_markov,nan_pct_drz,nan_pct_hl_extra
BTC/5m/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_BTC_5m.parquet,905161,348.3473119735718,2017-08-17 04:00:00+00:00,2026-03-31 23:55:00+00:00,0.003284197256319343,0.018654929107323765,0.0038114766323339164,0.0,11.660301316561362,0.038096947358251115,4.4191033418364244e-05,0.001436208586096838,0.224932360099474,0.6553161997331598,56.31148176165029
BTC/15m/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_BTC_15m.parquet,301726,126.9822769165039,2017-08-17 04:00:00+00:00,2026-03-31 23:45:00+00:00,0.006628530521068784,0.055963736256452165,0.011434215148843652,0.0,11.672635106023346,0.046378331290961916,3.314265260534392e-05,0.00430854483869471,0.22934715602897993,0.5903811184098597,56.31211288198091
BTC/1h/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_BTC_1h.parquet,75445,36.61294460296631,2017-08-17 04:00:00+00:00,2026-03-31 23:00:00+00:00,0.025906891835714155,0.2238148888026282,0.04572867651931871,0.0,11.66685996421234,0.08363281091331219,0.00013254688846179335,0.017231095500033138,0.2491881503081715,0.6176685002319571,56.315385853459944
BTC/4h/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_BTC_4h.parquet,18876,9.542657852172852,2017-08-17 04:00:00+00:00,2026-03-31 20:00:00+00:00,0.09343273806083724,0.8945599854690763,0.18277177368086459,0.0,11.687791375291376,0.23258754930309183,0.0005297732570459843,0.06887052341597796,0.32845941936851025,0.5306562124743943,56.328519964883604
ETH/5m/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_ETH_5m.parquet,905161,340.6688804626465,2017-08-17 04:00:00+00:00,2026-03-31 23:55:00+00:00,0.0049815346762519695,0.018654929107323765,0.0038114766323339164,0.0,11.655868403521584,0.038096947358251115,1.1047758354591061e-05,0.001436208586096838,0.224932360099474,0.5759012300942411,56.31140284909062
ETH/15m/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_ETH_15m.parquet,301726,124.97339057922363,2017-08-17 04:00:00+00:00,2026-03-31 23:45:00+00:00,0.006869567994562195,0.055963736256452165,0.011434215148843652,0.0,11.674602951021788,0.046378331290961916,3.314265260534392e-05,0.00430854483869471,0.22934715602897993,0.500177865568982,56.31211288198091
ETH/1h/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_ETH_1h.parquet,75445,35.83093452453613,2017-08-17 04:00:00+00:00,2026-03-31 23:00:00+00:00,0.023737942751793903,0.2238148888026282,0.04572867651931871,0.0,11.681025912916695,0.08363281091331219,0.00013254688846179335,0.017231095500033138,0.2491881503081715,0.485563434731703,56.315385853459944
ETH/4h/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_ETH_4h.parquet,18876,9.412111282348633,2017-08-17 04:00:00+00:00,2026-03-31 20:00:00+00:00,0.09584079832013716,0.8945599854690763,0.18277177368086459,0.0,11.695737974147065,0.23258754930309183,0.0005297732570459843,0.06887052341597796,0.32845941936851025,0.29843893480257117,56.328519964883604
SOL/5m/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_SOL_5m.parquet,592637,217.39228534698486,2020-08-11 06:00:00+00:00,2026-03-31 23:55:00+00:00,0.005614352001769594,0.0284925076998471,0.005821438755933227,0.0,11.611323626435745,0.05126349715135964,1.6873735524444135e-05,0.002193585618177738,0.34354925527768265,0.5210328301022942,55.87293980728748
SOL/15m/binance,C:\Users\alexandre bandarra\Desktop\global\strategy_lab\hl_research_2026_05_26\panels\hl_panel_SOL_15m.parquet,197547,83.8505802154541,2020-08-11 06:00:00+00:00,2026-03-31 23:45:00+00:00,0.011366685120272875,0.08547694617338804,0.01746419839329375,0.0,11.664407710570142,0.06391292427428867,5.062086490809782e-05,0.006580712438052716,0.35029638516403694,0.46917104958988665,55.87400900617502
