slot_start_us,signal,reason,rsi_14,ret_2m,f7,entry_phase,mode,thr
,UP,order_placed,71.58473018377836,0.0011820093662905913,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,35.17354683016856,-0.00018236431239334716,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,30.493858052201844,0.00045560133311368814,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,73.34350216672871,-0.00019706399130291053,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,51.47873341450341,0.0,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,54.15805710506412,0.00016271245359543725,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,61.53584100116177,-0.0003543715279817388,pass,t_plus_120,paper,0.0009689672101888648
,UP,order_placed,68.64493769222825,0.00108106715936483,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,46.15038986403052,-0.00007630825300587061,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,35.61304106727823,-0.000288102863692051,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,38.2968174001462,0.0002538052802678353,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,43.811610053044895,0.00019440070338917686,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,50.78298928718537,-0.0002703959320461438,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,45.62851565784444,0.0010666559084883261,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,41.8556452602056,-0.0003100108474308513,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,44.36792916356678,-0.0007252718458621001,pass,t_plus_120,paper,0.0009689672101888648
,NONE,no_signal,72.19663345569536,0.00009548548953334418,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,75.3164436462628,0.0004031887831204764,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,44.644418770509525,0.00037181258517540863,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,66.09184594109131,0.0004121493975466704,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,33.94107320726093,-0.00017172951256049364,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,47.954563219632064,-0.0007431062562562804,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,42.935231175336625,-0.00007566413793133817,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,55.56470377150403,0.00016765907984107666,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,25.79666652950553,0.0002116876147770125,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,72.83076115712296,-0.00023582866797274552,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,67.59323948445753,0.00003827434808877309,pass,t_plus_120,paper,0.0009713532465514065
,NONE,no_signal,39.52001414438889,0.000037634051783742576,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,49.047892165728946,0.0006795130743858502,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,35.27563883783071,0.0006946223564169482,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,30.312862534468067,-0.00015492371191299465,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,44.439796565418625,-0.0004982777026337472,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,25.501810759257125,-0.000022734715641039368,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,51.81937951368723,0.00014209151569243827,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,64.933486504754,0.00020174247695411147,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,32.03760345237134,-0.0001002485312096103,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,69.55069673181225,-0.00006610569654392775,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,32.79396116919773,-0.00004287745603454621,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,36.92438533363321,0.0006871472698710595,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,49.14292044587261,0.0001801352236176048,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,53.59339699177075,-0.0002443534520591394,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,82.93330564363505,-0.0005329161000995599,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,48.272914727684814,-0.00009214585165821157,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,82.1619406845592,0.0003247104693538348,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,56.45688841747324,-0.0004917182155507167,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,37.017736372565366,0.00008956015199781016,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,60.17986275342625,-0.0001631705407267177,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,18.236711160871025,-0.00014112246284007845,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,56.16971853779004,0.000010813299330804751,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,74.89679103968932,0.00029932251128747496,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,35.57007128540748,0.0003869870119437432,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,63.60760713598857,-0.00017272810009244904,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,31.0895913837593,-0.0005310653372389543,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,76.1388050535227,-0.00046011660028284237,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,56.15017131300203,0.00048509241379873856,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,43.44394604191312,0.0003378281472207136,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,40.74477034772053,0.0005106107513548756,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,21.809136823333432,0.00010920693649470328,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,25.765159775204182,-0.0001238511489251176,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,33.289102666199895,-0.0003915431326536327,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,58.844684102849186,-0.00005616618278824696,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,50.77392654714,0.0006552060989869959,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,20.657785960602496,0.00021376093528715698,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,32.28094706370557,-0.000350877243970607,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,33.23925791350341,-0.00038084642565232893,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,46.11900684482958,0.00020263300286834247,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,47.04626462483211,-0.000008358462647034278,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,47.29731306455674,0.00006066272001361223,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,60.042580533007744,-0.00045726019980078645,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,70.95248256723187,-0.0002467194083483649,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,25.534495297302527,-0.000026984362563519807,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,53.95606399151475,-0.00004989966796168928,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,44.918846259211094,-0.00031015487764892417,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,73.57402046284948,-0.0005117542181973135,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,57.653107448236405,-0.0002798622664330131,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,77.01166046190133,0.00036016859626116665,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,45.61408532019336,-0.00027122046807251973,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,13.987176142036319,0.00014396690489339243,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,77.12268575299318,0.00014560868500638045,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,49.91711122775519,0.00025922262251367606,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,45.20591248516916,0.0002150319198401144,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,40.20503945901879,0.001225207045176543,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,64.78816202751787,0.0007069448419703095,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,70.38968993536432,0.0007860418178769658,pass,t_plus_120,paper,0.0009740147068551513
,NONE,no_signal,50.73802800605027,-0.00014685989632884613,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,63.585948532488665,-0.000024335206108919357,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,37.44420410674045,0.00024333801407639194,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,90.37494297249218,0.00016077884120122842,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,27.763314147996894,0.00027693261271181154,pass,t_plus_120,paper,0.0009748006610209726
,NONE,no_signal,47.9526906290615,-0.0001522367289489326,pass,t_plus_120,paper,0.0009748006610209726
