at_s,signal,outcome,won,entry_price,entry_qty,pnl_usd,hedged,condition_id,price_source
1779473746.524288,DOWN,Up,false,0.51,1.96,-0.9996,false,0x5eb6e558c145a3048689cf671e07b5445e05fa1dd7ca8acce4fe02a04f8fce01,onchain_oracle
1779435042.759563,DOWN,Up,false,0.49,2.04,-0.9996,false,0xc4f7356bdf71044186b381cff11ef8eabec3d04f01dbf47b44356bb8087274d3,onchain_oracle
1779385536.559311,UP,Down,false,0.47,2.12,-1.033366,false,0x7ea78c4432034779c81a675537197d82b70885591106dd5f557c227b48a4d391,onchain_oracle
1779384623.449841,UP,Up,true,0.51,1.96,0.906906,false,0xcf29b53ae9af963f19447b5a5121c6c24743629dbd7f70dad14d35b96f000845,onchain_oracle
1779374744.293780,DOWN,Down,true,0.5,2,0.945000,false,0x991c3a3f837c2fe1587437f27fb5b19015632b1dff40f3068fbf1560a1ade320,onchain_oracle
1779361234.528831,DOWN,Down,true,0.48,2.08,1.023626,false,0x5519209a61f814a539cc609631c6a5b211f26098cceb59c961e243c6b62d3965,onchain_oracle
1779326140.359398,UP,Up,true,0.47,2.12,1.064162,false,0x4f277405b44ec0bd08282132b0c7cf3d523b859fd752507d3bb4160827af11c7,onchain_oracle
1780265786.381609,UP,Up,true,0.47,2.04,1.04562852,false,0xa464dc1a746a8a46a5326eae6f6aceb8a3386df99e1fe65d8055a2b8e9608e3d,onchain_oracle
1780270229.888394,UP,Down,false,0.47,2.04,-0.9588,false,0xcfb8afa381e9bb855fa56671f5a423dd22fb2a7010f3178990b76e99adef502a,onchain_oracle
1780328745.063093,DOWN,Up,false,0.47,2.08,-0.9776,false,0xf6714df318643dc27e7bedcf4d8bb88d8a0b2184746e02df0b501fe6ec328f92,onchain_oracle
1780324225.599040,UP,Down,false,0.51,1.85,-0.9435,false,0x791e1c1c288a7226e62aeb861b8f9f23586ee14cecc7d37ae6d1e59bee936d8d,onchain_oracle
1780365627.498830,DOWN,Down,true,0.5,2,0.9650,false,0xd9dbb375e9d9442a62481cad510e4c916d233d4e7cef2ebe1a00687d217688f3,onchain_oracle
1780304425.308004,DOWN,Up,false,0.48,2.08,-0.9984,false,0xc1e5e9510bcb501276d8eb3267bb4cfbb546a24ad3133c1211a835b5525ad284,onchain_oracle
1780317039.710391,DOWN,Up,false,0.47,2.12,-0.9964,false,0x424799c9e087c8b166f8e219ce6f9483880c3ba98d84edb7f685e13f9b1c8cdb,onchain_oracle
1780341346.434818,DOWN,Down,true,0.5,2,0.9650,false,0x438ab5991ec83774295ac120ca0000aa95f82d211b897a1b900094a3b8df38fa,onchain_oracle
1780344938.457709,DOWN,Down,true,0.5,2,0.9650,false,0x44cf7e25af025993aa216fd9be1ea2ab46c2b2cedaaa2bdaad2ad646248fafa5,onchain_oracle
1780366528.112748,DOWN,Down,true,0.48,2.08,1.04525824,false,0xf30205797247f15c4bcca4a4846371dfeba40866227eae567592d937ad36447e,onchain_oracle
1780368329.475340,DOWN,Down,true,0.48,2.08,1.04525824,false,0xbdafa08190c47baa9126ce65ace6c319199c3a55fb43c25a1b203caf11b77829,onchain_oracle
1780379139.298285,DOWN,Down,true,0.5,2,0.9650,false,0xb044fecd86f19bbeed273c0245b569fecefef26904c82346dfb31bf264c32ca4,onchain_oracle
1780385443.052316,DOWN,Down,true,0.48,2.08,1.04525824,false,0x5d8ed3ab229cc8b35a47ab6b8200d49565d9833611a9293fb925c84cf0c4bf55,onchain_oracle
1780392639.287498,DOWN,Down,true,0.47,2.08,1.06613104,false,0x452b502b72b3f2f3782e23d73cab475764d457c9342d90a62e5fde9b5bf61099,onchain_oracle
1780410616.931722,DOWN,Down,true,0.5,2,0.9650,false,0x524c4286253c8d17913aa6292f9dfa4d32ebdd4603621267aebde710d7ecbf27,onchain_oracle
1780413335.641298,UP,Down,false,0.5,2,-1.0,false,0xffbea5a5b5100c7fadab1128653af06acd30de37845be2d2c847a4dd31318405,onchain_oracle
1780414227.716653,DOWN,Down,true,0.51,1.96,0.92611372,false,0xe8865168ff0246e43cb36f9efe94a444e7562e915bed0f6e6fbe61097ac54a46,onchain_oracle
1780415126.416531,DOWN,Down,true,0.51,1.96,0.92611372,false,0x40e2cf0e3b2bd8f6f7d01878ed8d8eaf7f0f09fd1d685cafe5d677650e1d3563,onchain_oracle
1780416953.461471,UP,Up,true,0.5,2,0.9650,false,0xc2c167acee9ae6b73d19f0eb434a7a0faf9180b9b99d572c48497bae55402431,onchain_oracle
1780425047.964765,UP,Down,false,0.51,1.96,-0.9996,false,0xc3ce8450a3e7fa65db6cf6790e0f3557f7cc18df40d26ea4eb2521862fd40137,onchain_oracle
1780429539.416727,DOWN,Down,true,0.5,2,0.9650,false,0xd19fee95574d293017145376ebb9d8e995b3d9d85de73ff1fcc67c348add7864,onchain_oracle
1780430423.608879,DOWN,Up,false,0.48,2.08,-0.9984,false,0x52f99da6fc941efeee52dceab79617fb071ce9d34579012765ea035eb9a08c9d,onchain_oracle
1780439442.879727,DOWN,Up,false,0.5,2,-1.0,false,0xc66ab9e0bac6f848b735a462707063f34b5a3c13afbb5825a3d9e01bd945d72e,onchain_oracle
1780442118.429028,DOWN,Up,false,0.5,2,-1.0,false,0x35ff131348f908d3f593c607d9df6a72eec3c54c8a20f3e4c9d324f7d0e08357,onchain_oracle
1780443029.453152,DOWN,Down,true,0.48,2.08,1.04525824,false,0xc3dae34fea6af274ebe53d41ec2499583464221b78c4c733e7020bbadd54b3c1,onchain_oracle
1780444825.718791,DOWN,Up,false,0.5,2,-1.0,false,0x40cef9de18161d2ad3b83128dfc79bbe77143d723f503338d584a8ec5dddcec1,onchain_oracle
1780450228.015309,DOWN,Up,false,0.51,1.96,-0.9996,false,0xa43a5efa496544eb7c76a2a55870feb82c167f6fe41432a2514ee8ca29093a7c,onchain_oracle
1780461949.175256,UP,Down,false,0.51,1.96,-0.9996,false,0x53fa6818bf4748a9a92483fe48d0190ac4c4f7c04543c0acdb923e7b1c2ae6e7,onchain_oracle
1780466441.162696,DOWN,Up,false,0.51,1.96,-0.9996,false,0x2471f2d7a55eb950e18674a7c30856669621bb8104b0b54dd41ed958b26ea128,onchain_oracle
1780465581.520757,UP,Down,false,0.48,2.08,-0.9984,false,0xfb96a41e4f86495fca12122d593eeb92bd7db913d5ed6085a294be57ca2b428a,onchain_oracle
1780471885.572797,DOWN,Up,false,0.5,2,-1.0,false,0xe3a0a3e7e00365cba1d7a5328e9391e4e49092634bcc2028fbf8409bd149b29f,onchain_oracle
1780472752.202417,UP,Up,true,0.51,1.96,0.92611372,false,0xdaaca27e649d3f890d89aa13a67a7cc7c8961eeb73a40e381eac8b076a6c98f0,onchain_oracle
1780493435.426456,UP,Down,false,0.5,1.96,-0.980,false,0x6fcf369cc439b478304242c2e9d315b1cb0ae2c46638fb6461d6884fce9330df,onchain_oracle
1780489867.048238,DOWN,Up,false,0.5,2,-1.0,false,0x1475deb4f4607b2592fa99363559805fd1512ee4cd44864eccdc6703ba6d3e05,onchain_oracle
