at_s,signal,outcome,won,entry_price,entry_qty,pnl_usd,hedged,condition_id,price_source
1779552034.494280,DOWN,Up,false,0.5223934363488494474477347749,48.0769,-25.11505700000000000000000000,false,0x006e47522ab964be971b01d04f1bcfbc03947eef1b2fbb763c4087431ca45137,onchain_oracle
1779921944.463623,UP,Up,true,0.54,46.2962,20.49125367,false,0x0203ad9d973cfb22019165855079a6662b8cab502b791072c7ef3432493f358d,onchain_oracle
1779525945.255839,UP,Down,false,0.54,46.2962,-24.999948,false,0x07e8b84f11c8c726b612b8d2feb2a14b35d772f96e27a186dddc1c0cd4465d76,onchain_oracle
1779838256.936795,UP,Up,true,0.51,49.0196,23.16210414,false,0x1d7578405328c52c733bca934252502fc46c50cd4a967c6fb636f486b2e7319f,onchain_oracle
1779858112.863014,DOWN,Up,false,0.47,53.1914,-24.999958,false,0x211badedecb052d03b9cea5d184eaa12675968c3ac4755cf764445a46ab66094,onchain_oracle
1779502543.287994,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x217eac1ad3b239a341573428700cee109489bd0f0a9ffb67540d607b8527b02c,onchain_oracle
1779543918.544305,UP,Down,false,0.48,52.0833,-24.999984,false,0x2f4539c632555f994fea56f61e44a232a2bc4fdd089427c984424e6fde367b7c,onchain_oracle
1779927338.347485,UP,Down,false,0.5105507184881149580983932957,49.0196,-25.02699200000000000000000000,false,0x31ce0b5df1946718cc52abcf5e13fbe1c94924ff3591788491e8aa2658e6b5e7,onchain_oracle
1779897632.785969,UP,Up,true,0.5,50.0000,24.12500000,false,0x3690963175fee0c72699ec9ae00eba066f00ce60a21c462193a5cbcc2b61782b,onchain_oracle
1780259417.908170,UP,Down,false,0.5,50.0000,-25.00000,false,0x38d1d84923827d0a9f1c905981095e1d9ae6b61241e1f6e1b4f67117e3edb7c3,onchain_oracle
1779920140.197042,DOWN,Down,true,0.46,54.3478,28.40281245,false,0x416cc0959c4b141b0c241c6b6891b4537e7fca00444296595095dc62e7afee8d,onchain_oracle
1780043444.222044,UP,Up,true,0.51,49.0196,23.1621041372,false,0x44e8a8912cabda33b27ae5d76df740239a311f50393cd1260739dc2f157f787d,onchain_oracle
1779992116.628958,UP,Up,true,0.49,51.0204,25.12790414,false,0x49403b56d0977a31480ce0f55501961510d58bd30bddc3cc7adf0dcdac150b5f,onchain_oracle
1779326125.967605,UP,Up,true,0.47,53.1914,27.26394356,false,0x4f277405b44ec0bd08282132b0c7cf3d523b859fd752507d3bb4160827af11c7,onchain_oracle
1779523252.428796,DOWN,Down,true,0.4607999955839978803189825531,54.3478,28.35909341,false,0x52a919a3ecc69e3d9bcbeedaad79bb6496fa776ea9089bfd156030948f9507fb,onchain_oracle
1779543030.415887,UP,Up,true,0.48,52.0833,26.17331658,false,0x54909036049465a182e7d2b1ce06c4936f5ffd5f0742331afdc27466dd9b67ca,onchain_oracle
1779361294.288858,DOWN,Down,true,0.48,52.0833,26.17331658,false,0x5519209a61f814a539cc609631c6a5b211f26098cceb59c961e243c6b62d3965,onchain_oracle
1779626749.724014,DOWN,Up,false,0.5,50.0000,-25.00000,false,0x5652d8e78feae0b77c45b321fb3bede70b17f0437a9f2f916baa76c8cf9c7025,onchain_oracle
1779892247.900386,UP,Down,false,0.51,49.0196,-24.999996,false,0x5db0f63a1c21539e4fb6aabfcd5d0bd5b3465047d8e8d875e4a26215bea9d207,onchain_oracle
1779473735.958906,DOWN,Up,false,0.5115156386425021828003492481,49.0196,-25.07429200000000000000000000,false,0x5eb6e558c145a3048689cf671e07b5445e05fa1dd7ca8acce4fe02a04f8fce01,onchain_oracle
1779708643.011343,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x6499bbb1bded99c9d30626adab3a27ce97e729c42a995271ff11a9e0331901e1,onchain_oracle
1779818427.880292,DOWN,Down,true,0.48,52.0833,26.17331658,false,0x659e96df616a9ac716bfc587b200a15a02291adfaec5cd2025de5ece3d00535d,onchain_oracle
1779985859.412468,DOWN,Up,false,0.5,50.0000,-25.00000,false,0x664e28e7c59fd6f669d7d2e02d52b37dba831837bbf82899c643a5c2410efc33,onchain_oracle
1780014636.156157,UP,Up,true,0.51,49.0196,23.1621041372,false,0x66a9f9be0290d751b77432e0fec0172643cce05fdc1879cd707ddec9a07d6072,onchain_oracle
1779976860.666852,DOWN,Up,false,0.48,52.0833,-24.999984,false,0x793876892d63fa753e677b4126dddb7b37d2cf70e8a4fe70669d2046fc288b7a,onchain_oracle
1779477346.005278,DOWN,Down,true,0.47,53.1914,27.26394356,false,0x7b622c7626d66918e5f2640a8cfff02d6fbccf48dfa74393df5d8f342bd9b359,onchain_oracle
1779385555.000705,UP,Down,false,0.47,53.1914,-24.99995800,false,0x7ea78c4432034779c81a675537197d82b70885591106dd5f557c227b48a4d391,onchain_oracle
1779810374.612949,DOWN,Down,true,0.5,50.0000,24.12500000,false,0x821820a34e717180c18c4195b0b3cbe678e519464739e39b237b7b674eafa687,onchain_oracle
