at_s,signal,reason,rsi_14,ret_2m,f7,thr,edge_pp,cost_bps,mode
1780264026,UP,order_placed,71.58473018377836,0.0011820093662905913,pass,0.0009689672101888648,3.0,400.0,paper
1780263128,NONE,no_signal,35.17354683016856,-0.00018236431239334716,pass,0.0009689672101888648,3.0,400.0,paper
1780262226,NONE,no_signal,30.493858052201844,0.00045560133311368814,pass,0.0009689672101888648,3.0,400.0,paper
1780261330,NONE,no_signal,73.34350216672871,-0.00019706399130291053,pass,0.0009689672101888648,3.0,400.0,paper
1780260422,NONE,no_signal,51.47873341450341,0.0,pass,0.0009689672101888648,3.0,400.0,paper
1780259532,NONE,no_signal,54.15805710506412,0.00016271245359543725,pass,0.0009689672101888648,3.0,400.0,paper
1780258632,NONE,no_signal,61.53584100116177,-0.0003543715279817388,pass,0.0009689672101888648,3.0,400.0,paper
1780257730,UP,order_placed,68.64493769222825,0.00108106715936483,pass,0.0009689672101888648,3.0,400.0,paper
1780256826,NONE,no_signal,46.15038986403052,-0.00007630825300587061,pass,0.0009689672101888648,3.0,400.0,paper
1780255930,NONE,no_signal,35.61304106727823,-0.000288102863692051,pass,0.0009689672101888648,3.0,400.0,paper
1780255031,NONE,no_signal,38.2968174001462,0.0002538052802678353,pass,0.0009689672101888648,3.0,400.0,paper
1780254129,NONE,no_signal,43.811610053044895,0.00019440070338917686,pass,0.0009689672101888648,3.0,400.0,paper
1780253229,NONE,no_signal,50.78298928718537,-0.0002703959320461438,pass,0.0009689672101888648,3.0,400.0,paper
1780252325,NONE,no_signal,45.62851565784444,0.0010666559084883261,pass,0.0009689672101888648,3.0,400.0,paper
1780251424,NONE,no_signal,41.8556452602056,-0.0003100108474308513,pass,0.0009689672101888648,3.0,400.0,paper
1780250531,NONE,no_signal,44.36792916356678,-0.0007252718458621001,pass,0.0009689672101888648,3.0,400.0,paper
1780249631,NONE,no_signal,72.19663345569536,0.00009548548953334418,pass,0.0009713532465514065,3.0,400.0,paper
1780248728,NONE,no_signal,75.3164436462628,0.0004031887831204764,pass,0.0009713532465514065,3.0,400.0,paper
1780247832,NONE,no_signal,44.644418770509525,0.00037181258517540863,pass,0.0009713532465514065,3.0,400.0,paper
1780246928,NONE,no_signal,66.09184594109131,0.0004121493975466704,pass,0.0009713532465514065,3.0,400.0,paper
1780246028,NONE,no_signal,33.94107320726093,-0.00017172951256049364,pass,0.0009713532465514065,3.0,400.0,paper
1780245132,NONE,no_signal,47.954563219632064,-0.0007431062562562804,pass,0.0009713532465514065,3.0,400.0,paper
1780244227,NONE,no_signal,42.935231175336625,-0.00007566413793133817,pass,0.0009713532465514065,3.0,400.0,paper
1780243330,NONE,no_signal,55.56470377150403,0.00016765907984107666,pass,0.0009713532465514065,3.0,400.0,paper
1780242430,NONE,no_signal,25.79666652950553,0.0002116876147770125,pass,0.0009713532465514065,3.0,400.0,paper
1780241528,NONE,no_signal,72.83076115712296,-0.00023582866797274552,pass,0.0009713532465514065,3.0,400.0,paper
1780240626,NONE,no_signal,67.59323948445753,0.00003827434808877309,pass,0.0009713532465514065,3.0,400.0,paper
1780239724,NONE,no_signal,39.52001414438889,0.000037634051783742576,pass,0.0009740147068551513,3.0,400.0,paper
1780238826,NONE,no_signal,49.047892165728946,0.0006795130743858502,pass,0.0009740147068551513,3.0,400.0,paper
1780237927,NONE,no_signal,35.27563883783071,0.0006946223564169482,pass,0.0009740147068551513,3.0,400.0,paper
1780237028,NONE,no_signal,30.312862534468067,-0.00015492371191299465,pass,0.0009748006610209726,3.0,400.0,paper
1780236133,NONE,no_signal,44.439796565418625,-0.0004982777026337472,pass,0.0009740147068551513,3.0,400.0,paper
1780235224,NONE,no_signal,25.501810759257125,-0.000022734715641039368,pass,0.0009740147068551513,3.0,400.0,paper
1780234326,NONE,no_signal,51.81937951368723,0.00014209151569243827,pass,0.0009740147068551513,3.0,400.0,paper
1780233423,NONE,no_signal,64.933486504754,0.00020174247695411147,pass,0.0009740147068551513,3.0,400.0,paper
1780232531,NONE,no_signal,32.03760345237134,-0.0001002485312096103,pass,0.0009740147068551513,3.0,400.0,paper
1780231621,NONE,no_signal,69.55069673181225,-0.00006610569654392775,pass,0.0009740147068551513,3.0,400.0,paper
1780230724,NONE,no_signal,32.79396116919773,-0.00004287745603454621,pass,0.0009740147068551513,3.0,400.0,paper
1780229825,NONE,no_signal,36.92438533363321,0.0006871472698710595,pass,0.0009740147068551513,3.0,400.0,paper
1780228924,NONE,no_signal,49.14292044587261,0.0001801352236176048,pass,0.0009740147068551513,3.0,400.0,paper
1780228029,NONE,no_signal,53.59339699177075,-0.0002443534520591394,pass,0.0009740147068551513,3.0,400.0,paper
1780227129,NONE,no_signal,82.93330564363505,-0.0005329161000995599,pass,0.0009740147068551513,3.0,400.0,paper
1780226233,NONE,no_signal,48.272914727684814,-0.00009214585165821157,pass,0.0009740147068551513,3.0,400.0,paper
1780225327,NONE,no_signal,82.1619406845592,0.0003247104693538348,pass,0.0009740147068551513,3.0,400.0,paper
1780224430,NONE,no_signal,56.45688841747324,-0.0004917182155507167,pass,0.0009740147068551513,3.0,400.0,paper
1780223527,NONE,no_signal,37.017736372565366,0.00008956015199781016,pass,0.0009740147068551513,3.0,400.0,paper
1780222626,NONE,no_signal,60.17986275342625,-0.0001631705407267177,pass,0.0009740147068551513,3.0,400.0,paper
1780221730,NONE,no_signal,18.236711160871025,-0.00014112246284007845,pass,0.0009740147068551513,3.0,400.0,paper
1780220830,NONE,no_signal,56.16971853779004,0.000010813299330804751,pass,0.0009740147068551513,3.0,400.0,paper
