filter,n,wr,avg,sum
NO_FILTER,516,48.84,-1.479,-763.06
F7_only,310,48.39,-1.312,-406.85
MARKOV:w20_1m_voladaptive,293,48.46,-1.468,-430.21
F7+MARKOV:w20_1m_voladaptive,225,48.89,-1.158,-260.47
MARKOV:w20_5m_voladaptive,171,47.37,-1.879,-321.34
F7+MARKOV:w20_5m_voladaptive,136,45.59,-2.655,-361.07
MARKOV:w20_1m_fixed,158,46.84,-1.833,-289.59
F7+MARKOV:w20_1m_fixed,153,47.06,-1.694,-259.25
MARKOV:w20_5m_fixed,118,39.83,-5.485,-647.18
F7+MARKOV:w20_5m_fixed,98,39.8,-5.366,-525.84
