sleeve_id,n_full,n_train,n_held,pnl_train,pnl_held,win_train,win_held,perm_p_train,perm_p_held,ppt_train,ppt_held,verdict,pnl_full
poly_mint_sell_btc_5m,7899,5969,1930,1467.1928051,456.546635,0.5977550678505612,0.5735751295336787,0.0,0.0,0.24580211176076394,0.23655266062176164,KEEP_RIGOROUS,1923.7394401
poly_mint_sell_eth_5m,7353,5533,1820,1189.83194955,424.70914500000003,0.5035243086932948,0.5483516483516484,0.0,0.0,0.2150428247876378,0.2333566730769231,KEEP_RIGOROUS,1614.54109455
poly_mint_sell_btc_15m,7938,6031,1907,1000.27205355,366.13520655,0.4122036146576024,0.46303093864708966,0.0,0.0,0.1658550909550655,0.19199538885684322,KEEP_RIGOROUS,1366.4072601
poly_mint_sell_eth_15m,7052,5284,1768,707.3044558,238.39959765,0.3094246782740348,0.3184389140271493,0.0,0.0,0.1338577698334595,0.1348414013857466,KEEP_RIGOROUS,945.7040534500001
poly_mint_sell_sol_5m,4079,3144,935,590.4048481499999,181.135335,0.40458015267175573,0.40641711229946526,0.0,0.0,0.18778780157442745,0.1937276310160428,KEEP_RIGOROUS,771.5401831499998
poly_updown_eth_15m_momo_v2_HOLD,88,46,42,214.20307046,476.87494616000004,0.6086956521739131,0.7380952380952381,0.0815,0.0025,4.656588488260869,11.354165384761906,KEEP_BOTH_POSITIVE,691.07801662
poly_updown_eth_15m_momo_v2_SELL,92,48,44,198.03323470000004,453.888011104,0.5833333333333334,0.7272727272727273,0.1185,0.0015,4.125692389583334,10.315636615999999,KEEP_BOTH_POSITIVE,651.921245804
poly_updown_btc_15m_momo_v2_HOLD,95,68,27,173.67055546,464.98576640000005,0.5588235294117647,0.8518518518518519,0.199,0.0,2.553978756764706,17.221695051851853,KEEP_BOTH_POSITIVE,638.65632186
poly_updown_btc_15m_momo_HOLD,68,47,21,522.08002342,16.65685560000001,0.723404255319149,0.5238095238095238,0.0015,0.497,11.10808560468085,0.7931836000000005,KEEP_RIGOROUS,538.73687902
poly_updown_eth_15m_momo_v2_HEDGE,92,48,44,132.17333537999997,402.77009016,0.625,0.75,0.206,0.0055,2.753611153749999,9.153865685454546,KEEP_BOTH_POSITIVE,534.9434255399999
poly_updown_btc_15m_momo_v2_SELL,98,69,29,170.51938552000001,336.97516664,0.463768115942029,0.5862068965517241,0.1575,0.002,2.4712954423188407,11.619833332413792,KEEP_BOTH_POSITIVE,507.49455216
poly_updown_btc_15m_sniper,401,271,130,243.15831246,248.33083312000008,0.47232472324723246,0.5538461538461539,0.2175,0.17,0.897263145608856,1.9102371778461544,KEEP_BOTH_POSITIVE,491.48914558000007
poly_updown_sol_5m_momo_SELL,326,261,65,375.193225366045,53.60706310000001,0.5287356321839081,0.5230769230769231,0.1625,0.4,1.4375219362683715,0.8247240476923079,KEEP_BOTH_POSITIVE,428.800288466045
poly_mint_sell_sol_15m,4330,3276,1054,327.8654523,97.57769565000001,0.20665445665445664,0.1869070208728653,0.0,0.0,0.1000810293956044,0.09257845887096774,KEEP_RIGOROUS,425.44314795
poly_updown_btc_15m_momo_v2_HEDGE,107,76,31,87.81524688000002,328.87313024,0.5526315789473685,0.8709677419354839,0.304,0.0005,1.1554637747368424,10.608810652903227,KEEP_BOTH_POSITIVE,416.68837712000004
poly_updown_btc_15m_momo_SELL,70,49,21,399.4221906199999,16.65685560000001,0.6530612244897959,0.5238095238095238,0.006,0.497,8.151473277959182,0.7931836000000005,KEEP_RIGOROUS,416.07904621999995
poly_updown_btc_15m_momo_HEDGE,72,51,21,362.00684837999995,16.65685560000001,0.7450980392156863,0.5238095238095238,0.007,0.497,7.098173497647058,0.7931836000000005,KEEP_RIGOROUS,378.66370398
poly_updown_sol_5m_momo_HEDGE,332,264,68,223.85205358,41.58657918000002,0.5303030303030303,0.5147058823529411,0.2755,0.411,0.8479244453787879,0.6115673408823533,KEEP_BOTH_POSITIVE,265.43863276
poly_updown_sol_5m_momo_HOLD,326,260,66,189.49376919999997,49.98759806,0.5307692307692308,0.5303030303030303,0.3095,0.4195,0.7288221892307691,0.7573878493939394,KEEP_BOTH_POSITIVE,239.48136725999998
poly_updown_sol_5m_v3_1,207,171,36,-68.19254312000004,128.22823555999997,0.5321637426900585,0.5277777777777778,0.6095,0.1765,-0.39878680187134524,3.5618954322222214,NULL,60.035692439999934
