sleeve,direction,kill_gate,n_on,WR_on,dpt_on,sum_on,n_off,WR_off,dpt_off,sum_off,dpt_diff
s15_5m|150-240|g_tr_above_ema800,UP,g_hl_liq_cascade_with,270,0.9222,0.432,116.6,4358,0.7494,2.405,10480.6,1.973
s15_5m|150-240|g_tr_above_ema800,DOWN,g_hl_liq_cascade_with,388,0.9046,-0.065,-25.2,4333,0.7572,0.996,4314.3,1.061
s15_5m|60-150|g_tr_above_ema50&g_ribbon_agrees,UP,g_hl_liq_cascade_with,269,0.855,1.589,427.4,3568,0.7108,0.99,3533.3,-0.598
s15_5m|60-150|g_tr_above_ema50&g_ribbon_agrees,DOWN,g_hl_liq_cascade_with,321,0.8442,2.753,883.6,3522,0.7124,1.551,5462.5,-1.202
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,UP,g_book_slope_steep_against,392,0.6633,0.938,367.9,3080,0.7565,0.588,1811.8,-0.35
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,UP,g_hl_liq_cascade_with,291,0.8041,0.528,153.7,3181,0.7406,0.637,2026.0,0.109
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,g_book_slope_steep_against,384,0.6849,2.287,878.3,3396,0.7453,1.074,3648.4,-1.213
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,g_hl_liq_cascade_with,323,0.8266,2.559,826.4,3457,0.731,1.07,3700.3,-1.488
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,UP,g_hl_liq_cascade_with,670,0.9179,3.878,2598.1,2813,0.6779,1.137,3197.9,-2.741
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,DOWN,g_hl_liq_cascade_with,451,0.8182,7.094,3199.5,2954,0.6784,3.627,10715.6,-3.467
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,g_book_slope_steep_against,849,0.7138,-0.256,-217.7,2236,0.7487,1.006,2249.7,1.263
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,g_hl_liq_cascade_with,185,0.7892,-2.232,-412.9,2900,0.7359,0.843,2444.9,3.075
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,DOWN,g_book_slope_steep_against,865,0.7538,0.657,567.9,2215,0.7494,0.878,1945.2,0.222
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,DOWN,g_hl_liq_cascade_with,198,0.8636,0.282,55.8,2882,0.7429,0.853,2457.3,0.571
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,g_book_slope_steep_against,399,0.7794,-0.558,-222.8,2153,0.8616,1.051,2262.4,1.609
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,g_hl_liq_cascade_with,148,0.9324,0.125,18.5,2404,0.8436,0.841,2021.0,0.716
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,g_book_slope_steep_against,415,0.8169,1.686,699.7,2476,0.853,1.251,3097.2,-0.435
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,g_hl_liq_cascade_with,186,0.9032,-1.309,-243.6,2705,0.844,1.494,4040.5,2.803
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,UP,g_book_slope_steep_against,308,0.7045,2.795,860.8,2212,0.8712,1.258,2782.6,-1.537
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,UP,g_hl_liq_cascade_with,213,0.8732,8.87,1889.4,2307,0.8487,0.76,1754.0,-8.11
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,DOWN,g_book_slope_steep_against,339,0.708,4.217,1429.4,2196,0.852,0.108,236.4,-4.109
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,DOWN,g_hl_liq_cascade_with,268,0.8284,-0.501,-134.2,2267,0.8333,0.794,1800.1,1.295
