sleeve,feature,up_rule,dn_rule,up_sum_lock,dn_sum_lock,asym
s15_5m|150-240|g_tr_above_ema800,L_stat,<=5.0,>=1.0,9971.3,969.3,True
s15_5m|150-240|g_tr_above_ema800,dn_micro_dev_bps,<=-20.0,>=-15.0,-409.6,1386.8,True
s15_5m|150-240|g_tr_above_ema800,up_micro_dev_bps,>=5.0,<=20.0,631.9,1376.7,True
s15_5m|150-240|g_tr_above_ema800,vpin_zscore,<=0.5,<=0.5,1569.0,1241.8,False
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,L_stat,<=0.5,>=0.5,2197.9,623.4,True
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,dn_micro_dev_bps,>=20.0,>=-15.0,-230.1,352.8,True
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,mp_skew_change_500ms,>=-0.2,<=0.05,2074.2,3586.1,True
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,mp_weighted_skew,<=-0.1,>=-0.4,1075.4,1314.8,True
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,up_micro_dev_bps,<=10.0,<=15.0,-213.7,286.4,False
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,vpin_zscore,>=-0.5,>=-1.5,18.1,575.1,False
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,L_stat,<=6.0,<=5.5,1313.1,86.2,False
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,L_stat,<=3.0,>=0.5,1272.0,-54.3,True
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,up_micro_dev_bps,>=-20.0,<=15.0,12.0,665.7,True
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,L_stat,>=0.5,<=4.0,-494.2,1984.8,True
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,mp_skew_change_500ms,>=-0.2,<=0.05,2197.3,2129.5,True
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,vpin_zscore,>=0.5,<=1.0,-503.9,654.4,True
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,L_stat,>=0.5,>=0.0,1114.0,4186.5,True
