sleeve,direction,feature,op,threshold,n_train,sum_train,n_lock,WR_lock,dpt_lock,sum_lock
s15_5m|150-240|g_tr_above_ema800,UP,mp_skew,>=,-0.4,793,127.3,1519,0.6991,5.068,7698.0
s15_5m|150-240|g_tr_above_ema800,UP,mp_imbalance,>=,-0.5,793,127.3,1521,0.6982,5.028,7648.0
s15_5m|150-240|g_tr_above_ema800,UP,mp_weighted_skew,>=,0.4,201,150.5,854,0.4766,12.772,10907.4
s15_5m|150-240|g_tr_above_ema800,UP,up_micro_dev_bps,>=,5.0,741,126.1,227,0.7181,2.784,631.9
s15_5m|150-240|g_tr_above_ema800,UP,dn_micro_dev_bps,<=,-20.0,767,242.6,212,0.7358,-1.932,-409.6
s15_5m|150-240|g_tr_above_ema800,UP,L_stat,<=,5.0,1595,41.6,2987,0.6883,3.338,9971.3
s15_5m|150-240|g_tr_above_ema800,UP,vpin_zscore,<=,0.5,1420,215.1,385,0.6909,4.075,1569.0
s15_5m|150-240|g_tr_above_ema800,UP,mp_skew_change_500ms,>=,-0.2,1556,13.5,2879,0.6909,3.56,10249.8
s15_5m|150-240|g_tr_above_ema800,DOWN,up_micro_dev_bps,<=,20.0,850,106.6,296,0.7297,4.651,1376.7
s15_5m|150-240|g_tr_above_ema800,DOWN,dn_micro_dev_bps,>=,-15.0,988,160.4,310,0.7677,4.473,1386.8
s15_5m|150-240|g_tr_above_ema800,DOWN,L_stat,>=,1.0,461,59.1,201,0.801,4.822,969.3
s15_5m|150-240|g_tr_above_ema800,DOWN,vpin_zscore,<=,0.5,1410,337.3,426,0.7418,2.915,1241.8
s15_5m|150-240|g_tr_above_ema800,DOWN,as_skew,<=,-0.0,1667,24.2,368,0.8614,3.33,1225.3
s15_5m|60-150|g_tr_above_ema50&g_ribbon_agrees,UP,L_stat,>=,0.5,521,5.7,248,0.7177,3.254,806.9
s15_5m|60-150|g_tr_above_ema50&g_ribbon_agrees,UP,vpin_zscore,>=,-1.0,761,226.5,442,0.6471,-0.747,-330.4
s15_5m|60-150|g_tr_above_ema50&g_ribbon_agrees,UP,mp_skew_change_500ms,<=,0.05,1047,12.9,2631,0.699,1.349,3548.8
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,UP,up_micro_dev_bps,>=,-20.0,996,26.2,251,0.7331,0.048,12.0
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,UP,L_stat,<=,3.0,1301,165.2,2052,0.7261,0.62,1272.0
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,UP,mp_skew_change_500ms,>=,-0.05,1258,66.6,1890,0.7201,0.412,779.3
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,mp_skew,<=,0.4,821,170.0,1368,0.742,2.165,2961.1
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,mp_imbalance,<=,-0.5,819,156.1,1367,0.7418,2.147,2934.6
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,up_micro_dev_bps,<=,15.0,862,479.1,221,0.7692,3.012,665.7
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,dn_micro_dev_bps,>=,-5.0,859,231.0,218,0.7798,3.053,665.5
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_b,DOWN,L_stat,>=,0.5,731,270.2,233,0.721,-0.233,-54.3
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,UP,L_stat,>=,0.5,1259,528.5,266,0.782,4.188,1114.0
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,UP,as_skew,>=,-0.0,1371,189.7,436,0.7018,1.413,616.1
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,DOWN,up_micro_dev_bps,>=,-20.0,603,643.3,188,0.8085,7.279,1368.5
s6_5m|60-150|g_cci_with&g_tr_above_ema50&g_rf_with,DOWN,L_stat,>=,0.0,1218,900.0,2151,0.6774,1.946,4186.5
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,mp_skew,>=,-0.4,512,235.6,1025,0.7024,0.926,949.7
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,mp_imbalance,>=,-0.5,512,235.6,1024,0.7021,0.915,937.0
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,mp_weighted_skew,>=,0.1,206,591.4,675,0.6044,1.765,1191.3
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,up_micro_dev_bps,>=,-20.0,635,376.6,233,0.7082,-0.627,-146.2
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,dn_micro_dev_bps,<=,20.0,553,384.2,214,0.7009,-0.733,-156.8
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,L_stat,>=,0.5,636,569.9,354,0.6864,-1.396,-494.2
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,vpin_zscore,>=,0.5,359,517.1,230,0.6739,-2.191,-503.9
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,UP,mp_skew_change_500ms,>=,-0.2,978,77.6,1898,0.7165,1.158,2197.3
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,DOWN,L_stat,<=,4.0,1005,64.1,2045,0.7203,0.971,1984.8
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,DOWN,vpin_zscore,<=,1.0,763,83.9,195,0.7897,3.356,654.4
s15_5m|60-150|g_tr_above_cloud&g_ribbon_agrees&g_t,DOWN,mp_skew_change_500ms,<=,0.05,950,139.4,1949,0.7245,1.093,2129.5
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,mp_skew,<=,-0.4,585,140.0,858,0.803,0.285,244.3
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,mp_imbalance,<=,-0.5,585,140.0,859,0.8033,0.293,252.0
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,mp_weighted_skew,<=,-0.1,910,35.9,1196,0.8763,0.899,1075.4
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,up_micro_dev_bps,<=,10.0,656,219.6,145,0.8,-1.474,-213.7
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,dn_micro_dev_bps,>=,20.0,570,144.5,119,0.8151,-1.934,-230.1
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,L_stat,<=,0.5,406,305.6,1328,0.8065,1.655,2197.9
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,vpin_zscore,>=,-0.5,615,114.6,248,0.8347,0.073,18.1
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,as_skew,>=,-0.0,970,23.5,239,0.8536,0.612,146.2
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,UP,mp_skew_change_500ms,>=,-0.2,909,14.3,1479,0.8093,1.402,2074.2
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,mp_weighted_skew,>=,-0.4,788,20.5,1660,0.8657,0.792,1314.8
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,up_micro_dev_bps,<=,15.0,337,16.7,174,0.7701,1.646,286.4
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,dn_micro_dev_bps,>=,-15.0,407,3.3,191,0.8063,1.847,352.8
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,L_stat,>=,0.5,504,68.0,386,0.8238,1.615,623.4
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,vpin_zscore,>=,-1.5,673,157.9,339,0.823,1.696,575.1
s15_5m|150-240|g_tr_above_ema800&g_tr_above_cloud&,DOWN,mp_skew_change_500ms,<=,0.05,788,5.5,1926,0.8157,1.862,3586.1
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,UP,L_stat,<=,6.0,1595,23.8,899,0.8409,1.461,1313.1
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,DOWN,L_stat,<=,5.5,1516,25.5,992,0.8105,0.087,86.2
s15_5m|150-240|g_tr_stack_with&g_tr_above_ema200&g,DOWN,mp_skew_change_500ms,>=,-0.2,1329,70.7,890,0.8101,0.327,291.2
