label,n,wr,pnl_per,sum_pnl
pmA,233764,50.673328656251606,-0.9899386165240592,-231412.0107531302
pmA_strong,171894,53.3654461470441,-1.069862237269484,-183902.89941320068
pmB,233764,20.144675826902343,-4.559062129868934,-1065744.5997266816
pmB_strong,171894,15.112220321826243,-5.767693142549932,-991431.8450454781
pmC,15952,27.181544633901705,-3.656718712012736,-58331.97689402717
pmD,15952,48.88415245737212,-1.4819912989256192,-23640.72520046148
pmE,15722,50.750540643684005,-0.870121962860235,-13680.057500088615
pmF,90389,15.026164688181085,-5.730292427867711,-517955.4022625346
pmG,3847,46.06186638939433,-1.6692569732263545,-6421.631576001786
