asset,tf,fire_offset_s,n,wr,pnl_per,sum_pnl,rule
ETH,15m,120,1230,40.08130081300813,0.40685767900122083,500.4349451715016,dir_f2_fade_strong
BTC,15m,120,1275,43.05882352941177,-0.1436897847765957,-183.20447559015952,dir_f2_fade_strong
BTC,15m,60,1214,42.174629324546956,-1.049666264313029,-1274.2948448760171,dir_f2_fade_strong
SOL,15m,60,1030,32.42718446601941,-1.3236482965303908,-1363.3577454263025,dir_f2_fade_strong
ETH,15m,60,1285,38.054474708171206,-1.0864452536353626,-1396.0821509214409,dir_f2_fade_strong
ETH,15m,360,1264,34.177215189873415,-1.2636350969362848,-1597.234762527464,dir_f2_fade_strong
ETH,15m,240,1233,35.60421735604217,-1.530361853892872,-1886.9361658499113,dir_f2_fade_strong
SOL,15m,120,1004,29.08366533864542,-2.215294832764141,-2224.1560120951976,dir_f2_fade_strong
BTC,5m,30,2282,37.11656441717792,-1.2139000906753838,-2770.120006921226,dir_f2_fade_strong
BTC,15m,240,1272,36.87106918238994,-2.204248227431163,-2803.803745292439,dir_f2_fade_strong
SOL,15m,240,1058,24.291115311909262,-2.6576205180221155,-2811.7625080673984,dir_f2_fade_strong
BTC,15m,360,1388,33.069164265129686,-2.079818084901458,-2886.7875018432233,dir_f2_fade_strong
ETH,5m,60,3583,34.94278537538376,-0.870835110670603,-3120.2022015327707,dir_f2_fade_strong
SOL,15m,480,847,23.140495867768596,-3.9553584349665356,-3350.1885944166556,dir_f2_fade_strong
ETH,15m,720,1153,22.20294882914137,-2.960149974853999,-3413.052921006661,dir_f2_fade_strong
SOL,15m,720,969,18.059855521155832,-3.7908914806791922,-3673.3738447781375,dir_f2_fade_strong
SOL,5m,30,3962,24.962140333165067,-1.0054972659899768,-3983.7801678522883,dir_f2_fade_strong
ETH,5m,30,3271,34.42372363191685,-1.4484651067829715,-4737.9293642871,dir_f2_fade_strong
SOL,15m,360,990,24.04040404040404,-4.867677230664417,-4819.000458357773,dir_f2_fade_strong
BTC,15m,480,1443,28.482328482328484,-3.8530713630156015,-5559.981976831513,dir_f2_fade_strong
ETH,15m,840,989,12.740141557128412,-5.86464328407128,-5800.132207946496,dir_f2_fade_strong
BTC,15m,600,1547,21.46089204912734,-3.8680394110003826,-5983.856968817592,dir_f2_fade_strong
ETH,15m,480,1226,27.569331158238175,-5.038914904041838,-6177.709672355293,dir_f2_fade_strong
SOL,5m,90,4113,22.830051057622175,-1.521845594627143,-6259.350930701439,dir_f2_fade_strong
ETH,15m,600,1218,24.055829228243024,-5.718253190880721,-6964.832386492718,dir_f2_fade_strong
BTC,5m,60,2573,32.102603964244075,-2.7771232209285466,-7145.53804744915,dir_f2_fade_strong
BTC,15m,720,1417,18.136908962597037,-5.175273893211871,-7333.363106681222,dir_f2_fade_strong
SOL,5m,60,3998,24.012006003001503,-1.8544062952244855,-7413.916368307493,dir_f2_fade_strong
SOL,15m,600,1015,18.029556650246306,-7.704459384758465,-7820.026275529842,dir_f2_fade_strong
ETH,5m,90,3676,30.848748639825896,-2.2106753983299052,-8126.442764260732,dir_f2_fade_strong
BTC,5m,90,2951,26.29617078956286,-3.0947796698541827,-9132.694805739693,dir_f2_fade_strong
BTC,5m,120,3319,24.133775233504068,-2.9048813942709124,-9641.301347585159,dir_f2_fade_strong
BTC,15m,840,1265,10.276679841897234,-8.345414299563949,-10556.949088948395,dir_f2_fade_strong
ETH,5m,120,3857,28.078817733990146,-2.8628016667669707,-11041.826028720207,dir_f2_fade_strong
SOL,5m,120,4029,19.731943410275502,-2.974459019284231,-11984.095388696167,dir_f2_fade_strong
SOL,15m,840,1077,10.584958217270195,-11.441168121967106,-12322.138067358574,dir_f2_fade_strong
ETH,5m,150,3944,23.427991886409735,-3.8127822295188034,-15037.61311322216,dir_f2_fade_strong
SOL,5m,150,4176,17.097701149425287,-3.9135817468144696,-16343.117374697225,dir_f2_fade_strong
BTC,5m,150,3654,19.950738916256157,-4.706879801474171,-17198.938794586622,dir_f2_fade_strong
BTC,5m,180,3963,15.569013373706788,-5.020047044808979,-19894.446438577983,dir_f2_fade_strong
SOL,5m,180,4274,13.87459054749649,-5.0199147921933935,-21455.115821834563,dir_f2_fade_strong
ETH,5m,180,4256,19.47838345864662,-5.518487539355537,-23486.682967497163,dir_f2_fade_strong
BTC,5m,210,4290,12.750582750582751,-5.837758804554107,-25043.98527153712,dir_f2_fade_strong
ETH,5m,300,3377,2.428190701806337,-7.4589254500274205,-25188.7912447426,dir_f2_fade_strong
BTC,5m,240,4596,9.725848563968668,-6.04012350870826,-27760.407646023163,dir_f2_fade_strong
SOL,5m,300,3184,1.507537688442211,-9.232351288404423,-29395.806502279684,dir_f2_fade_strong
SOL,5m,210,4412,10.743427017225748,-6.83640980000379,-30162.24003761672,dir_f2_fade_strong
ETH,5m,210,4211,15.744478746141057,-7.272796531634739,-30625.746194713887,dir_f2_fade_strong
SOL,5m,240,4410,8.526077097505668,-8.037940382054867,-35447.31708486196,dir_f2_fade_strong
ETH,5m,240,4314,11.497450162262401,-8.298175844910919,-35798.330594945706,dir_f2_fade_strong
BTC,5m,270,4925,5.319796954314721,-7.508695778103521,-36980.32670715984,dir_f2_fade_strong
BTC,5m,300,4781,1.924283622673081,-8.20259605077808,-39216.61171877,dir_f2_fade_strong
ETH,5m,270,4014,6.726457399103139,-10.276990392590843,-41251.83943585964,dir_f2_fade_strong
SOL,5m,270,4158,4.016354016354017,-9.969103986164614,-41451.53437447247,dir_f2_fade_strong
