asset,tf,fire_offset_s,n,wr,pnl_per,sum_pnl,rule
ETH,15m,120,1586,40.5422446406053,0.2347837233451445,372.36698522539916,dir_f2_fade
SOL,15m,60,1247,34.40256615878107,-0.7806892276643619,-973.5194668974592,dir_f2_fade
BTC,15m,60,2069,43.83760270662156,-0.574096002050924,-1187.8046282433618,dir_f2_fade
ETH,15m,240,1566,36.71775223499362,-1.1689880567133026,-1830.635296813032,dir_f2_fade
BTC,15m,120,2072,43.19498069498069,-0.9827419564667821,-2036.2413337991725,dir_f2_fade
ETH,15m,60,1805,38.337950138504155,-1.2850938548794157,-2319.5944080573454,dir_f2_fade
ETH,15m,360,1577,34.74952441344325,-1.7114191772865264,-2698.908042580852,dir_f2_fade
SOL,15m,120,1138,29.173989455184536,-2.471412001168682,-2812.46685732996,dir_f2_fade
SOL,15m,240,1167,25.19280205655527,-2.4297312234299384,-2835.496337742738,dir_f2_fade
BTC,15m,240,2038,39.74484789008832,-1.786669538359343,-3641.2325191763407,dir_f2_fade
SOL,15m,480,925,24.0,-4.040848526075921,-3737.7848866202266,dir_f2_fade
BTC,15m,360,2057,36.315021876519204,-1.9122773342135468,-3933.554476477266,dir_f2_fade
ETH,15m,720,1397,24.123120973514673,-2.9577957664568886,-4132.040685740273,dir_f2_fade
SOL,15m,720,1069,18.24134705332086,-4.027595045612657,-4305.49910375993,dir_f2_fade
BTC,5m,30,6172,40.278677900194424,-0.7722893898420393,-4766.570114105067,dir_f2_fade
ETH,5m,60,6177,37.02444552371701,-0.7763039667887872,-4795.229602854339,dir_f2_fade
SOL,15m,360,1103,24.750679963735266,-4.778650563807023,-5270.851571879147,dir_f2_fade
ETH,15m,840,1173,15.004262574595057,-4.99117596607951,-5854.649408211265,dir_f2_fade
SOL,5m,30,5632,25.85227272727273,-1.0945948064063875,-6164.757949680775,dir_f2_fade
BTC,15m,480,2017,31.779871095686662,-3.064500664284945,-6181.097839862734,dir_f2_fade
ETH,15m,480,1485,29.09090909090909,-4.592931231609484,-6820.502878940083,dir_f2_fade
BTC,15m,600,2003,25.162256615077382,-3.4745037640465943,-6959.431039385328,dir_f2_fade
ETH,15m,600,1499,26.951300867244832,-4.8723147962494044,-7303.599879577857,dir_f2_fade
SOL,5m,90,5286,23.628452516080213,-1.5438630017363386,-8160.859827178286,dir_f2_fade
SOL,15m,600,1121,18.28724353256021,-7.4164431044488675,-8313.83272008718,dir_f2_fade
BTC,15m,720,1791,22.278056951423785,-4.716191781150479,-8446.699480040508,dir_f2_fade
ETH,5m,30,6226,36.476068101509796,-1.4155504674504669,-8813.217210346607,dir_f2_fade
ETH,5m,90,6139,33.80029320736276,-1.5451526625151624,-9485.692195180582,dir_f2_fade
SOL,5m,60,5303,25.155572317556103,-1.801993757655262,-9555.972896845855,dir_f2_fade
BTC,5m,60,6180,38.12297734627832,-1.585355727731427,-9797.49839738022,dir_f2_fade
BTC,15m,840,1476,13.88888888888889,-7.1298053865493625,-10523.592750546859,dir_f2_fade
SOL,15m,840,1177,12.234494477485132,-10.712478069490443,-12608.586687790252,dir_f2_fade
SOL,5m,120,5047,21.24034079651278,-2.5770466118077633,-13006.354249793781,dir_f2_fade
BTC,5m,90,6173,33.192936983638425,-2.1227120204028487,-13103.501301946784,dir_f2_fade
ETH,5m,120,6104,32.15923984272608,-2.290164634000156,-13979.164925936951,dir_f2_fade
BTC,5m,120,6181,31.17618508331985,-2.3158613379668345,-14314.338929973004,dir_f2_fade
SOL,5m,150,5239,18.686772284787175,-3.5660209944409944,-18682.38398987637,dir_f2_fade
BTC,5m,150,6147,27.70457133561087,-3.040077915024997,-18687.358943658655,dir_f2_fade
ETH,5m,150,6086,27.63720013144923,-3.1070989499485884,-18909.804209387108,dir_f2_fade
ETH,5m,300,3719,3.119118042484539,-5.944491901108048,-22107.56538022083,dir_f2_fade
SOL,5m,180,5111,15.319898258657796,-4.549790198041527,-23253.977702190245,dir_f2_fade
BTC,5m,180,6155,22.664500406173843,-3.780220313926526,-23267.256032217767,dir_f2_fade
SOL,5m,300,3491,2.062446290461186,-7.0561076407611765,-24632.871773897266,dir_f2_fade
ETH,5m,180,6038,23.567406425968866,-4.460704932746609,-26933.736383924024,dir_f2_fade
BTC,5m,210,6155,19.528838342810722,-4.522646510835134,-27836.88927419025,dir_f2_fade
BTC,5m,240,6118,15.740438051650866,-4.828227873874013,-29539.09813236121,dir_f2_fade
SOL,5m,210,5298,12.17440543601359,-5.992915763810421,-31750.467716667612,dir_f2_fade
ETH,5m,210,5887,19.670460336334298,-5.969432400756625,-35142.04854325425,dir_f2_fade
SOL,5m,240,5162,9.821774506005426,-7.184998179852623,-37088.96060439924,dir_f2_fade
ETH,5m,240,5643,16.250221513379408,-6.844868148786296,-38625.59096360107,dir_f2_fade
BTC,5m,300,5249,2.571918460659173,-7.372034358781981,-38695.80834924662,dir_f2_fade
BTC,5m,270,5968,9.500670241286862,-6.748495475610194,-40275.020998441636,dir_f2_fade
ETH,5m,270,4946,10.473109583501818,-8.660813396025391,-42836.383056741586,dir_f2_fade
SOL,5m,270,4775,5.214659685863874,-9.026470332658542,-43101.395838444536,dir_f2_fade
