combo,IS_n,OOS_n,IS_pnl,OOS_pnl,IS_per,OOS_per,IS_wr,OOS_wr
pmA_strong_BTC_5m_120,3372,465,1389.3490865246354,-9.051380324638615,0.41202523325167123,-0.01946533403148089,72.9240806642942,71.3978494623656
pmA_strong_ETH_5m_210,4331,631,1331.971179014838,-188.29766608380697,0.3075435647690691,-0.2984115151882836,69.03717386284922,69.73058637083994
pmA_strong_BTC_15m_480,1374,192,805.2699768383258,-340.3164989640838,0.586077130158898,-1.7724817654379363,76.05531295487627,71.35416666666666
pmA_strong_ETH_5m_180,4063,622,736.28839950097,-124.15617675165265,0.1812179176719099,-0.19960800120844477,66.62564607432931,71.06109324758843
BTC_5m_90_V7_Down_g_flow_strong_with,279,53,696.4909160754394,199.12824532195282,2.4963832117399263,3.757136704187789,70.96774193548387,69.81132075471697
BTC_5m_60_V7_Down_g_flow_against,159,20,693.9586246085879,-22.272324688841973,4.364519651626339,-1.1136162344420986,75.47169811320755,60.0
BTC_5m_90_V7_Down_g_flow_with_and_no_whale,139,22,604.5441463278137,247.58638629908728,4.3492384627900265,11.253926649958514,74.10071942446042,86.36363636363636
BTC_5m_90_V7_Down_g_flow_with,139,22,604.5441463278137,247.58638629908728,4.3492384627900265,11.253926649958514,74.10071942446042,86.36363636363636
pmA_strong_BTC_15m_240,1202,164,468.0544003236602,191.3398246616311,0.38939633970354426,1.166706247936775,64.47587354409318,66.46341463414635
BTC_5m_150_V7_Down_g_flow_with_and_no_whale,112,29,409.58228533036873,308.5501506124087,3.656984690449721,10.639660365945128,72.32142857142857,68.96551724137932
BTC_5m_150_V7_Down_g_flow_with,112,29,409.58228533036873,308.5501506124087,3.656984690449721,10.639660365945128,72.32142857142857,68.96551724137932
SOL_5m_120_V7_Up_g_flow_against,44,10,197.42904485004698,45.80381700904243,4.4870237465919764,4.580381700904243,79.54545454545455,60.0
