asset,tf,fire_offset_s,n,wr,pnl_per,sum_pnl,rule
BTC,5m,120,3837,72.73911910346625,0.35973356950742685,1380.2977061999968,pmA_strong
BTC,15m,240,2100,60.952380952380956,0.56118570839624,1178.4899876321042,pmA
ETH,5m,210,4962,69.12535268037082,0.23048639922028036,1143.6735129310312,pmA_strong
ETH,15m,60,711,40.50632911392405,1.042080652650513,740.9193440345148,pmF
BTC,15m,240,1366,64.71449487554905,0.4827190519658064,659.3942249852915,pmA_strong
ETH,5m,180,101,57.42574257425742,6.326570118589322,638.9835819775215,pmG
ETH,5m,180,4685,67.2145144076841,0.1306578917287765,612.132222749318,pmA_strong
ETH,5m,180,231,56.709956709956714,2.378383288658359,549.4065396800809,pmD
ETH,5m,150,101,58.415841584158414,5.341861374090492,539.5279987831397,pmG
BTC,15m,480,1566,75.47892720306514,0.2969051582849566,464.953477874242,pmA_strong
BTC,15m,120,2105,54.774346793349174,0.20857680919827357,439.05418336236585,pmA
BTC,5m,30,1050,44.095238095238095,0.3768725651006433,395.7161933556755,pmC
ETH,15m,240,64,42.1875,4.800809531053023,307.2518099873935,pmC
ETH,15m,360,194,74.74226804123711,1.5682301786374924,304.23665465567353,pmE
SOL,5m,60,170,33.52941176470588,1.6347211971298614,277.90260351207644,pmD
ETH,5m,150,242,57.85123966942148,1.1398016100042005,275.83198962101653,pmD
BTC,15m,120,60,56.666666666666664,3.741539090012307,224.4923454007384,pmG
SOL,15m,60,236,44.91525423728814,0.8056771679059789,190.139811625811,pmE
ETH,5m,210,98,53.06122448979592,1.9114523367300087,187.32232899954084,pmG
ETH,15m,120,127,63.77952755905512,1.4515702709904166,184.3494244157829,pmE
BTC,15m,240,78,46.15384615384615,2.3454970928340964,182.9487732410595,pmC
BTC,15m,120,63,76.19047619047619,2.6381934137367113,166.20618506541282,pmE
BTC,5m,210,407,56.01965601965602,0.3884773208303433,158.11026957794974,pmE
BTC,15m,120,86,55.81395348837209,1.829276248564317,157.31775737653126,pmD
BTC,15m,600,188,77.12765957446808,0.8085065828007312,151.99923756653746,pmE
ETH,15m,480,196,72.44897959183673,0.746551571905828,146.3241080935423,pmE
ETH,5m,210,6284,64.21069382558879,0.023231077315306162,145.98408984938393,pmA
BTC,15m,720,72,62.5,1.8661441351792993,134.36237773290955,pmD
ETH,5m,120,179,70.94972067039106,0.7282311249904329,130.35337137328747,pmE
BTC,15m,480,56,64.28571428571429,2.274643499948012,127.38003599708867,pmG
ETH,5m,180,6303,61.79597017293352,0.019047597659934107,120.05700805056468,pmA
SOL,15m,840,445,41.12359550561798,0.2584873115217792,115.02685362719173,pmE
ETH,5m,30,139,48.92086330935252,0.7809971203229511,108.5585997248902,pmD
ETH,5m,210,237,55.27426160337553,0.45765774089486166,108.46488459208221,pmD
BTC,5m,90,72,90.27777777777779,1.4172758357271706,102.04386017235629,pmE
BTC,5m,240,585,44.44444444444444,0.16486173997010656,96.44411788251233,pmE
BTC,15m,60,1164,41.66666666666667,0.07475234057407973,87.0117244282288,pmB_strong
BTC,5m,150,1112,62.410071942446045,0.07725613446956223,85.90882153015319,pmD
BTC,5m,90,166,58.43373493975904,0.4730828048578395,78.53174560640136,pmG
BTC,5m,270,533,31.894934333958723,0.14636604515187068,78.01310206594708,pmE
BTC,5m,180,299,73.57859531772574,0.24924837784888648,74.52526497681706,pmE
ETH,5m,60,95,44.21052631578947,0.7791285998397323,74.01721698477456,pmG
BTC,15m,840,64,31.25,1.0907471613959827,69.8078183293429,pmC
BTC,15m,840,272,52.94117647058824,0.1992589425653145,54.19843237776555,pmE
SOL,5m,270,936,34.93589743589743,0.05694501520470624,53.30053423160504,pmE
ETH,15m,120,748,37.967914438502675,0.06357494404363308,47.554058144637544,pmF
BTC,5m,60,2473,63.606955115244645,0.018848307512128112,46.61186447749282,pmA_strong
SOL,5m,90,294,51.36054421768708,0.15728203953766287,46.24091962407289,pmE
BTC,15m,360,107,82.2429906542056,0.42450187300463543,45.42170041149599,pmE
BTC,15m,720,53,60.37735849056604,0.7755997280633232,41.10678558735613,pmG
SOL,5m,30,84,26.190476190476193,0.4680594520607134,39.316993973099926,pmD
ETH,15m,60,69,42.028985507246375,0.5614641854520003,38.74102879618802,pmC
SOL,5m,60,293,41.979522184300336,0.1287385428838694,37.720393064973734,pmE
ETH,15m,240,158,67.08860759493672,0.2278331311411733,35.99763472030538,pmE
BTC,15m,360,86,34.883720930232556,0.3944276594238906,33.92077871045459,pmC
SOL,15m,720,357,65.26610644257703,0.09433081885143037,33.67610232996064,pmE
ETH,15m,60,69,40.57971014492754,0.4669189341566185,32.21740645680668,pmD
ETH,5m,60,216,47.22222222222222,0.14322847608009212,30.937350833299895,pmD
BTC,5m,150,218,78.44036697247707,0.12777838464606428,27.855687852842014,pmE
ETH,15m,120,65,44.61538461538462,0.3948905150160387,25.667883476042515,pmD
ETH,15m,840,55,43.63636363636363,0.45944951222101155,25.269723172155636,pmC
ETH,5m,180,267,52.43445692883895,0.05129236602643913,13.695061729059248,pmE
BTC,15m,240,92,76.08695652173914,0.1291298372895082,11.879945030634754,pmE
ETH,5m,60,99,62.62626262626263,0.09937357472473358,9.837983897748625,pmE
ETH,5m,30,67,44.776119402985074,0.14206832124824662,9.518577523632523,pmG
SOL,5m,90,185,17.83783783783784,0.0436133238369074,8.068464909827869,pmC
BTC,15m,480,143,80.41958041958041,0.03103692358317489,4.43828007239401,pmE
SOL,5m,90,185,23.243243243243246,0.023260587371581383,4.303208663742556,pmD
ETH,15m,480,50,42.0,-0.011505048872066296,-0.5752524436033148,pmG
SOL,15m,240,52,26.923076923076923,-0.1086829960062355,-5.651515792324246,pmC
BTC,15m,480,2098,69.35176358436607,-0.00354295009365259,-7.433109296483134,pmA
BTC,15m,60,84,46.42857142857143,-0.0954606461542714,-8.018694276958797,pmC
ETH,15m,360,76,39.473684210526315,-0.1484771110822679,-11.28426044225236,pmC
ETH,5m,210,438,52.28310502283106,-0.04141165670730749,-18.13830563780068,pmE
BTC,5m,90,3284,68.02679658952498,-0.006715158064702071,-22.0525790844816,pmA_strong
BTC,5m,150,167,60.47904191616767,-0.15785894762538036,-26.36244425343852,pmG
BTC,15m,480,85,34.11764705882353,-0.38975137558828477,-33.1288669250042,pmC
SOL,5m,240,872,47.935779816513765,-0.039043516185578504,-34.045946113824456,pmE
SOL,5m,150,453,56.73289183222958,-0.08801819890496454,-39.87224410394894,pmE
ETH,5m,270,390,31.025641025641026,-0.10830815624055982,-42.24018093381833,pmE
