offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,gate_stack_str
600,BOTH,"['g_rf_with', 'g_imb5_with', 'g_imb5_strong_with']",3,202,0.594059405940594,2.457445154544714,78,0.5641025641025641,-2.24994589632071,11,0.9090909090909091,34.3272090473992,25.0,1,1,0.0,2643.1950966497384,g_rf_with+g_imb5_with+g_imb5_strong_with
600,BOTH,"['g_rf_strong', 'g_imb5_with', 'g_imb5_strong_with']",3,191,0.6073298429319371,2.6088577341633425,66,0.5909090909090909,-1.887321872642228,11,0.9090909090909091,34.3272090473992,25.0,1,1,0.0,2643.1950966497384,g_rf_strong+g_imb5_with+g_imb5_strong_with
600,DOWN,"['g_mp_skew_strong_with', 'g_ribbon_slope_with', 'g_imb5_with']",3,185,0.5783783783783784,2.1525490207399276,58,0.603448275862069,-2.279614021815258,10,0.9,33.94022975371824,25.0,1,1,0.0,2375.816082760277,g_mp_skew_strong_with+g_ribbon_slope_with+g_imb5_with
600,DOWN,"['g_queue_top_high', 'g_mp_skew_strong_with', 'g_ribbon_slope_with']",3,177,0.6666666666666666,2.8777504824278193,56,0.5892857142857143,-5.3276436289322735,10,0.9,33.94022975371824,25.0,1,1,0.0,2375.816082760277,g_queue_top_high+g_mp_skew_strong_with+g_ribbon_slope_with
600,DOWN,"['g_mp_skew_with', 'g_ribbon_slope_with', 'g_imb5_with']",3,185,0.5783783783783784,2.1525490207399276,58,0.603448275862069,-2.279614021815258,10,0.9,33.94022975371824,25.0,1,1,0.0,2375.816082760277,g_mp_skew_with+g_ribbon_slope_with+g_imb5_with
600,DOWN,"['g_queue_top_high', 'g_ribbon_slope_with', 'g_rf_strong']",3,170,0.6529411764705882,1.398634674412172,56,0.6428571428571429,-2.805526283844471,10,0.9,33.94022975371824,25.0,1,1,0.0,2375.816082760277,g_queue_top_high+g_ribbon_slope_with+g_rf_strong
600,DOWN,"['g_queue_top_high', 'g_mp_skew_with', 'g_ribbon_slope_with']",3,177,0.6666666666666666,2.8777504824278193,56,0.5892857142857143,-5.3276436289322735,10,0.9,33.94022975371824,25.0,1,1,0.0,2375.816082760277,g_queue_top_high+g_mp_skew_with+g_ribbon_slope_with
600,DOWN,"['g_queue_top_high', 'g_ribbon_slope_with', 'g_imb5_with']",3,153,0.6078431372549019,1.0181614160019947,51,0.6274509803921569,-3.7639492659999716,10,0.9,33.94022975371824,25.0,1,1,0.0,2375.816082760277,g_queue_top_high+g_ribbon_slope_with+g_imb5_with
600,BOTH,"['g_tr_above_ema200', 'g_tr_above_ema50', 'g_imb5_strong_with']",3,178,0.6235955056179775,1.719994584935874,76,0.5657894736842105,-1.9406749494638411,10,0.8,33.26846950162487,25.0,1,1,0.0,2328.792865113741,g_tr_above_ema200+g_tr_above_ema50+g_imb5_strong_with
600,DOWN,"['g_rf_with', 'g_hawkes_imb_loose_with', 'g_hawkes_imbalance_with']",3,149,0.5570469798657718,3.967825532267741,69,0.5217391304347826,-1.9246811106182302,10,0.9,32.21339418496488,25.0,1,1,0.0,2254.937592947542,g_rf_with+g_hawkes_imb_loose_with+g_hawkes_imbalance_with
