bucket,n_train,wr_train,vwap_median,stake_kelly_50,stake_linear,n_val,wr_val,n_lock,wr_lock
L,10,0.7,0.8149999976158142,5.0,5.0,4,0.75,6,1.0
M,49,0.6326530612244898,0.7200000286102295,5.0,15.0,15,0.6,4,1.0
H,42,0.5714285714285714,0.6150000095367432,5.0,25.0,11,0.6363636363636364,6,0.8333333333333334
