bucket,n_train,wr_train,vwap_median,stake_kelly_50,stake_linear,n_val,wr_val,n_lock,wr_lock
L,41,0.6829268292682927,0.7599999904632568,5.0,5.0,10,0.8,10,0.7
M,100,0.63,0.6204684072754307,5.0,15.0,30,0.5333333333333333,17,0.8823529411764706
H,61,0.6065573770491803,0.5571695836410979,5.0,25.0,31,0.6451612903225806,7,1.0
