bucket,n_train,wr_train,vwap_median,stake_kelly_50,stake_linear,n_val,wr_val,n_lock,wr_lock
L,66,0.6515151515151515,0.6580618272638636,5.0,5.0,16,0.75,13,0.7692307692307693
M,66,0.6666666666666666,0.6853709569990165,5.0,15.0,27,0.6296296296296297,13,0.6923076923076923
H,63,0.7619047619047619,0.6899999976158142,5.0,25.0,31,0.7096774193548387,18,0.9444444444444444
