offset,direction,gates,n_gates,train_n,train_wr,train_dpt,val_n,val_wr,val_dpt,lock_n,lock_wr,lock_dpt,lock_dd,lock_streak,lock_days,lock_sharpe,sum_25_28d,bootstrap_p,obj_score,gate_stack_str
840,UP,"['g_tr_above_ema800', 'g_rf_strong', 'g_hawkes_imb_loose_with']",3,29,0.6896551724137931,2.5481461181309406,12,0.5,-9.677787854835778,20,0.7,19.14595247900458,93.87500045634806,2,4,19.179333571099797,2680.433347060641,0.001,85.62330247406972,g_tr_above_ema800+g_rf_strong+g_hawkes_imb_loose_with
840,UP,"['g_tr_above_ema800', 'g_rf_strong', 'g_hawkes_imbalance_with']",3,25,0.72,4.421797424546648,11,0.45454545454545453,-11.03781898336532,20,0.7,19.14595247900458,93.87500045634806,2,4,19.179333571099797,2680.433347060641,0.001,85.62330247406972,g_tr_above_ema800+g_rf_strong+g_hawkes_imbalance_with
840,UP,"['g_tr_above_ema800', 'g_ribbon_slope_with', 'g_hawkes_imbalance_with']",3,27,0.6666666666666666,1.5644417173778717,4,0.5,-10.984216953716798,18,0.6666666666666666,19.67675595344612,93.87500045634806,3,3,22.411503819256883,2479.2712501342107,0.001,83.48140539860712,g_tr_above_ema800+g_ribbon_slope_with+g_hawkes_imbalance_with
840,UP,"['g_tr_above_ema800', 'g_ribbon_slope_with', 'g_hawkes_imb_strong_with']",3,21,0.6190476190476191,2.116038964413662,3,0.3333333333333333,-15.553030252744016,18,0.6666666666666666,19.67675595344612,93.87500045634806,3,3,22.411503819256883,2479.2712501342107,0.001,83.48140539860712,g_tr_above_ema800+g_ribbon_slope_with+g_hawkes_imb_strong_with
840,BOTH,"['g_tr_above_ema800', 'g_ribbon_slope_with', 'g_hawkes_imb_strong_with']",3,48,0.6458333333333334,2.018744166225274,14,0.42857142857142855,-11.526719669270777,19,0.6842105263157895,18.851051514799053,93.87500045634806,3,4,17.102209114438924,2507.189851468274,0.001,82.16982853248841,g_tr_above_ema800+g_ribbon_slope_with+g_hawkes_imb_strong_with
840,BOTH,"['g_tr_above_ema800', 'g_tr_above_ema50', 'g_hawkes_imb_strong_with']",3,55,0.6181818181818182,3.396375084378635,20,0.4,-12.166492815567219,26,0.6923076923076923,15.759620876997186,90.214081070465,2,4,24.856678419437987,2868.2509996134877,0.001,80.35861437863288,g_tr_above_ema800+g_tr_above_ema50+g_hawkes_imb_strong_with
840,BOTH,"['g_tr_above_ema800', 'g_rf_with', 'g_hawkes_imb_strong_with']",3,53,0.6037735849056604,2.934793987656844,18,0.3888888888888889,-12.832512146753775,23,0.6956521739130435,16.570198754531308,93.87500045634806,2,4,20.818746103006777,2667.8019994795404,0.001,79.4678815345384,g_tr_above_ema800+g_rf_with+g_hawkes_imb_strong_with
840,UP,"['g_tr_above_ema800', 'g_rf_with', 'g_hawkes_imb_strong_with']",3,20,0.6,9.596550800715733,10,0.4,-12.589264875642066,21,0.6666666666666666,17.18061276306218,93.87500045634806,2,4,18.765268922602957,2525.55007617014,0.001,78.73145847245684,g_tr_above_ema800+g_rf_with+g_hawkes_imb_strong_with
840,BOTH,"['g_tr_above_ema800', 'g_rf_strong', 'g_hawkes_imb_loose_with']",3,75,0.6266666666666667,1.052952451699826,21,0.47619047619047616,-9.788670983753898,25,0.72,15.582843341391937,93.87500045634806,2,4,19.84844913245066,2726.997584743589,0.001,77.91421670695969,g_tr_above_ema800+g_rf_strong+g_hawkes_imb_loose_with
840,BOTH,"['g_tr_above_ema800', 'g_rf_strong', 'g_hawkes_imbalance_with']",3,65,0.6461538461538462,2.588363837923096,19,0.42105263157894735,-11.921504142219254,25,0.72,15.582843341391937,93.87500045634806,2,4,19.84844913245066,2726.997584743589,0.001,77.91421670695969,g_tr_above_ema800+g_rf_strong+g_hawkes_imbalance_with
