bucket,n_train,wr_train,vwap_median,stake_kelly_50,stake_linear,n_val,wr_val,n_lock,wr_lock
L,15,0.4,0.6700000166893005,5.0,5.0,2,0.5,1,0.0
M,31,0.6451612903225806,0.7599999904632568,5.0,15.0,10,0.5,10,0.8
H,28,0.75,0.6399999856948853,5.0,25.0,10,0.7,10,0.6
