bucket,n_train,wr_train,vwap_median,stake_kelly_50,stake_linear,n_val,wr_val,n_lock,wr_lock
L,8,0.375,0.23241322446226503,5.0,5.0,2,1.0,6,0.5
M,12,0.5833333333333334,0.7014293526001996,5.0,15.0,9,0.6666666666666666,11,0.7272727272727273
H,17,0.8235294117647058,0.6356773836087046,6.366701704910763,25.0,7,0.5714285714285714,4,1.0
