slug,outcome,taker_side,n_trades,total_size
eth-updown-15m-1776875400,Down,buy,4,54.823633
eth-updown-15m-1776875400,Up,buy,6,158.170000
eth-updown-15m-1776876300,Down,buy,2,25.575580
eth-updown-15m-1776876300,Up,buy,5,84.064826
eth-updown-15m-1776877200,Up,buy,2,61.983155
eth-updown-15m-1776878100,Down,buy,2,9.000000
eth-updown-15m-1776878100,Down,sell,1,16.000000
eth-updown-15m-1776878100,Up,buy,1,6.000000
eth-updown-15m-1776879000,Down,buy,2,39.164963
eth-updown-15m-1776879000,Down,sell,2,24.800000
eth-updown-15m-1776879000,Up,buy,4,308.290000
eth-updown-15m-1776879900,Down,buy,3,15.000000
eth-updown-15m-1776880800,Down,buy,3,18.272726
eth-updown-15m-1776880800,Up,buy,1,10.869564
eth-updown-15m-1776881700,Down,buy,5,76.493669
eth-updown-15m-1776881700,Up,buy,3,124.545453
eth-updown-15m-1776882600,Down,buy,2,7.000000
eth-updown-15m-1776882600,Up,buy,1,200.000000
eth-updown-15m-1776883500,Down,buy,3,11.948268
eth-updown-15m-1776884400,Down,buy,1,2.000000
eth-updown-15m-1776884400,Up,buy,6,67.100234
eth-updown-15m-1776884400,Up,sell,1,20.000000
eth-updown-15m-1776885300,Down,buy,14,111.583223
eth-updown-15m-1776885300,Up,buy,6,1338.486293
eth-updown-15m-1776886200,Down,buy,3,50.992856
eth-updown-15m-1776886200,Up,buy,2,22.214443
eth-updown-15m-1776887100,Down,buy,1,8.333332
eth-updown-15m-1776887100,Up,buy,3,111.000000
eth-updown-15m-1776888000,Down,buy,7,56.354165
eth-updown-15m-1776888000,Down,sell,1,10.000000
eth-updown-15m-1776888000,Up,buy,3,78.070000
eth-updown-15m-1776888900,Down,buy,1,15.000000
eth-updown-15m-1776888900,Up,buy,2,53.346152
eth-updown-15m-1776888900,Up,sell,1,20.000000
eth-updown-15m-1776889800,Down,buy,1,57.560000
eth-updown-15m-1776889800,Up,buy,1,6.000000
eth-updown-15m-1776891600,Down,buy,2,20.505580
eth-updown-15m-1776891600,Up,buy,6,59.482408
eth-updown-15m-1776892500,Down,buy,2,9.255318
eth-updown-15m-1776892500,Up,buy,3,107.851850
eth-updown-15m-1776893400,Down,buy,1,10.000000
eth-updown-15m-1776893400,Up,sell,1,10.000000
eth-updown-15m-1776894300,Down,buy,7,306.086682
eth-updown-15m-1776894300,Up,buy,2,72.250000
eth-updown-15m-1776895200,Down,buy,4,212.592589
eth-updown-15m-1776895200,Up,buy,2,47.957445
eth-updown-15m-1776896100,Down,buy,4,89.389537
eth-updown-15m-1776897000,Down,buy,2,240.816325
eth-updown-15m-1776897000,Up,buy,11,174.903692
eth-updown-15m-1776897900,Down,buy,2,205.000000
eth-updown-15m-1776897900,Up,buy,8,418.660784
eth-updown-15m-1776898800,Down,buy,4,36.000000
eth-updown-15m-1776898800,Up,buy,2,11.013075
eth-updown-15m-1776899700,Down,buy,3,24.294080
eth-updown-15m-1776899700,Up,buy,3,14.846152
eth-updown-15m-1776900600,Down,buy,3,40.468568
eth-updown-15m-1776900600,Up,buy,5,109.423897
eth-updown-15m-1776901500,Down,buy,2,20.925580
eth-updown-15m-1776901500,Up,buy,9,164.287236
eth-updown-15m-1776902400,Down,buy,2,20.925580
eth-updown-15m-1776902400,Up,buy,10,344.611711
eth-updown-15m-1776903300,Down,buy,5,67.956826
eth-updown-15m-1776903300,Up,buy,20,795.303379
eth-updown-15m-1776904200,Down,buy,1,5.000000
eth-updown-15m-1776904200,Up,buy,1,33.610000
eth-updown-15m-1776905100,Up,buy,1,10.000000
eth-updown-15m-1776906000,Down,buy,1,2.040815
eth-updown-15m-1776906000,Up,buy,1,5.000000
eth-updown-15m-1776906900,Down,buy,2,20.452726
eth-updown-15m-1776906900,Up,buy,4,153.100000
eth-updown-15m-1776907800,Down,buy,6,192.909087
eth-updown-15m-1776907800,Up,buy,5,158.600000
eth-updown-15m-1776908700,Down,buy,1,5.000000
eth-updown-15m-1776908700,Up,buy,3,109.717704
eth-updown-15m-1776910500,Down,buy,3,40.322726
eth-updown-15m-1776910500,Up,buy,9,132.567183
eth-updown-15m-1776911400,Down,buy,2,20.505580
eth-updown-15m-1776911400,Up,buy,5,100.448273
eth-updown-15m-1776911400,Up,sell,1,9.600000
eth-updown-15m-1776912300,Up,buy,1,56.720000
eth-updown-15m-1776913200,Down,buy,4,54.305778
eth-updown-15m-1776913200,Up,buy,3,111.000000
eth-updown-15m-1776914100,Down,buy,2,38.039864
eth-updown-15m-1776914100,Up,buy,2,148.349151
eth-updown-15m-1776915900,Down,buy,2,52.380951
eth-updown-15m-1776915900,Up,buy,12,983.826179
eth-updown-15m-1776916800,Down,buy,4,234.255318
eth-updown-15m-1776916800,Up,buy,2,12.962960
eth-updown-15m-1776917700,Down,buy,1,7.692306
eth-updown-15m-1776918600,Down,buy,1,9.000000
eth-updown-15m-1776919500,Down,buy,2,9.846152
eth-updown-15m-1776920400,Down,buy,1,24.000000
eth-updown-15m-1776922200,Down,buy,2,7.960783
eth-updown-15m-1776923100,Down,buy,2,8.173912
eth-updown-15m-1776923100,Up,buy,2,10.000000
eth-updown-15m-1776924000,Down,buy,1,9.090000
eth-updown-15m-1776924900,Down,buy,3,55.117541
eth-updown-15m-1776924900,Up,buy,1,18.180000
eth-updown-15m-1776925800,Down,buy,4,48.150000
eth-updown-15m-1776925800,Up,buy,1,18.600000
eth-updown-15m-1776926700,Down,buy,4,22.760783
eth-updown-15m-1776926700,Up,buy,3,15.142854
eth-updown-15m-1776928500,Down,buy,2,7.923075
eth-updown-15m-1776928500,Down,sell,1,9.600000
eth-updown-15m-1776928500,Up,buy,2,110.000000
eth-updown-15m-1776930300,Down,buy,1,4.166665
eth-updown-15m-1776930300,Up,buy,1,10.000000
eth-updown-15m-1776932100,Down,buy,3,118.664137
eth-updown-15m-1776932100,Up,buy,2,184.210523
eth-updown-15m-1776932100,Up,sell,1,9.600000
eth-updown-15m-1776933000,Down,buy,2,26.166665
eth-updown-15m-1776933000,Down,sell,2,4.460000
eth-updown-15m-1776933000,Up,buy,4,1729.616526
eth-updown-15m-1776933900,Down,buy,4,49.639023
eth-updown-15m-1776933900,Up,buy,21,763.908883
eth-updown-15m-1776934800,Down,buy,2,22.725453
eth-updown-15m-1776934800,Up,buy,1,6.000000
eth-updown-15m-1776934800,Up,sell,2,9.840000
eth-updown-15m-1776935700,Down,buy,2,12.272726
eth-updown-15m-1776935700,Up,buy,3,81.115912
eth-updown-15m-1776936600,Down,buy,2,20.980951
eth-updown-15m-1776936600,Up,buy,2,107.766550
eth-updown-15m-1776937500,Down,buy,2,18.255318
eth-updown-15m-1776937500,Up,buy,5,124.712855
eth-updown-15m-1776938400,Down,buy,2,12.325580
eth-updown-15m-1776938400,Up,buy,3,68.245861
eth-updown-15m-1776939300,Up,buy,5,174.375168
eth-updown-15m-1776940200,Down,buy,3,209.666665
eth-updown-15m-1776940200,Up,buy,3,63.100000
eth-updown-15m-1776941100,Down,buy,1,2.083332
eth-updown-15m-1776942000,Down,buy,3,19.421983
eth-updown-15m-1776942000,Up,buy,6,159.270751
eth-updown-15m-1776942900,Down,buy,3,211.000000
eth-updown-15m-1776942900,Up,buy,3,24.990407
eth-updown-15m-1776944700,Down,buy,11,208.335825
eth-updown-15m-1776944700,Up,buy,4,108.071302
eth-updown-15m-1776945600,Down,buy,3,121.773275
eth-updown-15m-1776945600,Up,buy,2,39.510000
eth-updown-15m-1776945600,Up,sell,1,12.500000
eth-updown-15m-1776946500,Down,buy,5,728.136665
eth-updown-15m-1776946500,Up,buy,16,166.997788
eth-updown-15m-1776946500,Up,sell,26,25.620000
eth-updown-15m-1776947400,Down,buy,2,21.960783
eth-updown-15m-1776947400,Up,buy,1,14.000000
eth-updown-15m-1776948300,Down,buy,3,42.540000
eth-updown-15m-1776948300,Up,buy,3,46.041664
