slug,outcome,taker_side,n_trades,total_size
sol-updown-15m-1776955500,Up,buy,1,2.083332
sol-updown-15m-1776957300,Up,buy,1,3.636362
sol-updown-15m-1776959100,Down,buy,3,19.454542
sol-updown-15m-1776959100,Up,buy,1,2.173912
sol-updown-15m-1776960000,Up,buy,2,10.707988
sol-updown-15m-1776962700,Down,buy,1,5.000000
sol-updown-15m-1776962700,Up,buy,1,1.960783
sol-updown-15m-1776963600,Up,buy,3,44.105246
sol-updown-15m-1776964500,Up,buy,2,42.500000
sol-updown-15m-1776965400,Down,buy,1,2.272726
sol-updown-15m-1776966300,Down,buy,1,2.272726
sol-updown-15m-1776966300,Up,buy,4,32.280644
sol-updown-15m-1776968100,Down,buy,2,18.000000
sol-updown-15m-1776969000,Down,buy,2,4.166664
sol-updown-15m-1776969000,Up,buy,1,5.000000
sol-updown-15m-1776969900,Down,buy,1,3.703702
sol-updown-15m-1776971700,Down,buy,2,7.231881
sol-updown-15m-1776971700,Up,buy,2,27.555990
sol-updown-15m-1776972600,Down,buy,3,17.519506
sol-updown-15m-1776973500,Down,buy,1,2.127658
sol-updown-15m-1776974400,Down,buy,5,47.447478
sol-updown-15m-1776974400,Up,buy,2,6.425478
sol-updown-15m-1776975300,Down,buy,1,7.407406
sol-updown-15m-1776976200,Down,buy,3,26.142929
sol-updown-15m-1776977100,Down,buy,5,59.535790
sol-updown-15m-1776978000,Down,buy,3,14.629200
sol-updown-15m-1776978000,Up,buy,3,332.503188
sol-updown-15m-1776978900,Up,buy,2,71.159660
sol-updown-15m-1776979800,Down,buy,6,65.593184
sol-updown-15m-1776979800,Up,buy,3,24.854371
sol-updown-15m-1776980700,Down,buy,2,11.226986
sol-updown-15m-1776980700,Up,buy,1,2.272726
sol-updown-15m-1776981600,Up,buy,1,4.166665
sol-updown-15m-1776982500,Down,buy,2,9.823600
sol-updown-15m-1776982500,Up,buy,1,1.960783
sol-updown-15m-1776983400,Down,buy,6,40.407872
sol-updown-15m-1776983400,Up,buy,1,2.173912
sol-updown-15m-1776984300,Up,buy,1,2.000000
sol-updown-15m-1776985200,Up,buy,5,38.190000
sol-updown-15m-1776986100,Up,buy,5,28.737452
sol-updown-15m-1776987000,Down,buy,4,31.382240
sol-updown-15m-1776987000,Up,buy,1,1.851850
sol-updown-15m-1776987900,Down,buy,2,1.592590
sol-updown-15m-1776987900,Up,buy,3,60.938532
sol-updown-15m-1776988800,Down,buy,1,9.672400
sol-updown-15m-1776988800,Up,buy,3,16.114545
sol-updown-15m-1776989700,Up,buy,3,33.515320
sol-updown-15m-1776990600,Down,buy,2,9.818490
sol-updown-15m-1776990600,Up,buy,3,29.466863
sol-updown-15m-1776992400,Down,buy,1,4.816400
sol-updown-15m-1776992400,Up,buy,2,10.520777
sol-updown-15m-1776993300,Up,buy,5,62.830089
sol-updown-15m-1776994200,Up,buy,2,17.069006
sol-updown-15m-1776995100,Up,buy,5,129.294067
sol-updown-15m-1776996000,Down,buy,2,40.248190
sol-updown-15m-1776996900,Down,buy,2,9.823600
sol-updown-15m-1776996900,Up,buy,5,57.109631
sol-updown-15m-1776997800,Up,buy,3,26.603126
sol-updown-15m-1776998700,Down,buy,2,19.618400
sol-updown-15m-1776998700,Up,buy,2,3.642370
sol-updown-15m-1776999600,Up,buy,3,12.937744
sol-updown-15m-1777000500,Up,buy,1,7.547168
sol-updown-15m-1777001400,Down,buy,1,14.818180
sol-updown-15m-1777001400,Up,buy,6,27.415896
sol-updown-15m-1777002300,Down,buy,1,9.596800
sol-updown-15m-1777003200,Down,buy,1,4.444443
sol-updown-15m-1777004100,Down,buy,2,4.174126
sol-updown-15m-1777005000,Up,buy,2,38.986180
sol-updown-15m-1777005900,Down,buy,3,21.869526
sol-updown-15m-1777006800,Down,buy,1,15.610978
sol-updown-15m-1777007700,Up,buy,2,22.735987
sol-updown-15m-1777009500,Down,buy,3,25.536980
sol-updown-15m-1777010400,Down,buy,7,170.055432
sol-updown-15m-1777011300,Down,buy,1,2.000000
sol-updown-15m-1777012200,Up,buy,1,18.566158
sol-updown-15m-1777013100,Down,buy,1,2.777776
sol-updown-15m-1777013100,Up,buy,4,172.148708
sol-updown-15m-1777014000,Up,buy,1,37.132307
sol-updown-15m-1777014900,Down,buy,1,14.285713
sol-updown-15m-1777015800,Down,buy,1,24.118000
sol-updown-15m-1777015800,Up,buy,5,54.637730
sol-updown-15m-1777016700,Down,buy,1,2.659573
sol-updown-15m-1777019400,Down,buy,4,22.697860
sol-updown-15m-1777020300,Down,buy,1,2.500000
sol-updown-15m-1777020300,Up,buy,2,6.228170
sol-updown-15m-1777021200,Up,buy,2,28.117010
sol-updown-15m-1777022100,Up,buy,2,13.783280
sol-updown-15m-1777023000,Up,buy,2,81.449688
sol-updown-15m-1777024800,Down,buy,3,48.345309
sol-updown-15m-1777024800,Up,buy,1,20.053342
sol-updown-15m-1777025700,Down,buy,1,1.923075
sol-updown-15m-1777026600,Down,buy,4,56.650076
sol-updown-15m-1777028400,Down,buy,2,11.595432
sol-updown-15m-1777029300,Down,buy,4,22.359094
sol-updown-15m-1777030200,Down,buy,5,70.167760
sol-updown-15m-1777031100,Down,buy,2,55.069040
sol-updown-15m-1777032000,Down,buy,3,88.818093
sol-updown-15m-1777032900,Down,buy,16,227.986848
sol-updown-15m-1777032900,Up,sell,2,27.240000
sol-updown-15m-1777035600,Up,buy,4,70.113368
sol-updown-15m-1777036500,Down,buy,4,29.306918
sol-updown-15m-1777037400,Down,buy,2,19.654400
sol-updown-15m-1777037400,Up,buy,2,30.352310
sol-updown-15m-1777040100,Up,buy,7,104.979540
sol-updown-15m-1777041000,Down,buy,8,85.306340
sol-updown-15m-1777041000,Up,buy,2,34.007360
sol-updown-15m-1777042800,Up,buy,2,11.784000
sol-updown-15m-1777044600,Down,buy,2,9.809200
sol-updown-15m-1777045500,Down,sell,1,18.000000
sol-updown-15m-1777291200,Down,buy,1,37.965369
sol-updown-15m-1777292100,Up,buy,2,9.827200
sol-updown-15m-1777293900,Down,buy,2,4.088674
sol-updown-15m-1777293900,Up,buy,3,77.169156
sol-updown-15m-1777294800,Down,buy,6,36.256472
sol-updown-15m-1777294800,Down,sell,1,2.000000
sol-updown-15m-1777296600,Down,buy,2,76.741134
sol-updown-15m-1777297500,Down,buy,3,13.587135
sol-updown-15m-1777298400,Up,buy,2,25.496590
sol-updown-15m-1777300200,Down,buy,2,39.090978
sol-updown-15m-1777301100,Up,buy,2,29.406000
sol-updown-15m-1777302900,Up,buy,8,727.491490
sol-updown-15m-1777303800,Up,buy,4,48.505032
sol-updown-15m-1777304700,Down,buy,1,9.654400
sol-updown-15m-1777305600,Up,buy,10,386.253614
sol-updown-15m-1777310100,Down,buy,2,10.880560
sol-updown-15m-1777311000,Down,buy,4,21.947052
sol-updown-15m-1777311900,Down,buy,3,9.999229
sol-updown-15m-1777313700,Down,buy,3,14.816400
sol-updown-15m-1777315500,Down,buy,2,10.809920
sol-updown-15m-1777316400,Up,buy,1,19.558400
sol-updown-15m-1777317300,Up,buy,2,2.299570
sol-updown-15m-1777318200,Down,buy,2,19.611200
sol-updown-15m-1777318200,Up,buy,2,9.841600
sol-updown-15m-1777320000,Up,buy,2,35.949822
sol-updown-15m-1777321800,Down,buy,3,20.000000
sol-updown-15m-1777322700,Down,buy,2,10.927118
sol-updown-15m-1777322700,Up,buy,3,24.640000
sol-updown-15m-1777323600,Down,buy,3,21.550768
sol-updown-15m-1777323600,Up,buy,1,5.000000
sol-updown-15m-1777324500,Up,buy,2,9.830800
sol-updown-15m-1777325400,Down,buy,2,10.880560
sol-updown-15m-1777326300,Down,buy,2,9.823600
sol-updown-15m-1777326300,Up,buy,2,39.702620
sol-updown-15m-1777327200,Down,sell,2,10.000000
sol-updown-15m-1777329000,Down,buy,4,19.647200
sol-updown-15m-1777330800,Down,buy,6,138.593850
sol-updown-15m-1777332600,Down,buy,2,9.820000
sol-updown-15m-1777333500,Down,buy,2,10.809920
sol-updown-15m-1777334400,Down,buy,6,100.242362
sol-updown-15m-1777335300,Up,buy,4,38.372580
sol-updown-15m-1777337100,Down,buy,2,10.880560
sol-updown-15m-1777338000,Down,buy,1,5.000000
sol-updown-15m-1777339800,Up,buy,2,10.821800
sol-updown-15m-1777340700,Up,buy,2,3.182850
sol-updown-15m-1777341600,Up,buy,4,52.619286
sol-updown-15m-1777344300,Up,buy,4,19.684170
sol-updown-15m-1777345200,Down,buy,2,9.812800
sol-updown-15m-1777346100,Up,buy,2,9.827200
sol-updown-15m-1777347000,Up,buy,2,9.838000
sol-updown-15m-1777347900,Down,buy,3,14.611200
sol-updown-15m-1777347900,Up,buy,3,64.273424
sol-updown-15m-1777348800,Down,buy,2,9.823600
sol-updown-15m-1777349700,Down,buy,2,9.823600
sol-updown-15m-1777350600,Up,buy,3,15.198740
sol-updown-15m-1777351500,Up,buy,2,14.440700
sol-updown-15m-1777352400,Down,buy,2,9.816400
sol-updown-15m-1777353300,Down,buy,2,9.823600
sol-updown-15m-1777354200,Down,buy,7,37.488967
sol-updown-15m-1777355100,Up,buy,2,10.817840
sol-updown-15m-1777356000,Up,buy,3,19.502120
sol-updown-15m-1777356900,Down,buy,4,20.700560
sol-updown-15m-1777357800,Up,buy,2,9.827200
sol-updown-15m-1777358700,Up,sell,2,3.840000
sol-updown-15m-1777359600,Down,buy,2,9.823600
